"TABLE ID","IDENTIFIER","TEXT"
"DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE","DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE","DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE_DO NOT DELETE"
"TSIDS01","TITLE","Subject Screening and Enrollment; Screened Analysis Set (Study jjcs - core)"
"TSIDS01","FOOTNOTE1","Note: A subject that is re-screened is counted once for each screening."
"TSIDS02","TITLE","Subject Disposition; [Randomized/Enrolled] Analysis Set (Study jjcs - core)"
"TSIDS02a","TITLE","Subject Disposition by [Subgroup]; [Randomized/Enrolled] Analysis Set (Study jjcs - core)"
"TSIDS02b","TITLE","Subject Disposition; [Randomized/Enrolled] Analysis Set (Study jjcs - core)"
"TSIDS02b","FOOTNOTE1","~{super a} Subject didn't discontinue from any study agent."
"GSIDS01a","TITLE","Time to Permanent Discontinuation of Study Treatment; [Analysis Set] Analysis Set (Study jjcs - core)"
"GSIDS01a","FOOTNOTE1","Note: Time to permanent discontinuation of study treatment is defined as the duration of time from the first dose to the last dose of treatment for each subject, regardless of the reason for treatment discontinuation."
"GSIDS01b","TITLE","Time to Last Follow-up; [Analysis Set] Analysis Set (Study jjcs - core)"
"GSIDS01b","FOOTNOTE1","Note: Time to last follow-up is defined as the duration of time from the first dose to the latest study visit available for each subject"
"GSIDS02","TITLE","Time to [Discontinuation of Study Participation]; [Analysis Set] Analysis Set (Study jjcs - core)"
"GSIDS03","TITLE","Disposition of Subjects; Screened Analysis Set (Study jjcs - core)"
"GSIDS03","FOOTNOTE1","Note: The consort diagram is based on disposition [table(s) TSIDS02]."
"LSIDS01","TITLE","Listing of Subjects Who Permanently Discontinued Treatment;  Analysis Set (Study jjcs - core)"
"LSIDS01","FOOTNOTE1","~{super a} Last visit is the last visit which the subject attended before discontinuing study [treatment/agent]."
"LSIDS01","FOOTNOTE2","~{super b} Study day is relative to [the start of [study treatment]]."
"LSIDS01","FOOTNOTE3","~{super c} Total dose is defined as a cumulative sum of all study agent administered."
"LSIDS02","TITLE","Listing of Subjects Who Discontinued Study Participation Prematurely;  Analysis Set (Study jjcs - core)"
"LSIDS02","FOOTNOTE1","~{super a} Last study visit is the last visit which the subject attended before discontinuing study participation prematurely."
"LSIDS02","FOOTNOTE2","~{super b} Study day is relative to [the start of [study treatment]]."
"LSIDS02","FOOTNOTE3","~{super c} Last treatment visit is the visit which the subject attended before discontinuing study participation where treatment was administered."
"LSIDS02","FOOTNOTE4","~{super d} Total dose is defined as a cumulative sum of all study agent administered."
"LSIDS03","TITLE","Listing of Subjects Who Were Unblinded During the Study;  Analysis Set (Study jjcs - core)"
"LSIDS03","FOOTNOTE1","~{super a} Last visit is the last visit which the subject attended before discontinuing study agent"
"LSIDS03","FOOTNOTE2","~{super b} Study day is relative to [the start of [study treatment]]."
"LSIDS03","FOOTNOTE3","~{super c} Total dose is defined as a cumulative sum of all study agent administered."
"LSIDS04","TITLE","Listing of Subjects Who Were Randomized but Never Treated; Randomized Analysis Set (Study jjcs - core)"
"LSIDS05","TITLE","Listing of Overall Study Start and End Dates; Screened Analysis Set (Study jjcs - core)"
"LSIDS05","FOOTNOTE1","~{super a} Date of earliest signed informed consent in the study."
"LSIDS05","FOOTNOTE2","~{super b} Date of last visit of the last subject in the study."
"LSIDS05","FOOTNOTE3","~{super c} Date of last contact of the last subject who has completed or discontinued the study."
"TSIDEV01","TITLE","Subjects With Major Protocol Deviations by Region and Center; Full Analysis Set (Study jjcs - core)"
"TSIDEV01","FOOTNOTE1","Note: Subjects may appear in more than one category."
"TSIDEV02","TITLE","Subjects Who Did Not Meet Inclusion Criteria or Who Met Exclusion Criteria by Region and Center; Full Analysis Set (Study jjcs - core)"
"LSIDEV01","TITLE","Listing of Subjects With Major Protocol Deviations by Region and Center; Full Analysis Set (Study jjcs - core)"
"LSIDEV01","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
