"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Analysis set: Safety","86","86","65","49","33","16","VALUE",2,0,0,0
"Subjects with ≥ 1 AE","56 (65.1%)","12 (14.0%)","11 (16.9%)","9 (18.4%)","14 (42.4%)","10 (62.5%)","VALUE",3,0,0,1
"Skin and subcutaneous tissue disorders","19 (22.1%)","4 (4.7%)","3 (4.6%)","4 (8.2%)","5 (15.2%)","3 (18.8%)","VALUE",4,0,0,1
"PRURITUS","8 (9.3%)","1 (1.2%)","2 (3.1%)","2 (4.1%)","2 (6.1%)","1 (6.3%)","VALUE",4,1,1,0
"ERYTHEMA","8 (9.3%)","2 (2.3%)","1 (1.5%)","2 (4.1%)","2 (6.1%)","1 (6.3%)","VALUE",4,1,2,0
"HYPERHIDROSIS","2 (2.3%)","0","1 (1.5%)","0","1 (3.0%)","0","VALUE",4,1,3,0
"RASH","5 (5.8%)","1 (1.2%)","0","2 (4.1%)","0","2 (12.5%)","VALUE",4,1,4,0
"SKIN IRRITATION","3 (3.5%)","1 (1.2%)","0","2 (4.1%)","0","0","VALUE",4,1,5,0
"RASH PRURITIC","0","0","0","0","0","0","VALUE",4,1,6,0
"BLISTER","0","0","0","0","0","0","VALUE",4,1,7,0
"PRURITUS GENERALISED","0","0","0","0","0","0","VALUE",4,1,8,0
"SKIN ODOUR ABNORMAL","0","0","0","0","0","0","VALUE",4,1,9,0
"COLD SWEAT","1 (1.2%)","0","0","0","0","1 (6.3%)","VALUE",4,1,10,0
"RASH ERYTHEMATOUS","0","0","0","0","0","0","VALUE",4,1,11,0
"General disorders and administration site conditions","21 (24.4%)","4 (4.7%)","3 (4.6%)","4 (8.2%)","6 (18.2%)","4 (25.0%)","VALUE",5,0,11,1
"APPLICATION SITE PRURITUS","6 (7.0%)","3 (3.5%)","0","1 (2.0%)","1 (3.0%)","1 (6.3%)","VALUE",5,1,12,0
"APPLICATION SITE ERYTHEMA","2 (2.3%)","0","0","1 (2.0%)","1 (3.0%)","0","VALUE",5,1,13,0
"APPLICATION SITE IRRITATION","3 (3.5%)","1 (1.2%)","1 (1.5%)","0","1 (3.0%)","0","VALUE",5,1,14,0
"APPLICATION SITE DERMATITIS","5 (5.8%)","1 (1.2%)","0","2 (4.1%)","1 (3.0%)","1 (6.3%)","VALUE",5,1,15,0
"APPLICATION SITE VESICLES","1 (1.2%)","0","0","0","0","1 (6.3%)","VALUE",5,1,16,0
