"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"SAE","62 (86.1%)","77 (80.2%)","51 (59.3%)","26.8 (13.7, 39.9)","20.9 (7.8, 34.0)","VALUE",2,0,0,0
"With fatal outcome","0","0","1 (1.2%)","-1.2 (-3.4, 1.1)","-1.2 (-3.4, 1.1)","VALUE",2,1,1,0
"Life-threatening","0","1 (1.0%)","2 (2.3%)","-2.3 (-5.5, 0.9)","-1.3 (-5.1, 2.5)","VALUE",2,1,2,0
"Requiring or prolonging hospitalization","4 (5.6%)","5 (5.2%)","4 (4.7%)","0.9 (-6.0, 7.8)","0.6 (-5.7, 6.8)","VALUE",2,1,3,0
"Resulting in persistent or significant disability/incapacity","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,1,4,0
"Congenital anomaly or birth defect","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,1,5,0
"Other","62 (86.1%)","77 (80.2%)","51 (59.3%)","26.8 (13.7, 39.9)","20.9 (7.8, 34.0)","VALUE",2,1,6,0
"AE leading to permanent discontinuation of study treatment","33 (45.8%)","34 (35.4%)","28 (32.6%)","13.3 (-1.9, 28.5)","2.9 (-10.9, 16.6)","VALUE",3,0,6,1
"AE leading to dose modification of study treatment","66 (91.7%)","78 (81.3%)","61 (70.9%)","20.7 (9.2, 32.3)","10.3 (-2.1, 22.7)","VALUE",4,0,6,1
"Interruption of study treatment","38 (52.8%)","41 (42.7%)","24 (27.9%)","24.9 (9.9, 39.8)","14.8 (1.1, 28.5)","VALUE",4,1,7,0
"Reduction of study treatment","39 (54.2%)","31 (32.3%)","24 (27.9%)","26.3 (11.3, 41.2)","4.4 (-8.9, 17.7)","VALUE",4,1,8,0
"Dose Rate Reduced","33 (45.8%)","36 (37.5%)","28 (32.6%)","13.3 (-1.9, 28.5)","4.9 (-8.9, 18.8)","VALUE",4,1,9,0
"Dose Increased","36 (50.0%)","48 (50.0%)","24 (27.9%)","22.1 (7.2, 37.0)","22.1 (8.3, 35.9)","VALUE",4,1,10,0
"Unknown","31 (43.1%)","31 (32.3%)","27 (31.4%)","11.7 (-3.4, 26.7)","0.9 (-12.7, 14.4)","VALUE",4,1,11,0
"Any AE\super a\nosupersub ","68 (94.4%)","84 (87.5%)","65 (75.6%)","18.9 (8.4, 29.4)","11.9 (0.7, 23.2)","VALUE",5,0,11,1
"Mild","20 (27.8%)","21 (21.9%)","36 (41.9%)","-14.1 (-28.8, 0.6)","-20.0 (-33.3, -6.7)","VALUE",5,1,12,0
"Moderate","40 (55.6%)","47 (49.0%)","24 (27.9%)","27.6 (12.8, 42.5)","21.1 (7.3, 34.8)","VALUE",5,1,13,0
"Severe","8 (11.1%)","16 (16.7%)","5 (5.8%)","5.3 (-3.5, 14.1)","10.9 (1.9, 19.8)","VALUE",5,1,14,0
