"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"SAE","62 (86.1%)","77 (80.2%)","51 (59.3%)","26.8 (13.7, 39.9)","20.9 (7.8, 34.0)","VALUE",2,0,0,0
"With fatal outcome","0","0","1 (1.2%)","-1.2 (-3.4, 1.1)","-1.2 (-3.4, 1.1)","VALUE",2,1,1,0
"Life-threatening","0","1 (1.0%)","2 (2.3%)","-2.3 (-5.5, 0.9)","-1.3 (-5.1, 2.5)","VALUE",2,1,2,0
"Requiring or prolonging hospitalization","4 (5.6%)","5 (5.2%)","4 (4.7%)","0.9 (-6.0, 7.8)","0.6 (-5.7, 6.8)","VALUE",2,1,3,0
"Resulting in persistent or significant disability/incapacity","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,1,4,0
"Congenital anomaly or birth defect","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,1,5,0
"Other","62 (86.1%)","77 (80.2%)","51 (59.3%)","26.8 (13.7, 39.9)","20.9 (7.8, 34.0)","VALUE",2,1,6,0
"AE leading to permanent discontinuation of study treatment","33 (45.8%)","34 (35.4%)","28 (32.6%)","13.3 (-1.9, 28.5)","2.9 (-10.9, 16.6)","VALUE",3,0,6,1
"AE leading to dose modification of study treatment","64 (88.9%)","73 (76.0%)","55 (64.0%)","24.9 (12.5, 37.4)","12.1 (-1.2, 25.3)","VALUE",4,0,6,1
"Interruption of study treatment","38 (52.8%)","41 (42.7%)","24 (27.9%)","24.9 (9.9, 39.8)","14.8 (1.1, 28.5)","VALUE",4,1,7,0
"Reduction of study treatment","39 (54.2%)","31 (32.3%)","24 (27.9%)","26.3 (11.3, 41.2)","4.4 (-8.9, 17.7)","VALUE",4,1,8,0
"Dose Increased","36 (50.0%)","48 (50.0%)","24 (27.9%)","22.1 (7.2, 37.0)","22.1 (8.3, 35.9)","VALUE",4,1,9,0
"Unknown","31 (43.1%)","31 (32.3%)","27 (31.4%)","11.7 (-3.4, 26.7)","0.9 (-12.7, 14.4)","VALUE",4,1,10,0
"Any AE\super a\nosupersub ","67 (93.1%)","82 (85.4%)","63 (73.3%)","19.8 (8.8, 30.8)","12.2 (0.4, 23.9)","VALUE",5,0,10,1
"Grade 1","1 (1.4%)","3 (3.1%)","3 (3.5%)","-2.1 (-6.8, 2.6)","-0.4 (-5.6, 4.8)","VALUE",5,1,11,0
"Grade 2","3 (4.2%)","6 (6.3%)","7 (8.1%)","-4.0 (-11.4, 3.4)","-1.9 (-9.4, 5.7)","VALUE",5,1,12,0
"Grade 3","7 (9.7%)","7 (7.3%)","6 (7.0%)","2.7 (-6.0, 11.5)","0.3 (-7.2, 7.8)","VALUE",5,1,13,0
"Grade 4","14 (19.4%)","23 (24.0%)","18 (20.9%)","-1.5 (-14.0, 11.1)","3.0 (-9.1, 15.1)","VALUE",5,1,14,0
"Grade 5","42 (58.3%)","43 (44.8%)","29 (33.7%)","24.6 (9.5, 39.8)","11.1 (-3.0, 25.2)","VALUE",5,1,15,0
