"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows","newpage"
"Age Group: ≥18 to <65 years","11","8","19","14","","","VALUE",2,0,0,0,0
""," "," "," "," "," "," ","VALUE",2,0,1,0,0
"Subjects with ≥1 AE leading to discontinuation","6 (54.5%)","3 (37.5%)","9 (47.4%)","3 (21.4%)","33.1 (-3.3, 69.6)","16.1 (-23.8, 55.9)","VALUE",2,0,2,0,0
""," "," "," "," "," "," ","VALUE",2,0,3,0,0
"General disorders and administration site conditions","3 (27.3%)","2 (25.0%)","5 (26.3%)","0","27.3 (1.0, 53.6)","25.0 (-5.0, 55.0)","VALUE",2,0,4,0,0
"APPLICATION SITE ERYTHEMA","2 (18.2%)","0","2 (10.5%)","0","18.2 (-4.6, 41.0)","0.0 (0.0, 0.0)","VALUE",2,1,5,0,0
"APPLICATION SITE PRURITUS","1 (9.1%)","1 (12.5%)","2 (10.5%)","0","9.1 (-7.9, 26.1)","12.5 (-10.4, 35.4)","VALUE",2,1,6,0,0
"APPLICATION SITE IRRITATION","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",2,1,7,0,0
"APPLICATION SITE SWELLING","0","1 (12.5%)","1 (5.3%)","0","0.0 (0.0, 0.0)","12.5 (-10.4, 35.4)","VALUE",2,1,8,0,0
"MALAISE","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",2,1,9,0,0
"Skin and subcutaneous tissue disorders","2 (18.2%)","1 (12.5%)","3 (15.8%)","0","18.2 (-4.6, 41.0)","12.5 (-10.4, 35.4)","VALUE",3,0,9,1,0
"ACTINIC KERATOSIS","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",3,1,10,0,0
"PRURITUS","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",3,1,11,0,0
"RASH","0","1 (12.5%)","1 (5.3%)","0","0.0 (0.0, 0.0)","12.5 (-10.4, 35.4)","VALUE",3,1,12,0,0
"Gastrointestinal disorders","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",4,0,12,1,0
"STOMACH DISCOMFORT","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",4,1,13,0,0
"Infections and infestations","1 (9.1%)","0","1 (5.3%)","1 (7.1%)","1.9 (-19.7, 23.6)","-7.1 (-20.6, 6.3)","VALUE",5,0,13,1,0
"HORDEOLUM","1 (9.1%)","0","1 (5.3%)","0","9.1 (-7.9, 26.1)","0.0 (0.0, 0.0)","VALUE",5,1,14,0,0
"VAGINAL MYCOSIS","0","0","0","1 (7.1%)","-7.1 (-20.6, 6.3)","-7.1 (-20.6, 6.3)","VALUE",5,1,15,0,0
