"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥1 AE","47 (88.7%)","52 (71.2%)","99 (78.6%)","38 (64.4%)","VALUE",2,0,0,0
"General disorders and administration site conditions","23 (43.4%)","28 (38.4%)","51 (40.5%)","11 (18.6%)","VALUE",3,0,0,1
"APPLICATION SITE PRURITUS","8 (15.1%)","9 (12.3%)","17 (13.5%)","2 (3.4%)","VALUE",3,1,1,0
"APPLICATION SITE ERYTHEMA","8 (15.1%)","5 (6.8%)","13 (10.3%)","2 (3.4%)","VALUE",3,1,2,0
"APPLICATION SITE IRRITATION","6 (11.3%)","6 (8.2%)","12 (9.5%)","2 (3.4%)","VALUE",3,1,3,0
"APPLICATION SITE DERMATITIS","3 (5.7%)","5 (6.8%)","8 (6.3%)","5 (8.5%)","VALUE",3,1,4,0
"FATIGUE","4 (7.5%)","4 (5.5%)","8 (6.3%)","0","VALUE",3,1,5,0
"Skin and subcutaneous tissue disorders","24 (45.3%)","21 (28.8%)","45 (35.7%)","13 (22.0%)","VALUE",4,0,5,1
"PRURITUS","10 (18.9%)","11 (15.1%)","21 (16.7%)","4 (6.8%)","VALUE",4,1,6,0
"ERYTHEMA","9 (17.0%)","4 (5.5%)","13 (10.3%)","6 (10.2%)","VALUE",4,1,7,0
"RASH","5 (9.4%)","7 (9.6%)","12 (9.5%)","4 (6.8%)","VALUE",4,1,8,0
"HYPERHIDROSIS","4 (7.5%)","2 (2.7%)","6 (4.8%)","1 (1.7%)","VALUE",4,1,9,0
"SKIN IRRITATION","3 (5.7%)","3 (4.1%)","6 (4.8%)","2 (3.4%)","VALUE",4,1,10,0
"Nervous system disorders","10 (18.9%)","15 (20.5%)","25 (19.8%)","4 (6.8%)","VALUE",5,0,10,1
"DIZZINESS","4 (7.5%)","5 (6.8%)","9 (7.1%)","0","VALUE",5,1,11,0
"HEADACHE","4 (7.5%)","2 (2.7%)","6 (4.8%)","2 (3.4%)","VALUE",5,1,12,0
"Gastrointestinal disorders","9 (17.0%)","8 (11.0%)","17 (13.5%)","4 (6.8%)","VALUE",6,0,12,1
"NAUSEA","4 (7.5%)","2 (2.7%)","6 (4.8%)","0","VALUE",6,1,13,0
"VOMITING","3 (5.7%)","2 (2.7%)","5 (4.0%)","0","VALUE",6,1,14,0
"Cardiac disorders","8 (15.1%)","7 (9.6%)","15 (11.9%)","6 (10.2%)","VALUE",7,0,14,1
"SINUS BRADYCARDIA","5 (9.4%)","2 (2.7%)","7 (5.6%)","0","VALUE",7,1,15,0
"Respiratory, thoracic and mediastinal disorders","7 (13.2%)","2 (2.7%)","9 (7.1%)","0","VALUE",8,0,15,1
"COUGH","3 (5.7%)","1 (1.4%)","4 (3.2%)","0","VALUE",8,1,16,0
