"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Subject yearsᵃ","124.5","164.1","139.9","","","VALUE",2,0,0,0
"PRURITUS","28.2","16.1","6.2","21.96 (10.09, 33.83)","9.82 (1.71, 17.94)","VALUE",3,0,0,1
"APPLICATION SITE PRURITUS","22.2","16.1","4.5","17.69 (7.31, 28.07)","11.55 (3.93, 19.18)","VALUE",3,0,1,0
"ERYTHEMA","13.6","9.3","6.4","7.26 (-1.13, 15.64)","2.92 (-3.77, 9.62)","VALUE",3,0,2,0
"APPLICATION SITE ERYTHEMA","12.2","9.1","1.5","10.75 (3.81, 17.69)","7.60 (2.27, 12.93)","VALUE",3,0,3,0
"DIZZINESS","8.6","6.0","1.4","7.16 (1.20, 13.12)","4.53 (0.15, 8.91)","VALUE",3,0,4,0
"APPLICATION SITE IRRITATION","8.2","6.1","2.2","6.04 (0.13, 11.96)","3.89 (-0.79, 8.57)","VALUE",3,0,5,0
"HYPERHIDROSIS","7.5","2.5","1.5","6.00 (0.44, 11.55)","1.03 (-2.15, 4.21)","VALUE",3,0,6,0
"RASH","7.3","9.0","3.8","3.53 (-2.49, 9.56)","5.22 (-0.66, 11.11)","VALUE",3,0,7,0
"SINUS BRADYCARDIA","7.1","4.7","1.5","5.63 (0.33, 10.93)","3.23 (-0.78, 7.24)","VALUE",3,0,8,0
"APPLICATION SITE DERMATITIS","6.3","6.0","3.8","2.49 (-3.24, 8.22)","2.23 (-2.93, 7.39)","VALUE",3,0,9,0
"VOMITING","5.3","2.5","2.2","3.14 (-1.81, 8.09)","0.31 (-3.19, 3.81)","VALUE",3,0,10,0
"NAUSEA","5.2","1.9","1.5","3.74 (-0.90, 8.37)","0.45 (-2.52, 3.43)","VALUE",3,0,11,0
"NASOPHARYNGITIS","5.1","2.5","1.5","3.64 (-0.96, 8.24)","1.05 (-2.19, 4.30)","VALUE",3,0,12,0
