"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Skin and subcutaneous tissue disorders","33 (62.3%)","30 (41.1%)","63 (50.0%)","9 (15.3%)","47.0 (31.1, 63.0)","25.8 (11.3, 40.4)","VALUE",2,0,0,0
"Pruritus","28 (52.8%)","19 (26.0%)","47 (37.3%)","7 (11.9%)","41.0 (25.2, 56.7)","14.2 (1.1, 27.2)","VALUE",2,1,1,0
"Erythema","11 (20.8%)","15 (20.5%)","26 (20.6%)","2 (3.4%)","17.4 (5.5, 29.2)","17.2 (6.8, 27.5)","VALUE",2,1,2,0
"Rash","8 (15.1%)","10 (13.7%)","18 (14.3%)","1 (1.7%)","13.4 (3.2, 23.6)","12.0 (3.5, 20.6)","VALUE",2,1,3,0
"Urticaria","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",2,1,4,0
"General disorders and administration site conditions","7 (13.2%)","14 (19.2%)","21 (16.7%)","9 (15.3%)","-2.0 (-15.0, 10.9)","3.9 (-8.9, 16.8)","VALUE",3,0,4,1
"Dizziness","5 (9.4%)","5 (6.8%)","10 (7.9%)","0","9.4 (1.6, 17.3)","6.8 (1.1, 12.6)","VALUE",3,1,5,0
"Fatigue","3 (5.7%)","3 (4.1%)","6 (4.8%)","1 (1.7%)","4.0 (-3.1, 11.0)","2.4 (-3.2, 8.0)","VALUE",3,1,6,0
"Local Administration Reaction","1 (1.9%)","4 (5.5%)","5 (4.0%)","2 (3.4%)","-1.5 (-7.4, 4.4)","2.1 (-4.9, 9.1)","VALUE",3,1,7,0
"Fall","0","2 (2.7%)","2 (1.6%)","1 (1.7%)","-1.7 (-5.0, 1.6)","1.0 (-3.9, 6.0)","VALUE",3,1,8,0
"Peripheral Edema","0","1 (1.4%)","1 (0.8%)","2 (3.4%)","-3.4 (-8.0, 1.2)","-2.0 (-7.4, 3.3)","VALUE",3,1,9,0
"Pyrexia","0","1 (1.4%)","1 (0.8%)","2 (3.4%)","-3.4 (-8.0, 1.2)","-2.0 (-7.4, 3.3)","VALUE",3,1,10,0
"Decreased Appetite","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",3,1,11,0
"Nervous system disorders","8 (15.1%)","8 (11.0%)","16 (12.7%)","1 (1.7%)","13.4 (3.2, 23.6)","9.3 (1.4, 17.2)","VALUE",4,0,11,1
"Confusional State","2 (3.8%)","2 (2.7%)","4 (3.2%)","1 (1.7%)","2.1 (-4.0, 8.2)","1.0 (-3.9, 6.0)","VALUE",4,1,12,0
"Headache","2 (3.8%)","2 (2.7%)","4 (3.2%)","0","3.8 (-1.4, 8.9)","2.7 (-1.0, 6.5)","VALUE",4,1,13,0
"Somnolence","2 (3.8%)","2 (2.7%)","4 (3.2%)","0","3.8 (-1.4, 8.9)","2.7 (-1.0, 6.5)","VALUE",4,1,14,0
"Stroke and TIA","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",4,1,15,0
"Syncope","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",4,1,16,0
"Paresthesia","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",4,1,17,0
"Seizure","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",4,1,18,0
"Infections and infestations","8 (15.1%)","6 (8.2%)","14 (11.1%)","7 (11.9%)","3.2 (-9.5, 15.9)","-3.6 (-14.0, 6.7)","VALUE",5,0,18,1
"Nasopharyngitis","6 (11.3%)","3 (4.1%)","9 (7.1%)","7 (11.9%)","-0.5 (-12.4, 11.3)","-7.8 (-17.2, 1.7)","VALUE",5,1,19,0
"Bacterial Infection","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",5,1,20,0
"Viral Infection","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",5,1,21,0
