"label","col 1","col 2","col 3","col 4","col 5","col 6","col 7","col 8","row_type","anbr","indentme","roworder","newrows"
"Immune system disorders","0","0","2 (3.4%)","-3.4 (-8.0, 1.2)","-3.4 (-8.0, 1.2)","42 (79.2%)","38 (52.1%)","19 (32.2%)","VALUE",2,0,0,0
"Hypersensitivity","0","0","2 (3.4%)","-3.4 (-8.0, 1.2)","-3.4 (-8.0, 1.2)","41 (77.4%)","38 (52.1%)","19 (32.2%)","VALUE",2,1,1,0
"Angioedema","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","1 (1.9%)","0","2 (3.4%)","VALUE",2,1,2,0
"Skin and subcutaneous tissue disorders","39 (73.6%)","39 (53.4%)","17 (28.8%)","44.8 (28.2, 61.3)","24.6 (8.3, 40.9)","24 (45.3%)","22 (30.1%)","12 (20.3%)","VALUE",3,0,2,1
"Rash","14 (26.4%)","17 (23.3%)","4 (6.8%)","19.6 (6.1, 33.1)","16.5 (4.9, 28.1)","16 (30.2%)","12 (16.4%)","8 (13.6%)","VALUE",3,1,3,0
"Urticaria","1 (1.9%)","2 (2.7%)","0","1.9 (-1.8, 5.5)","2.7 (-1.0, 6.5)","9 (17.0%)","11 (15.1%)","5 (8.5%)","VALUE",3,1,4,0
"Erythema","21 (39.6%)","18 (24.7%)","8 (13.6%)","26.1 (10.3, 41.9)","11.1 (-2.1, 24.3)","4 (7.5%)","4 (5.5%)","3 (5.1%)","VALUE",3,1,5,0
"Pruritus","36 (67.9%)","33 (45.2%)","10 (16.9%)","51.0 (35.2, 66.8)","28.3 (13.4, 43.2)","4 (7.5%)","4 (5.5%)","3 (5.1%)","VALUE",3,1,6,0
"Alopecia","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","0","0","0","VALUE",3,1,7,0
"Nervous system disorders","12 (22.6%)","14 (19.2%)","5 (8.5%)","14.2 (0.8, 27.5)","10.7 (-0.8, 22.2)","15 (28.3%)","15 (20.5%)","3 (5.1%)","VALUE",4,0,7,1
"Syncope","2 (3.8%)","3 (4.1%)","0","3.8 (-1.4, 8.9)","4.1 (-0.4, 8.7)","8 (15.1%)","8 (11.0%)","2 (3.4%)","VALUE",4,1,8,0
"Somnolence","2 (3.8%)","4 (5.5%)","1 (1.7%)","2.1 (-4.0, 8.2)","3.8 (-2.4, 10.0)","5 (9.4%)","5 (6.8%)","0","VALUE",4,1,9,0
"Confusional State","2 (3.8%)","3 (4.1%)","3 (5.1%)","-1.3 (-8.9, 6.3)","-1.0 (-8.2, 6.2)","1 (1.9%)","3 (4.1%)","1 (1.7%)","VALUE",4,1,10,0
"Dysgeusia","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","1 (1.9%)","0","0","VALUE",4,1,11,0
"Headache","5 (9.4%)","3 (4.1%)","2 (3.4%)","6.0 (-3.1, 15.2)","0.7 (-5.8, 7.2)","0","0","0","VALUE",4,1,12,0
"Paresthesia","2 (3.8%)","1 (1.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","0","0","0","VALUE",4,1,13,0
"Seizure","1 (1.9%)","1 (1.4%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","0","0","0","VALUE",4,1,14,0
"Stroke and TIA","1 (1.9%)","2 (2.7%)","0","1.9 (-1.8, 5.5)","2.7 (-1.0, 6.5)","0","1 (1.4%)","0","VALUE",4,1,15,0
"Gastrointestinal disorders","11 (20.8%)","9 (12.3%)","5 (8.5%)","12.3 (-0.7, 25.3)","3.9 (-6.5, 14.2)","12 (22.6%)","4 (5.5%)","1 (1.7%)","VALUE",5,0,15,1
"Dyspepsia","0","1 (1.4%)","1 (1.7%)","-1.7 (-5.0, 1.6)","-0.3 (-4.6, 3.9)","5 (9.4%)","1 (1.4%)","1 (1.7%)","VALUE",5,1,16,0
"Nausea","5 (9.4%)","2 (2.7%)","0","9.4 (1.6, 17.3)","2.7 (-1.0, 6.5)","5 (9.4%)","2 (2.7%)","0","VALUE",5,1,17,0
"Vomiting","5 (9.4%)","2 (2.7%)","0","9.4 (1.6, 17.3)","2.7 (-1.0, 6.5)","5 (9.4%)","2 (2.7%)","1 (1.7%)","VALUE",5,1,18,0
"Abdominal Pain","2 (3.8%)","2 (2.7%)","1 (1.7%)","2.1 (-4.0, 8.2)","1.0 (-3.9, 6.0)","0","0","0","VALUE",5,1,19,0
"Constipation","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","0","0","0","VALUE",5,1,20,0
"Diarrhea","2 (3.8%)","3 (4.1%)","3 (5.1%)","-1.3 (-8.9, 6.3)","-1.0 (-8.2, 6.2)","0","0","1 (1.7%)","VALUE",5,1,21,0
"General disorders and administration site conditions","20 (37.7%)","22 (30.1%)","12 (20.3%)","17.4 (0.8, 34.0)","9.8 (-4.9, 24.5)","11 (20.8%)","15 (20.5%)","3 (5.1%)","VALUE",6,0,21,1
"Fall","1 (1.9%)","2 (2.7%)","1 (1.7%)","0.2 (-4.7, 5.1)","1.0 (-3.9, 6.0)","10 (18.9%)","12 (16.4%)","2 (3.4%)","VALUE",6,1,22,0
"Fatigue","7 (13.2%)","6 (8.2%)","1 (1.7%)","11.5 (1.8, 21.2)","6.5 (-0.6, 13.6)","2 (3.8%)","2 (2.7%)","1 (1.7%)","VALUE",6,1,23,0
"Pyrexia","0","2 (2.7%)","2 (3.4%)","-3.4 (-8.0, 1.2)","-0.7 (-6.6, 5.3)","1 (1.9%)","0","0","VALUE",6,1,24,0
"Decreased Appetite","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","0","0","0","VALUE",6,1,25,0
"Dizziness","9 (17.0%)","10 (13.7%)","0","17.0 (6.9, 27.1)","13.7 (5.8, 21.6)","0","0","0","VALUE",6,1,26,0
"Local Administration Reaction","7 (13.2%)","9 (12.3%)","5 (8.5%)","4.7 (-6.8, 16.3)","3.9 (-6.5, 14.2)","0","0","0","VALUE",6,1,27,0
"Peripheral Edema","1 (1.9%)","1 (1.4%)","2 (3.4%)","-1.5 (-7.4, 4.4)","-2.0 (-7.4, 3.3)","0","1 (1.4%)","0","VALUE",6,1,28,0
"Volume Depletion","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","0","0","0","VALUE",6,1,29,0
"Cardiac disorders","11 (20.8%)","12 (16.4%)","8 (13.6%)","7.2 (-6.8, 21.2)","2.9 (-9.3, 15.1)","10 (18.9%)","14 (19.2%)","7 (11.9%)","VALUE",7,0,29,1
"Arrhythmia","9 (17.0%)","9 (12.3%)","3 (5.1%)","11.9 (0.3, 23.5)","7.2 (-2.2, 16.6)","9 (17.0%)","11 (15.1%)","0","VALUE",7,1,30,0
"Heart Failure","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","1 (1.9%)","3 (4.1%)","2 (3.4%)","VALUE",7,1,31,0
"Myocardial Ischemia","3 (5.7%)","1 (1.4%)","3 (5.1%)","0.6 (-7.8, 8.9)","-3.7 (-9.9, 2.5)","1 (1.9%)","3 (4.1%)","4 (6.8%)","VALUE",7,1,32,0
