"label","col 1","col 2","row_type","anbr","indentme","roworder","newrows"
"Immune system disorders","47.0 (30.9, 63.2)","19.9 (3.3, 36.4)","VALUE",2,0,0,0
"Hypersensitivity","45.2 (28.8, 61.6)","19.9 (3.3, 36.4)","VALUE",2,1,1,0
"Angioedema","-1.5 (-7.4, 4.4)","-3.4 (-8.0, 1.2)","VALUE",2,1,2,0
"Skin and subcutaneous tissue disorders","24.9 (8.1, 41.8)","9.8 (-4.9, 24.5)","VALUE",3,0,2,1
"Rash","16.6 (1.5, 31.8)","2.9 (-9.3, 15.1)","VALUE",3,1,3,0
"Urticaria","8.5 (-3.8, 20.9)","6.6 (-4.3, 17.4)","VALUE",3,1,4,0
"Erythema","2.5 (-6.6, 11.5)","0.4 (-7.3, 8.1)","VALUE",3,1,5,0
"Pruritus","2.5 (-6.6, 11.5)","0.4 (-7.3, 8.1)","VALUE",3,1,6,0
"Alopecia","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,1,7,0
"Nervous system disorders","23.2 (9.9, 36.6)","15.5 (4.6, 26.3)","VALUE",4,0,7,1
"Syncope","11.7 (1.0, 22.4)","7.6 (-1.0, 16.1)","VALUE",4,1,8,0
"Somnolence","9.4 (1.6, 17.3)","6.8 (1.1, 12.6)","VALUE",4,1,9,0
"Confusional State","0.2 (-4.7, 5.1)","2.4 (-3.2, 8.0)","VALUE",4,1,10,0
"Dysgeusia","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",4,1,11,0
"Headache","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,1,12,0
"Paresthesia","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,1,13,0
"Seizure","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,1,14,0
"Stroke and TIA","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",4,1,15,0
"Gastrointestinal disorders","20.9 (9.2, 32.7)","3.8 (-2.4, 10.0)","VALUE",5,0,15,1
"Dyspepsia","7.7 (-0.8, 16.3)","-0.3 (-4.6, 3.9)","VALUE",5,1,16,0
"Nausea","9.4 (1.6, 17.3)","2.7 (-1.0, 6.5)","VALUE",5,1,17,0
"Vomiting","7.7 (-0.8, 16.3)","1.0 (-3.9, 6.0)","VALUE",5,1,18,0
"Abdominal Pain","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,1,19,0
"Constipation","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,1,20,0
"Diarrhea","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",5,1,21,0
