"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Skin and subcutaneous tissue disorders","39 (73.6%)","39 (53.4%)","78 (61.9%)","17 (28.8%)","44.8 (28.2, 61.3)","24.6 (8.3, 40.9)","VALUE",2,0,0,0
"Pruritus","36 (67.9%)","33 (45.2%)","69 (54.8%)","10 (16.9%)","51.0 (35.2, 66.8)","28.3 (13.4, 43.2)","VALUE",2,1,1,0
"PRURITUS","20 (37.7%)","14 (19.2%)","34 (27.0%)","6 (10.2%)","27.6 (12.4, 42.7)","9.0 (-2.9, 20.9)","VALUE",2,2,2,0
"APPLICATION SITE PRURITUS","13 (24.5%)","18 (24.7%)","31 (24.6%)","4 (6.8%)","17.7 (4.5, 31.0)","17.9 (6.1, 29.7)","VALUE",2,2,3,0
"RASH PRURITIC","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",2,2,4,0
"PRURITUS GENERALISED","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",2,2,5,0
"EYE PRURITUS","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",2,2,6,0
"Erythema","21 (39.6%)","18 (24.7%)","39 (31.0%)","8 (13.6%)","26.1 (10.3, 41.9)","11.1 (-2.1, 24.3)","VALUE",2,1,7,0
"APPLICATION SITE ERYTHEMA","10 (18.9%)","11 (15.1%)","21 (16.7%)","2 (3.4%)","15.5 (4.0, 27.0)","11.7 (2.3, 21.1)","VALUE",2,2,8,0
"ERYTHEMA","12 (22.6%)","8 (11.0%)","20 (15.9%)","6 (10.2%)","12.5 (-1.2, 26.1)","0.8 (-9.7, 11.3)","VALUE",2,2,9,0
"RASH ERYTHEMATOUS","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",2,2,10,0
"Rash","14 (26.4%)","17 (23.3%)","31 (24.6%)","4 (6.8%)","19.6 (6.1, 33.1)","16.5 (4.9, 28.1)","VALUE",2,1,11,0
"RASH","5 (9.4%)","9 (12.3%)","14 (11.1%)","4 (6.8%)","2.7 (-7.5, 12.8)","5.5 (-4.4, 15.5)","VALUE",2,2,12,0
"APPLICATION SITE VESICLES","4 (7.5%)","4 (5.5%)","8 (6.3%)","0","7.5 (0.4, 14.7)","5.5 (0.3, 10.7)","VALUE",2,2,13,0
"BLISTER","1 (1.9%)","2 (2.7%)","3 (2.4%)","0","1.9 (-1.8, 5.5)","2.7 (-1.0, 6.5)","VALUE",2,2,14,0
"RASH PRURITIC","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",2,2,15,0
"URTICARIA","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",2,2,16,0
"RASH ERYTHEMATOUS","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",2,2,17,0
"RASH MACULO-PAPULAR","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",2,2,18,0
"Urticaria","1 (1.9%)","2 (2.7%)","3 (2.4%)","0","1.9 (-1.8, 5.5)","2.7 (-1.0, 6.5)","VALUE",2,1,19,0
"APPLICATION SITE URTICARIA","0","2 (2.7%)","2 (1.6%)","0","0.0 (0.0, 0.0)","2.7 (-1.0, 6.5)","VALUE",2,2,20,0
"URTICARIA","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",2,2,21,0
"Alopecia","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",2,1,22,0
"ALOPECIA","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",2,2,23,0
"General disorders and administration site conditions","20 (37.7%)","22 (30.1%)","42 (33.3%)","12 (20.3%)","17.4 (0.8, 34.0)","9.8 (-4.9, 24.5)","VALUE",3,0,23,1
