"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Immune system disorders","42 (79.2%)","38 (52.1%)","80 (63.5%)","19 (32.2%)","47.0 (30.9, 63.2)","19.9 (3.3, 36.4)","VALUE",2,0,0,0
"Hypersensitivity","41 (77.4%)","38 (52.1%)","79 (62.7%)","19 (32.2%)","45.2 (28.8, 61.6)","19.9 (3.3, 36.4)","VALUE",2,1,1,0
"PRURITUS","20 (37.7%)","14 (19.2%)","34 (27.0%)","6 (10.2%)","27.6 (12.4, 42.7)","9.0 (-2.9, 20.9)","VALUE",2,2,2,0
"APPLICATION SITE PRURITUS","13 (24.5%)","18 (24.7%)","31 (24.6%)","4 (6.8%)","17.7 (4.5, 31.0)","17.9 (6.1, 29.7)","VALUE",2,2,3,0
"ERYTHEMA","12 (22.6%)","8 (11.0%)","20 (15.9%)","6 (10.2%)","12.5 (-1.2, 26.1)","0.8 (-9.7, 11.3)","VALUE",2,2,4,0
"RASH","5 (9.4%)","9 (12.3%)","14 (11.1%)","4 (6.8%)","2.7 (-7.5, 12.8)","5.5 (-4.4, 15.5)","VALUE",2,2,5,0
"APPLICATION SITE DERMATITIS","4 (7.5%)","7 (9.6%)","11 (8.7%)","5 (8.5%)","-0.9 (-11.0, 9.1)","1.1 (-8.7, 10.9)","VALUE",2,2,6,0
"RASH PRURITIC","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",2,2,7,0
"APPLICATION SITE URTICARIA","0","2 (2.7%)","2 (1.6%)","0","0.0 (0.0, 0.0)","2.7 (-1.0, 6.5)","VALUE",2,2,8,0
"URTICARIA","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",2,2,9,0
"OEDEMA","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",2,2,10,0
"PRURITUS GENERALISED","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",2,2,11,0
"RASH ERYTHEMATOUS","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",2,2,12,0
"RASH MACULO-PAPULAR","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",2,2,13,0
"EYE SWELLING","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",2,2,14,0
"Angioedema","1 (1.9%)","0","1 (0.8%)","2 (3.4%)","-1.5 (-7.4, 4.4)","-3.4 (-8.0, 1.2)","VALUE",2,1,15,0
"APPLICATION SITE REACTION","1 (1.9%)","0","1 (0.8%)","1 (1.7%)","0.2 (-4.7, 5.1)","-1.7 (-5.0, 1.6)","VALUE",2,2,16,0
"EYE SWELLING","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",2,2,17,0
"Skin and subcutaneous tissue disorders","24 (45.3%)","22 (30.1%)","46 (36.5%)","12 (20.3%)","24.9 (8.1, 41.8)","9.8 (-4.9, 24.5)","VALUE",3,0,17,1
"Rash","16 (30.2%)","12 (16.4%)","28 (22.2%)","8 (13.6%)","16.6 (1.5, 31.8)","2.9 (-9.3, 15.1)","VALUE",3,1,18,0
"ERYTHEMA","12 (22.6%)","8 (11.0%)","20 (15.9%)","6 (10.2%)","12.5 (-1.2, 26.1)","0.8 (-9.7, 11.3)","VALUE",3,2,19,0
"SKIN IRRITATION","4 (7.5%)","4 (5.5%)","8 (6.3%)","3 (5.1%)","2.5 (-6.6, 11.5)","0.4 (-7.3, 8.1)","VALUE",3,2,20,0
"Urticaria","9 (17.0%)","11 (15.1%)","20 (15.9%)","5 (8.5%)","8.5 (-3.8, 20.9)","6.6 (-4.3, 17.4)","VALUE",3,1,21,0
"RASH","5 (9.4%)","9 (12.3%)","14 (11.1%)","4 (6.8%)","2.7 (-7.5, 12.8)","5.5 (-4.4, 15.5)","VALUE",3,2,22,0
"RASH PRURITIC","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",3,2,23,0
