"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥ 1 SAE","62 (86.1%)","77 (80.2%)","139 (82.7%)","51 (59.3%)","VALUE",2,0,0,0
"Sex, n/Ns (%)","","","","","HEADER",3,0,0,1
"Female","29/35 (82.9%)","43/55 (78.2%)","72/90 (80.0%)","32/53 (60.4%)","VALUE",3,1,1,0
"Male","33/37 (89.2%)","34/41 (82.9%)","67/78 (85.9%)","19/33 (57.6%)","VALUE",3,1,2,0
"Age group (years), n/Ns (%)","","","","","HEADER",4,0,2,1
"≥18 to <65","9/11 (81.8%)","8/8 (100.0%)","17/19 (89.5%)","9/14 (64.3%)","VALUE",4,1,3,0
"≥65 to <75","18/22 (81.8%)","20/26 (76.9%)","38/48 (79.2%)","11/24 (45.8%)","VALUE",4,1,4,0
"≥75","35/39 (89.7%)","49/62 (79.0%)","84/101 (83.2%)","31/48 (64.6%)","VALUE",4,1,5,0
"Race, n/Ns (%)","","","","","HEADER",5,0,5,1
"American Indian or Alaska Native","7/7 (100.0%)","11/13 (84.6%)","18/20 (90.0%)","3/6 (50.0%)","VALUE",5,1,6,0
"Asian","10/10 (100.0%)","11/12 (91.7%)","21/22 (95.5%)","7/7 (100.0%)","VALUE",5,1,7,0
"Black or African American","5/5 (100.0%)","8/12 (66.7%)","13/17 (76.5%)","7/10 (70.0%)","VALUE",5,1,8,0
"Multiple","8/9 (88.9%)","9/12 (75.0%)","17/21 (81.0%)","3/8 (37.5%)","VALUE",5,1,9,0
"Native Hawaiian or other Pacific Islander","7/9 (77.8%)","7/8 (87.5%)","14/17 (82.4%)","6/8 (75.0%)","VALUE",5,1,10,0
"Not reported or unknown","12/18 (66.7%)","12/16 (75.0%)","24/34 (70.6%)","10/22 (45.5%)","VALUE",5,1,11,0
"Other","4/4 (100.0%)","10/12 (83.3%)","14/16 (87.5%)","8/16 (50.0%)","VALUE",5,1,12,0
"White","9/10 (90.0%)","9/11 (81.8%)","18/21 (85.7%)","7/9 (77.8%)","VALUE",5,1,13,0
"Ethnicity, n/Ns (%)","","","","","HEADER",6,0,13,1
"Hispanic or Latino","15/19 (78.9%)","17/20 (85.0%)","32/39 (82.1%)","9/18 (50.0%)","VALUE",6,1,14,0
"Not Hispanic or Latino","19/22 (86.4%)","18/22 (81.8%)","37/44 (84.1%)","14/19 (73.7%)","VALUE",6,1,15,0
"Not reported or unknown","28/31 (90.3%)","42/54 (77.8%)","70/85 (82.4%)","28/49 (57.1%)","VALUE",6,1,16,0
