"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥1 AE","65 (75.6%)","","","","VALUE",2,0,0,0
"General disorders and administration site conditions","21 (24.4%)","16 (18.6%)","5 (5.8%)","0","VALUE",3,0,0,1
"APPLICATION SITE PRURITUS","6 (7.0%)","5 (5.8%)","1 (1.2%)","0","VALUE",3,1,1,0
"APPLICATION SITE ERYTHEMA","2 (2.3%)","2 (2.3%)","0","0","VALUE",3,1,2,0
"APPLICATION SITE IRRITATION","3 (3.5%)","1 (1.2%)","2 (2.3%)","0","VALUE",3,1,3,0
"APPLICATION SITE DERMATITIS","5 (5.8%)","5 (5.8%)","0","0","VALUE",3,1,4,0
"APPLICATION SITE VESICLES","1 (1.2%)","1 (1.2%)","0","0","VALUE",3,1,5,0
"FATIGUE","1 (1.2%)","1 (1.2%)","0","0","VALUE",3,1,6,0
"APPLICATION SITE SWELLING","0","0","0","0","VALUE",3,1,7,0
"APPLICATION SITE URTICARIA","0","0","0","0","VALUE",3,1,8,0
"MALAISE","0","0","0","0","VALUE",3,1,9,0
"OEDEMA PERIPHERAL","2 (2.3%)","2 (2.3%)","0","0","VALUE",3,1,10,0
"APPLICATION SITE PAIN","0","0","0","0","VALUE",3,1,11,0
"APPLICATION SITE PERSPIRATION","0","0","0","0","VALUE",3,1,12,0
"CHEST DISCOMFORT","0","0","0","0","VALUE",3,1,13,0
"CHEST PAIN","0","0","0","0","VALUE",3,1,14,0
"CHILLS","1 (1.2%)","0","1 (1.2%)","0","VALUE",3,1,15,0
"OEDEMA","0","0","0","0","VALUE",3,1,16,0
"PAIN","0","0","0","0","VALUE",3,1,17,0
"APPLICATION SITE BLEEDING","0","0","0","0","VALUE",3,1,18,0
"APPLICATION SITE DESQUAMATION","0","0","0","0","VALUE",3,1,19,0
"APPLICATION SITE DISCHARGE","0","0","0","0","VALUE",3,1,20,0
"APPLICATION SITE DISCOLOURATION","0","0","0","0","VALUE",3,1,21,0
"APPLICATION SITE REACTION","1 (1.2%)","0","1 (1.2%)","0","VALUE",3,1,22,0
"APPLICATION SITE WARMTH","0","0","0","0","VALUE",3,1,23,0
"ASTHENIA","1 (1.2%)","0","1 (1.2%)","0","VALUE",3,1,24,0
"FEELING ABNORMAL","0","0","0","0","VALUE",3,1,25,0
"FEELING COLD","0","0","0","0","VALUE",3,1,26,0
"INFLAMMATION","0","0","0","0","VALUE",3,1,27,0
"PYREXIA","2 (2.3%)","2 (2.3%)","0","0","VALUE",3,1,28,0
"SECRETION DISCHARGE","0","0","0","0","VALUE",3,1,29,0
"SUDDEN DEATH","0","0","0","0","VALUE",3,1,30,0
"SWELLING","0","0","0","0","VALUE",3,1,31,0
"ULCER","0","0","0","0","VALUE",3,1,32,0
"APPLICATION SITE INDURATION","1 (1.2%)","1 (1.2%)","0","0","VALUE",3,1,33,0
"Skin and subcutaneous tissue disorders","20 (23.3%)","12 (14.0%)","8 (9.3%)","0","VALUE",4,0,33,1
"PRURITUS","8 (9.3%)","7 (8.1%)","1 (1.2%)","0","VALUE",4,1,34,0
"ERYTHEMA","8 (9.3%)","4 (4.7%)","4 (4.7%)","0","VALUE",4,1,35,0
"RASH","5 (5.8%)","2 (2.3%)","3 (3.5%)","0","VALUE",4,1,36,0
"HYPERHIDROSIS","2 (2.3%)","2 (2.3%)","0","0","VALUE",4,1,37,0
"SKIN IRRITATION","3 (3.5%)","2 (2.3%)","1 (1.2%)","0","VALUE",4,1,38,0
"BLISTER","0","0","0","0","VALUE",4,1,39,0
"RASH PRURITIC","0","0","0","0","VALUE",4,1,40,0
"PRURITUS GENERALISED","0","0","0","0","VALUE",4,1,41,0
"URTICARIA","0","0","0","0","VALUE",4,1,42,0
"ACTINIC KERATOSIS","0","0","0","0","VALUE",4,1,43,0
"DERMATITIS CONTACT","0","0","0","0","VALUE",4,1,44,0
"RASH ERYTHEMATOUS","0","0","0","0","VALUE",4,1,45,0
"RASH MACULO-PAPULAR","0","0","0","0","VALUE",4,1,46,0
"SKIN EXFOLIATION","0","0","0","0","VALUE",4,1,47,0
"SKIN ODOUR ABNORMAL","0","0","0","0","VALUE",4,1,48,0
"ALOPECIA","1 (1.2%)","1 (1.2%)","0","0","VALUE",4,1,49,0
"COLD SWEAT","1 (1.2%)","0","1 (1.2%)","0","VALUE",4,1,50,0
"DRUG ERUPTION","1 (1.2%)","1 (1.2%)","0","0","VALUE",4,1,51,0
"SKIN ULCER","1 (1.2%)","0","1 (1.2%)","0","VALUE",4,1,52,0
"Nervous system disorders","8 (9.3%)","6 (7.0%)","2 (2.3%)","0","VALUE",5,0,52,1
"DIZZINESS","2 (2.3%)","2 (2.3%)","0","0","VALUE",5,1,53,0
"HEADACHE","3 (3.5%)","3 (3.5%)","0","0","VALUE",5,1,54,0
"SYNCOPE","0","0","0","0","VALUE",5,1,55,0
"SOMNOLENCE","2 (2.3%)","0","2 (2.3%)","0","VALUE",5,1,56,0
"TRANSIENT ISCHAEMIC ATTACK","0","0","0","0","VALUE",5,1,57,0
"BURNING SENSATION","0","0","0","0","VALUE",5,1,58,0
"LETHARGY","0","0","0","0","VALUE",5,1,59,0
"AMNESIA","0","0","0","0","VALUE",5,1,60,0
"BALANCE DISORDER","0","0","0","0","VALUE",5,1,61,0
"COGNITIVE DISORDER","0","0","0","0","VALUE",5,1,62,0
"COMPLEX PARTIAL SEIZURES","0","0","0","0","VALUE",5,1,63,0
"COORDINATION ABNORMAL","0","0","0","0","VALUE",5,1,64,0
"HEMIANOPIA HOMONYMOUS","0","0","0","0","VALUE",5,1,65,0
