"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥1 AE","51 (96.2%)","62 (84.9%)","113 (89.7%)","42 (71.2%)","VALUE",2,0,0,0
"General disorders and administration site conditions","26 (49.1%)","38 (52.1%)","64 (50.8%)","16 (27.1%)","VALUE",3,0,0,1
"APPLICATION SITE PRURITUS","13 (24.5%)","18 (24.7%)","31 (24.6%)","4 (6.8%)","VALUE",3,1,1,0
"Grade 1","2 (3.8%)","2 (2.7%)","4 (3.2%)","0","VALUE",3,2,2,0
"Grade 2","2 (3.8%)","3 (4.1%)","5 (4.0%)","0","VALUE",3,2,3,0
"Grade 3","0","2 (2.7%)","2 (1.6%)","2 (3.4%)","VALUE",3,2,4,0
"Grade 4","4 (7.5%)","2 (2.7%)","6 (4.8%)","0","VALUE",3,2,5,0
"Grade 5","4 (7.5%)","4 (5.5%)","8 (6.3%)","2 (3.4%)","VALUE",3,2,6,0
"Missing","1 (1.9%)","5 (6.8%)","6 (4.8%)","0","VALUE",3,2,7,0
"APPLICATION SITE ERYTHEMA","10 (18.9%)","11 (15.1%)","21 (16.7%)","2 (3.4%)","VALUE",4,1,7,1
"Grade 1","3 (5.7%)","2 (2.7%)","5 (4.0%)","1 (1.7%)","VALUE",4,2,8,0
"Grade 2","1 (1.9%)","2 (2.7%)","3 (2.4%)","1 (1.7%)","VALUE",4,2,9,0
"Grade 3","1 (1.9%)","4 (5.5%)","5 (4.0%)","0","VALUE",4,2,10,0
"Grade 4","2 (3.8%)","3 (4.1%)","5 (4.0%)","0","VALUE",4,2,11,0
"Grade 5","3 (5.7%)","0","3 (2.4%)","0","VALUE",4,2,12,0
"APPLICATION SITE IRRITATION","8 (15.1%)","7 (9.6%)","15 (11.9%)","2 (3.4%)","VALUE",5,1,12,1
"Grade 1","1 (1.9%)","0","1 (0.8%)","0","VALUE",5,2,13,0
"Grade 2","2 (3.8%)","0","2 (1.6%)","1 (1.7%)","VALUE",5,2,14,0
"Grade 3","2 (3.8%)","2 (2.7%)","4 (3.2%)","0","VALUE",5,2,15,0
"Grade 4","1 (1.9%)","4 (5.5%)","5 (4.0%)","0","VALUE",5,2,16,0
"Grade 5","2 (3.8%)","0","2 (1.6%)","1 (1.7%)","VALUE",5,2,17,0
"Missing","0","1 (1.4%)","1 (0.8%)","0","VALUE",5,2,18,0
