"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Analysis set: Safety","152","21","17","22","92","VALUE",2,0,0,0
"Subjects with ≥1 AE","139 (91.4%)","20 (95.2%)","14 (82.4%)","22 (100.0%)","83 (90.2%)","VALUE",3,0,0,1
"General disorders and administration site conditions","78 (51.3%)","11 (52.4%)","8 (47.1%)","12 (54.5%)","47 (51.1%)","VALUE",4,0,0,1
"APPLICATION SITE PRURITUS","39 (25.7%)","3 (14.3%)","4 (23.5%)","6 (27.3%)","26 (28.3%)","VALUE",4,1,1,0
"APPLICATION SITE ERYTHEMA","24 (15.8%)","1 (4.8%)","1 (5.9%)","5 (22.7%)","17 (18.5%)","VALUE",4,1,2,0
"APPLICATION SITE DERMATITIS","16 (10.5%)","2 (9.5%)","4 (23.5%)","0","10 (10.9%)","VALUE",4,1,3,0
"APPLICATION SITE IRRITATION","15 (9.9%)","3 (14.3%)","1 (5.9%)","1 (4.5%)","10 (10.9%)","VALUE",4,1,4,0
"APPLICATION SITE VESICLES","9 (5.9%)","0","0","1 (4.5%)","8 (8.7%)","VALUE",4,1,5,0
"FATIGUE","6 (3.9%)","2 (9.5%)","2 (11.8%)","1 (4.5%)","1 (1.1%)","VALUE",4,1,6,0
"APPLICATION SITE SWELLING","3 (2.0%)","1 (4.8%)","0","1 (4.5%)","1 (1.1%)","VALUE",4,1,7,0
"OEDEMA PERIPHERAL","3 (2.0%)","2 (9.5%)","0","0","1 (1.1%)","VALUE",4,1,8,0
"APPLICATION SITE PERSPIRATION","2 (1.3%)","1 (4.8%)","0","1 (4.5%)","0","VALUE",4,1,9,0
"APPLICATION SITE URTICARIA","2 (1.3%)","1 (4.8%)","0","0","1 (1.1%)","VALUE",4,1,10,0
"CHEST DISCOMFORT","2 (1.3%)","0","0","0","2 (2.2%)","VALUE",4,1,11,0
"CHILLS","2 (1.3%)","0","0","0","2 (2.2%)","VALUE",4,1,12,0
"MALAISE","2 (1.3%)","0","0","1 (4.5%)","1 (1.1%)","VALUE",4,1,13,0
"OEDEMA","2 (1.3%)","0","0","0","2 (2.2%)","VALUE",4,1,14,0
"APPLICATION SITE BLEEDING","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,15,0
"APPLICATION SITE DESQUAMATION","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",4,1,16,0
"APPLICATION SITE DISCHARGE","1 (0.7%)","1 (4.8%)","0","0","0","VALUE",4,1,17,0
"APPLICATION SITE PAIN","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,18,0
"APPLICATION SITE REACTION","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,19,0
"APPLICATION SITE WARMTH","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,20,0
"ASTHENIA","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",4,1,21,0
"CHEST PAIN","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,22,0
"FEELING ABNORMAL","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",4,1,23,0
"FEELING COLD","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,24,0
"INFLAMMATION","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",4,1,25,0
"PAIN","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",4,1,26,0
"PYREXIA","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,27,0
"SECRETION DISCHARGE","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,28,0
"SUDDEN DEATH","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,29,0
"SWELLING","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",4,1,30,0
"ULCER","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",4,1,31,0
"APPLICATION SITE INDURATION","0","0","0","0","0","VALUE",4,1,32,0
"Skin and subcutaneous tissue disorders","72 (47.4%)","13 (61.9%)","5 (29.4%)","14 (63.6%)","40 (43.5%)","VALUE",5,0,32,1
"PRURITUS","43 (28.3%)","8 (38.1%)","2 (11.8%)","7 (31.8%)","26 (28.3%)","VALUE",5,1,33,0
"ERYTHEMA","24 (15.8%)","6 (28.6%)","2 (11.8%)","1 (4.5%)","15 (16.3%)","VALUE",5,1,34,0
"RASH","18 (11.8%)","4 (19.0%)","2 (11.8%)","3 (13.6%)","9 (9.8%)","VALUE",5,1,35,0
"HYPERHIDROSIS","10 (6.6%)","2 (9.5%)","0","5 (22.7%)","3 (3.3%)","VALUE",5,1,36,0
"SKIN IRRITATION","10 (6.6%)","2 (9.5%)","0","3 (13.6%)","5 (5.4%)","VALUE",5,1,37,0
"BLISTER","6 (3.9%)","1 (4.8%)","0","0","5 (5.4%)","VALUE",5,1,38,0
"RASH PRURITIC","3 (2.0%)","1 (4.8%)","1 (5.9%)","0","1 (1.1%)","VALUE",5,1,39,0
"PRURITUS GENERALISED","2 (1.3%)","0","0","1 (4.5%)","1 (1.1%)","VALUE",5,1,40,0
"URTICARIA","2 (1.3%)","1 (4.8%)","0","0","1 (1.1%)","VALUE",5,1,41,0
"ACTINIC KERATOSIS","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",5,1,42,0
"DERMATITIS CONTACT","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",5,1,43,0
"RASH ERYTHEMATOUS","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",5,1,44,0
"RASH MACULO-PAPULAR","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",5,1,45,0
"SKIN EXFOLIATION","1 (0.7%)","1 (4.8%)","0","0","0","VALUE",5,1,46,0
"SKIN ODOUR ABNORMAL","1 (0.7%)","1 (4.8%)","0","0","0","VALUE",5,1,47,0
"ALOPECIA","0","0","0","0","0","VALUE",5,1,48,0
"COLD SWEAT","0","0","0","0","0","VALUE",5,1,49,0
"DRUG ERUPTION","0","0","0","0","0","VALUE",5,1,50,0
"SKIN ULCER","0","0","0","0","0","VALUE",5,1,51,0
"Nervous system disorders","40 (26.3%)","4 (19.0%)","5 (29.4%)","7 (31.8%)","24 (26.1%)","VALUE",6,0,51,1
"DIZZINESS","16 (10.5%)","1 (4.8%)","1 (5.9%)","3 (13.6%)","11 (12.0%)","VALUE",6,1,52,0
"HEADACHE","8 (5.3%)","0","0","2 (9.1%)","6 (6.5%)","VALUE",6,1,53,0
"SYNCOPE","7 (4.6%)","1 (4.8%)","1 (5.9%)","1 (4.5%)","4 (4.3%)","VALUE",6,1,54,0
"SOMNOLENCE","3 (2.0%)","0","0","2 (9.1%)","1 (1.1%)","VALUE",6,1,55,0
"TRANSIENT ISCHAEMIC ATTACK","3 (2.0%)","1 (4.8%)","0","1 (4.5%)","1 (1.1%)","VALUE",6,1,56,0
"BURNING SENSATION","2 (1.3%)","0","0","1 (4.5%)","1 (1.1%)","VALUE",6,1,57,0
"LETHARGY","2 (1.3%)","0","1 (5.9%)","1 (4.5%)","0","VALUE",6,1,58,0
"AMNESIA","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",6,1,59,0
"BALANCE DISORDER","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",6,1,60,0
"COGNITIVE DISORDER","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",6,1,61,0
"COMPLEX PARTIAL SEIZURES","1 (0.7%)","1 (4.8%)","0","0","0","VALUE",6,1,62,0
"COORDINATION ABNORMAL","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",6,1,63,0
"HEMIANOPIA HOMONYMOUS","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",6,1,64,0
"HYPERSOMNIA","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",6,1,65,0
"PARAESTHESIA","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",6,1,66,0
"PARAESTHESIA ORAL","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",6,1,67,0
"PAROSMIA","1 (0.7%)","1 (4.8%)","0","0","0","VALUE",6,1,68,0
"STUPOR","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",6,1,69,0
"SYNCOPE VASOVAGAL","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",6,1,70,0
"PARKINSON'S DISEASE","0","0","0","0","0","VALUE",6,1,71,0
"PSYCHOMOTOR HYPERACTIVITY","0","0","0","0","0","VALUE",6,1,72,0
"Gastrointestinal disorders","30 (19.7%)","4 (19.0%)","4 (23.5%)","6 (27.3%)","16 (17.4%)","VALUE",7,0,72,1
"VOMITING","10 (6.6%)","3 (14.3%)","0","2 (9.1%)","5 (5.4%)","VALUE",7,1,73,0
"DIARRHOEA","8 (5.3%)","1 (4.8%)","0","1 (4.5%)","6 (6.5%)","VALUE",7,1,74,0
"NAUSEA","7 (4.6%)","2 (9.5%)","1 (5.9%)","0","4 (4.3%)","VALUE",7,1,75,0
"ABDOMINAL PAIN","4 (2.6%)","0","2 (11.8%)","0","2 (2.2%)","VALUE",7,1,76,0
"SALIVARY HYPERSECRETION","4 (2.6%)","1 (4.8%)","0","1 (4.5%)","2 (2.2%)","VALUE",7,1,77,0
"ABDOMINAL DISCOMFORT","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",7,1,78,0
"DYSPEPSIA","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",7,1,79,0
"RECTAL HAEMORRHAGE","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",7,1,80,0
"STOMACH DISCOMFORT","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",7,1,81,0
"GASTROOESOPHAGEAL REFLUX DISEASE","0","0","0","0","0","VALUE",7,1,82,0
"GLOSSITIS","0","0","0","0","0","VALUE",7,1,83,0
"HIATUS HERNIA","0","0","0","0","0","VALUE",7,1,84,0
"Cardiac disorders","23 (15.1%)","1 (4.8%)","2 (11.8%)","6 (27.3%)","14 (15.2%)","VALUE",8,0,84,1
"SINUS BRADYCARDIA","13 (8.6%)","1 (4.8%)","0","3 (13.6%)","9 (9.8%)","VALUE",8,1,85,0
"MYOCARDIAL INFARCTION","6 (3.9%)","0","0","2 (9.1%)","4 (4.3%)","VALUE",8,1,86,0
"VENTRICULAR EXTRASYSTOLES","3 (2.0%)","0","1 (5.9%)","1 (4.5%)","1 (1.1%)","VALUE",8,1,87,0
"ATRIAL FIBRILLATION","2 (1.3%)","0","0","0","2 (2.2%)","VALUE",8,1,88,0
"ATRIAL FLUTTER","2 (1.3%)","0","1 (5.9%)","0","1 (1.1%)","VALUE",8,1,89,0
"ATRIOVENTRICULAR BLOCK FIRST DEGREE","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",8,1,90,0
"BUNDLE BRANCH BLOCK RIGHT","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",8,1,91,0
"CARDIAC DISORDER","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",8,1,92,0
"PALPITATIONS","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",8,1,93,0
"SUPRAVENTRICULAR EXTRASYSTOLES","1 (0.7%)","0","1 (5.9%)","0","0","VALUE",8,1,94,0
"SUPRAVENTRICULAR TACHYCARDIA","1 (0.7%)","0","0","0","1 (1.1%)","VALUE",8,1,95,0
"WOLFF-PARKINSON-WHITE SYNDROME","1 (0.7%)","0","0","1 (4.5%)","0","VALUE",8,1,96,0
"ATRIAL HYPERTROPHY","0","0","0","0","0","VALUE",8,1,97,0
"ATRIOVENTRICULAR BLOCK SECOND DEGREE","0","0","0","0","0","VALUE",8,1,98,0
"BRADYCARDIA","0","0","0","0","0","VALUE",8,1,99,0
"BUNDLE BRANCH BLOCK LEFT","0","0","0","0","0","VALUE",8,1,100,0
"CARDIAC FAILURE CONGESTIVE","0","0","0","0","0","VALUE",8,1,101,0
"SINUS ARRHYTHMIA","0","0","0","0","0","VALUE",8,1,102,0
"TACHYCARDIA","0","0","0","0","0","VALUE",8,1,103,0
"VENTRICULAR HYPERTROPHY","0","0","0","0","0","VALUE",8,1,104,0
"Infections and infestations","21 (13.8%)","4 (19.0%)","3 (17.6%)","4 (18.2%)","10 (10.9%)","VALUE",9,0,104,1
"NASOPHARYNGITIS","9 (5.9%)","1 (4.8%)","2 (11.8%)","0","6 (6.5%)","VALUE",9,1,105,0
"UPPER RESPIRATORY TRACT INFECTION","4 (2.6%)","2 (9.5%)","1 (5.9%)","1 (4.5%)","0","VALUE",9,1,106,0
"INFLUENZA","2 (1.3%)","0","0","1 (4.5%)","1 (1.1%)","VALUE",9,1,107,0
"CELLULITIS","1 (0.7%)","1 (4.8%)","0","0","0","VALUE",9,1,108,0
"HORDEOLUM","1 (0.7%)","1 (4.8%)","0","0","0","VALUE",9,1,109,0
