"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Analysis set: Safety","53","29","24","73","34","39","VALUE",2,0,0,0
"Subjects with ≥1 AE","51 (96.2%)","28 (96.6%)","23 (95.8%)","62 (84.9%)","30 (88.2%)","32 (82.1%)","VALUE",3,0,0,1
"General disorders and administration site conditions","26 (49.1%)","14 (48.3%)","12 (50.0%)","38 (52.1%)","21 (61.8%)","17 (43.6%)","VALUE",4,0,0,1
"APPLICATION SITE PRURITUS","13 (24.5%)","9 (31.0%)","4 (16.7%)","18 (24.7%)","9 (26.5%)","9 (23.1%)","VALUE",4,1,1,0
"APPLICATION SITE ERYTHEMA","10 (18.9%)","6 (20.7%)","4 (16.7%)","11 (15.1%)","8 (23.5%)","3 (7.7%)","VALUE",4,1,2,0
"APPLICATION SITE IRRITATION","8 (15.1%)","4 (13.8%)","4 (16.7%)","7 (9.6%)","2 (5.9%)","5 (12.8%)","VALUE",4,1,3,0
"APPLICATION SITE DERMATITIS","4 (7.5%)","2 (6.9%)","2 (8.3%)","7 (9.6%)","4 (11.8%)","3 (7.7%)","VALUE",4,1,4,0
"FATIGUE","5 (9.4%)","1 (3.4%)","4 (16.7%)","5 (6.8%)","4 (11.8%)","1 (2.6%)","VALUE",4,1,5,0
"APPLICATION SITE VESICLES","4 (7.5%)","1 (3.4%)","3 (12.5%)","4 (5.5%)","3 (8.8%)","1 (2.6%)","VALUE",4,1,6,0
"APPLICATION SITE SWELLING","2 (3.8%)","1 (3.4%)","1 (4.2%)","1 (1.4%)","1 (2.9%)","0","VALUE",4,1,7,0
"MALAISE","2 (3.8%)","2 (6.9%)","0","1 (1.4%)","1 (2.9%)","0","VALUE",4,1,8,0
"APPLICATION SITE PAIN","2 (3.8%)","0","2 (8.3%)","0","0","0","VALUE",4,1,9,0
"APPLICATION SITE PERSPIRATION","2 (3.8%)","2 (6.9%)","0","0","0","0","VALUE",4,1,10,0
"APPLICATION SITE URTICARIA","0","0","0","2 (2.7%)","2 (5.9%)","0","VALUE",4,1,11,0
"CHEST DISCOMFORT","1 (1.9%)","0","1 (4.2%)","1 (1.4%)","1 (2.9%)","0","VALUE",4,1,12,0
"CHEST PAIN","2 (3.8%)","1 (3.4%)","1 (4.2%)","0","0","0","VALUE",4,1,13,0
"OEDEMA PERIPHERAL","1 (1.9%)","1 (3.4%)","0","1 (1.4%)","0","1 (2.6%)","VALUE",4,1,14,0
"APPLICATION SITE BLEEDING","0","0","0","1 (1.4%)","0","1 (2.6%)","VALUE",4,1,15,0
"APPLICATION SITE DESQUAMATION","0","0","0","1 (1.4%)","1 (2.9%)","0","VALUE",4,1,16,0
"APPLICATION SITE REACTION","1 (1.9%)","0","1 (4.2%)","0","0","0","VALUE",4,1,17,0
"ASTHENIA","0","0","0","1 (1.4%)","0","1 (2.6%)","VALUE",4,1,18,0
"CHILLS","1 (1.9%)","1 (3.4%)","0","0","0","0","VALUE",4,1,19,0
"FEELING ABNORMAL","1 (1.9%)","1 (3.4%)","0","0","0","0","VALUE",4,1,20,0
"FEELING COLD","1 (1.9%)","1 (3.4%)","0","0","0","0","VALUE",4,1,21,0
"OEDEMA","0","0","0","1 (1.4%)","1 (2.9%)","0","VALUE",4,1,22,0
"PAIN","1 (1.9%)","1 (3.4%)","0","0","0","0","VALUE",4,1,23,0
"PYREXIA","0","0","0","1 (1.4%)","1 (2.9%)","0","VALUE",4,1,24,0
"SECRETION DISCHARGE","0","0","0","1 (1.4%)","0","1 (2.6%)","VALUE",4,1,25,0
"SUDDEN DEATH","0","0","0","1 (1.4%)","0","1 (2.6%)","VALUE",4,1,26,0
"ULCER","0","0","0","1 (1.4%)","1 (2.9%)","0","VALUE",4,1,27,0
"APPLICATION SITE INDURATION","0","0","0","0","0","0","VALUE",4,1,28,0
"Skin and subcutaneous tissue disorders","34 (64.2%)","22 (75.9%)","12 (50.0%)","28 (38.4%)","14 (41.2%)","14 (35.9%)","VALUE",5,0,28,1
"PRURITUS","20 (37.7%)","10 (34.5%)","10 (41.7%)","14 (19.2%)","8 (23.5%)","6 (15.4%)","VALUE",5,1,29,0
"ERYTHEMA","12 (22.6%)","6 (20.7%)","6 (25.0%)","8 (11.0%)","4 (11.8%)","4 (10.3%)","VALUE",5,1,30,0
"RASH","5 (9.4%)","4 (13.8%)","1 (4.2%)","9 (12.3%)","5 (14.7%)","4 (10.3%)","VALUE",5,1,31,0
"HYPERHIDROSIS","8 (15.1%)","6 (20.7%)","2 (8.3%)","4 (5.5%)","3 (8.8%)","1 (2.6%)","VALUE",5,1,32,0
"SKIN IRRITATION","4 (7.5%)","3 (10.3%)","1 (4.2%)","4 (5.5%)","1 (2.9%)","3 (7.7%)","VALUE",5,1,33,0
"BLISTER","1 (1.9%)","1 (3.4%)","0","2 (2.7%)","2 (5.9%)","0","VALUE",5,1,34,0
"RASH PRURITIC","2 (3.8%)","1 (3.4%)","1 (4.2%)","1 (1.4%)","0","1 (2.6%)","VALUE",5,1,35,0
"URTICARIA","1 (1.9%)","0","1 (4.2%)","1 (1.4%)","1 (2.9%)","0","VALUE",5,1,36,0
"ACTINIC KERATOSIS","1 (1.9%)","1 (3.4%)","0","0","0","0","VALUE",5,1,37,0
