"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Analysis set: Safety","168","19","48","101","VALUE",2,0,0,0
"Subjects with ≥1 AE","152 (90.5%)","18 (94.7%)","42 (87.5%)","92 (91.1%)","VALUE",3,0,0,1
"General disorders and administration site conditions","87 (51.8%)","13 (68.4%)","26 (54.2%)","48 (47.5%)","VALUE",4,0,0,1
"APPLICATION SITE PRURITUS","43 (25.6%)","9 (47.4%)","15 (31.3%)","19 (18.8%)","VALUE",4,1,1,0
"APPLICATION SITE ERYTHEMA","26 (15.5%)","7 (36.8%)","5 (10.4%)","14 (13.9%)","VALUE",4,1,2,0
"APPLICATION SITE IRRITATION","18 (10.7%)","3 (15.8%)","5 (10.4%)","10 (9.9%)","VALUE",4,1,3,0
"APPLICATION SITE DERMATITIS","16 (9.5%)","1 (5.3%)","6 (12.5%)","9 (8.9%)","VALUE",4,1,4,0
"APPLICATION SITE VESICLES","10 (6.0%)","3 (15.8%)","4 (8.3%)","3 (3.0%)","VALUE",4,1,5,0
"FATIGUE","10 (6.0%)","1 (5.3%)","2 (4.2%)","7 (6.9%)","VALUE",4,1,6,0
"APPLICATION SITE SWELLING","3 (1.8%)","2 (10.5%)","0","1 (1.0%)","VALUE",4,1,7,0
"APPLICATION SITE URTICARIA","3 (1.8%)","0","3 (6.3%)","0","VALUE",4,1,8,0
"MALAISE","3 (1.8%)","1 (5.3%)","0","2 (2.0%)","VALUE",4,1,9,0
"OEDEMA PERIPHERAL","3 (1.8%)","0","1 (2.1%)","2 (2.0%)","VALUE",4,1,10,0
"APPLICATION SITE PAIN","2 (1.2%)","0","1 (2.1%)","1 (1.0%)","VALUE",4,1,11,0
"APPLICATION SITE PERSPIRATION","2 (1.2%)","1 (5.3%)","0","1 (1.0%)","VALUE",4,1,12,0
"CHEST DISCOMFORT","2 (1.2%)","0","2 (4.2%)","0","VALUE",4,1,13,0
"CHEST PAIN","2 (1.2%)","0","1 (2.1%)","1 (1.0%)","VALUE",4,1,14,0
"CHILLS","2 (1.2%)","0","1 (2.1%)","1 (1.0%)","VALUE",4,1,15,0
"OEDEMA","2 (1.2%)","0","1 (2.1%)","1 (1.0%)","VALUE",4,1,16,0
"PAIN","2 (1.2%)","1 (5.3%)","0","1 (1.0%)","VALUE",4,1,17,0
"APPLICATION SITE BLEEDING","1 (0.6%)","0","0","1 (1.0%)","VALUE",4,1,18,0
"APPLICATION SITE DESQUAMATION","1 (0.6%)","0","0","1 (1.0%)","VALUE",4,1,19,0
"APPLICATION SITE DISCHARGE","1 (0.6%)","0","1 (2.1%)","0","VALUE",4,1,20,0
"APPLICATION SITE DISCOLOURATION","1 (0.6%)","0","0","1 (1.0%)","VALUE",4,1,21,0
"APPLICATION SITE REACTION","1 (0.6%)","0","0","1 (1.0%)","VALUE",4,1,22,0
"APPLICATION SITE WARMTH","1 (0.6%)","0","0","1 (1.0%)","VALUE",4,1,23,0
"ASTHENIA","1 (0.6%)","0","0","1 (1.0%)","VALUE",4,1,24,0
