"label","col 1","col 2","col 3","col 4","col 5","col 6","col 7","col 8","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥ 1 AE","51 (96.2%)","47 (88.7%)","62 (84.9%)","55 (75.3%)","113 (89.7%)","102 (81.0%)","42 (71.2%)","36 (61.0%)","VALUE",2,0,0,0
"Skin and subcutaneous tissue disorders","34 (64.2%)","27 (50.9%)","28 (38.4%)","25 (34.2%)","62 (49.2%)","52 (41.3%)","16 (27.1%)","11 (18.6%)","VALUE",3,0,0,1
"PRURITUS","20 (37.7%)","14 (26.4%)","14 (19.2%)","10 (13.7%)","34 (27.0%)","24 (19.0%)","6 (10.2%)","4 (6.8%)","VALUE",3,1,1,0
"ERYTHEMA","12 (22.6%)","9 (17.0%)","8 (11.0%)","6 (8.2%)","20 (15.9%)","15 (11.9%)","6 (10.2%)","4 (6.8%)","VALUE",3,1,2,0
"RASH","5 (9.4%)","4 (7.5%)","9 (12.3%)","6 (8.2%)","14 (11.1%)","10 (7.9%)","4 (6.8%)","3 (5.1%)","VALUE",3,1,3,0
"HYPERHIDROSIS","8 (15.1%)","4 (7.5%)","4 (5.5%)","2 (2.7%)","12 (9.5%)","6 (4.8%)","2 (3.4%)","1 (1.7%)","VALUE",3,1,4,0
"SKIN IRRITATION","4 (7.5%)","3 (5.7%)","4 (5.5%)","3 (4.1%)","8 (6.3%)","6 (4.8%)","3 (5.1%)","1 (1.7%)","VALUE",3,1,5,0
"General disorders and administration site conditions","26 (49.1%)","20 (37.7%)","38 (52.1%)","25 (34.2%)","64 (50.8%)","45 (35.7%)","16 (27.1%)","8 (13.6%)","VALUE",4,0,5,1
"APPLICATION SITE PRURITUS","13 (24.5%)","10 (18.9%)","18 (24.7%)","10 (13.7%)","31 (24.6%)","20 (15.9%)","4 (6.8%)","4 (6.8%)","VALUE",4,1,6,0
"APPLICATION SITE ERYTHEMA","10 (18.9%)","6 (11.3%)","11 (15.1%)","6 (8.2%)","21 (16.7%)","12 (9.5%)","2 (3.4%)","1 (1.7%)","VALUE",4,1,7,0
"APPLICATION SITE IRRITATION","8 (15.1%)","6 (11.3%)","7 (9.6%)","5 (6.8%)","15 (11.9%)","11 (8.7%)","2 (3.4%)","1 (1.7%)","VALUE",4,1,8,0
"APPLICATION SITE VESICLES","4 (7.5%)","3 (5.7%)","4 (5.5%)","4 (5.5%)","8 (6.3%)","7 (5.6%)","0","0","VALUE",4,1,9,0
"APPLICATION SITE DERMATITIS","4 (7.5%)","1 (1.9%)","7 (9.6%)","4 (5.5%)","11 (8.7%)","5 (4.0%)","5 (8.5%)","2 (3.4%)","VALUE",4,1,10,0
"FATIGUE","5 (9.4%)","2 (3.8%)","5 (6.8%)","3 (4.1%)","10 (7.9%)","5 (4.0%)","0","0","VALUE",4,1,11,0
"APPLICATION SITE PAIN","2 (3.8%)","2 (3.8%)","0","0","2 (1.6%)","2 (1.6%)","0","0","VALUE",4,1,12,0
"APPLICATION SITE SWELLING","2 (3.8%)","2 (3.8%)","1 (1.4%)","0","3 (2.4%)","2 (1.6%)","0","0","VALUE",4,1,13,0
"APPLICATION SITE URTICARIA","0","0","2 (2.7%)","2 (2.7%)","2 (1.6%)","2 (1.6%)","0","0","VALUE",4,1,14,0
"MALAISE","2 (3.8%)","2 (3.8%)","1 (1.4%)","0","3 (2.4%)","2 (1.6%)","0","0","VALUE",4,1,15,0
"Nervous system disorders","18 (34.0%)","11 (20.8%)","18 (24.7%)","11 (15.1%)","36 (28.6%)","22 (17.5%)","5 (8.5%)","4 (6.8%)","VALUE",5,0,15,1
"DIZZINESS","8 (15.1%)","4 (7.5%)","8 (11.0%)","5 (6.8%)","16 (12.7%)","9 (7.1%)","0","0","VALUE",5,1,16,0
"HEADACHE","5 (9.4%)","4 (7.5%)","3 (4.1%)","3 (4.1%)","8 (6.3%)","7 (5.6%)","2 (3.4%)","1 (1.7%)","VALUE",5,1,17,0
"SOMNOLENCE","1 (1.9%)","0","2 (2.7%)","2 (2.7%)","3 (2.4%)","2 (1.6%)","1 (1.7%)","1 (1.7%)","VALUE",5,1,18,0
"SYNCOPE","1 (1.9%)","0","3 (4.1%)","2 (2.7%)","4 (3.2%)","2 (1.6%)","0","0","VALUE",5,1,19,0
"Gastrointestinal disorders","14 (26.4%)","10 (18.9%)","10 (13.7%)","7 (9.6%)","24 (19.0%)","17 (13.5%)","7 (11.9%)","4 (6.8%)","VALUE",6,0,19,1
"NAUSEA","5 (9.4%)","4 (7.5%)","2 (2.7%)","1 (1.4%)","7 (5.6%)","5 (4.0%)","0","0","VALUE",6,1,20,0
"VOMITING","5 (9.4%)","4 (7.5%)","2 (2.7%)","1 (1.4%)","7 (5.6%)","5 (4.0%)","0","0","VALUE",6,1,21,0
"DIARRHOEA","2 (3.8%)","0","3 (4.1%)","3 (4.1%)","5 (4.0%)","3 (2.4%)","3 (5.1%)","2 (3.4%)","VALUE",6,1,22,0
"SALIVARY HYPERSECRETION","4 (7.5%)","3 (5.7%)","0","0","4 (3.2%)","3 (2.4%)","0","0","VALUE",6,1,23,0
"Cardiac disorders","11 (20.8%)","6 (11.3%)","11 (15.1%)","8 (11.0%)","22 (17.5%)","14 (11.1%)","7 (11.9%)","6 (10.2%)","VALUE",7,0,23,1
"SINUS BRADYCARDIA","7 (13.2%)","4 (7.5%)","4 (5.5%)","2 (2.7%)","11 (8.7%)","6 (4.8%)","0","0","VALUE",7,1,24,0
"ATRIAL FIBRILLATION","1 (1.9%)","1 (1.9%)","2 (2.7%)","2 (2.7%)","3 (2.4%)","3 (2.4%)","0","0","VALUE",7,1,25,0
"MYOCARDIAL INFARCTION","3 (5.7%)","1 (1.9%)","1 (1.4%)","1 (1.4%)","4 (3.2%)","2 (1.6%)","3 (5.1%)","3 (5.1%)","VALUE",7,1,26,0
"VENTRICULAR EXTRASYSTOLES","1 (1.9%)","0","2 (2.7%)","2 (2.7%)","3 (2.4%)","2 (1.6%)","0","0","VALUE",7,1,27,0
"Infections and infestations","9 (17.0%)","5 (9.4%)","6 (8.2%)","5 (6.8%)","15 (11.9%)","10 (7.9%)","14 (23.7%)","7 (11.9%)","VALUE",8,0,27,1
"NASOPHARYNGITIS","3 (5.7%)","1 (1.9%)","3 (4.1%)","3 (4.1%)","6 (4.8%)","4 (3.2%)","2 (3.4%)","1 (1.7%)","VALUE",8,1,28,0
