"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Analysis set: Safety","73","73","55","39","24","12","VALUE",2,0,0,0
"Subjects with ≥ 1 AE","62 (84.9%)","14 (19.2%)","15 (27.3%)","14 (35.9%)","10 (41.7%)","9 (75.0%)","VALUE",3,0,0,1
"Skin and subcutaneous tissue disorders","28 (38.4%)","8 (11.0%)","7 (12.7%)","2 (5.1%)","6 (25.0%)","5 (41.7%)","VALUE",4,0,0,1
"PRURITUS","14 (19.2%)","4 (5.5%)","3 (5.5%)","0","4 (16.7%)","3 (25.0%)","VALUE",4,1,1,0
"ERYTHEMA","8 (11.0%)","4 (5.5%)","1 (1.8%)","0","2 (8.3%)","1 (8.3%)","VALUE",4,1,2,0
"HYPERHIDROSIS","4 (5.5%)","1 (1.4%)","2 (3.6%)","1 (2.6%)","0","0","VALUE",4,1,3,0
"RASH","9 (12.3%)","2 (2.7%)","3 (5.5%)","0","3 (12.5%)","1 (8.3%)","VALUE",4,1,4,0
"SKIN IRRITATION","4 (5.5%)","2 (2.7%)","1 (1.8%)","0","0","1 (8.3%)","VALUE",4,1,5,0
"RASH PRURITIC","1 (1.4%)","0","0","1 (2.6%)","0","0","VALUE",4,1,6,0
"BLISTER","2 (2.7%)","0","0","0","1 (4.2%)","1 (8.3%)","VALUE",4,1,7,0
"PRURITUS GENERALISED","0","0","0","0","0","0","VALUE",4,1,8,0
"SKIN ODOUR ABNORMAL","0","0","0","0","0","0","VALUE",4,1,9,0
"RASH ERYTHEMATOUS","1 (1.4%)","0","0","0","0","1 (8.3%)","VALUE",4,1,10,0
"General disorders and administration site conditions","38 (52.1%)","10 (13.7%)","11 (20.0%)","6 (15.4%)","5 (20.8%)","6 (50.0%)","VALUE",5,0,10,1
"APPLICATION SITE PRURITUS","18 (24.7%)","6 (8.2%)","5 (9.1%)","3 (7.7%)","1 (4.2%)","3 (25.0%)","VALUE",5,1,11,0
"APPLICATION SITE ERYTHEMA","11 (15.1%)","5 (6.8%)","2 (3.6%)","1 (2.6%)","1 (4.2%)","2 (16.7%)","VALUE",5,1,12,0
"APPLICATION SITE IRRITATION","7 (9.6%)","1 (1.4%)","3 (5.5%)","0","1 (4.2%)","2 (16.7%)","VALUE",5,1,13,0
"FATIGUE","5 (6.8%)","3 (4.1%)","0","0","1 (4.2%)","1 (8.3%)","VALUE",5,1,14,0
"APPLICATION SITE DERMATITIS","7 (9.6%)","0","2 (3.6%)","3 (7.7%)","0","2 (16.7%)","VALUE",5,1,15,0
"APPLICATION SITE VESICLES","4 (5.5%)","1 (1.4%)","2 (3.6%)","1 (2.6%)","0","0","VALUE",5,1,16,0
"APPLICATION SITE PAIN","0","0","0","0","0","0","VALUE",5,1,17,0
"APPLICATION SITE PERSPIRATION","0","0","0","0","0","0","VALUE",5,1,18,0
"CHEST PAIN","0","0","0","0","0","0","VALUE",5,1,19,0
"MALAISE","1 (1.4%)","0","0","0","1 (4.2%)","0","VALUE",5,1,20,0
"APPLICATION SITE REACTION","0","0","0","0","0","0","VALUE",5,1,21,0
"CHEST DISCOMFORT","1 (1.4%)","0","0","1 (2.6%)","0","0","VALUE",5,1,22,0
"FEELING ABNORMAL","0","0","0","0","0","0","VALUE",5,1,23,0
