"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows","newpage"
"Age: ≥18 to <65 years","11","","","8","","","VALUE",2,0,0,0,0
""," "," "," "," "," "," ","VALUE",2,0,1,0,0
"Albumin (g/L)","","","","","","","HEADER",2,0,2,0,0
"Baseline","11/11 (100.0%)","40.5 (39.4, 41.7)","","7/8 (87.5%)","41.1 (38.6, 43.7)","","VALUE",2,1,3,0,0
"Cycle 02","3/11 (27.3%)","37.0 (30.4, 43.6)","-2.7 (-4.1, -1.2)","1/8 (12.5%)","44.0 (NE, NE)","-2.0 (NE, NE)","VALUE",2,1,4,0,0
"Cycle 03","7/11 (63.6%)","38.0 (35.9, 40.1)","-2.9 (-4.5, -1.2)","2/8 (25.0%)","38.5 (32.1, 44.9)","-3.5 (-9.9, 2.9)","VALUE",2,1,5,0,0
"Cycle 04","7/10 (70.0%)","38.3 (35.7, 40.9)","-2.6 (-4.8, -0.3)","3/5 (60.0%)","38.3 (34.5, 42.1)","-1.0 (-3.5, 1.5)","VALUE",2,1,6,0,0
"Alkaline Phosphatase (U/L)","","","","","","","HEADER",3,0,6,1,0
"Baseline","10/11 (90.9%)","70.3 (57.0, 83.6)","","8/8 (100.0%)","69.5 (55.8, 83.2)","","VALUE",3,1,7,0,0
"Cycle 02","10/11 (90.9%)","68.5 (53.7, 83.3)","-3.1 (-9.6, 3.4)","4/8 (50.0%)","69.8 (54.4, 85.1)","2.5 (-8.1, 13.1)","VALUE",3,1,8,0,0
"Cycle 03","5/11 (45.5%)","75.4 (51.6, 99.2)","0.2 (-13.7, 14.1)","3/8 (37.5%)","59.0 (22.9, 95.1)","-5.3 (-50.9, 40.2)","VALUE",3,1,9,0,0
"Cycle 04","6/10 (60.0%)","71.0 (47.0, 95.0)","-3.7 (-10.5, 3.1)","4/5 (80.0%)","63.0 (49.1, 76.9)","-3.3 (-15.3, 8.8)","VALUE",3,1,10,0,0
"Alanine Aminotransferase (U/L)","","","","","","","HEADER",4,0,10,1,0
"Baseline","11/11 (100.0%)","29.3 (17.4, 41.1)","","7/8 (87.5%)","21.4 (16.5, 26.4)","","VALUE",4,1,11,0,0
"Cycle 02","4/11 (36.4%)","25.5 (7.9, 43.1)","3.0 (-1.5, 7.5)","4/8 (50.0%)","25.0 (18.9, 31.1)","5.0 (-4.1, 14.1)","VALUE",4,1,12,0,0
"Cycle 03","6/11 (54.5%)","27.8 (9.1, 46.6)","-4.5 (-16.7, 7.7)","7/8 (87.5%)","21.1 (15.0, 27.3)","-3.6 (-9.2, 2.1)","VALUE",4,1,13,0,0
"Cycle 04","8/10 (80.0%)","30.0 (15.8, 44.2)","-2.1 (-6.6, 2.3)","2/5 (40.0%)","19.5 (-25.0, 64.0)","-1.5 (-20.6, 17.6)","VALUE",4,1,14,0,0
"Aspartate Aminotransferase (U/L)","","","","","","","HEADER",5,0,14,1,0
"Baseline","11/11 (100.0%)","27.3 (20.8, 33.8)","","8/8 (100.0%)","25.4 (13.1, 37.6)","","VALUE",5,1,15,0,0
"Cycle 02","5/11 (45.5%)","27.2 (21.2, 33.2)","-4.2 (-19.0, 10.6)","4/8 (50.0%)","19.0 (12.5, 25.5)","-5.5 (-32.0, 21.0)","VALUE",5,1,16,0,0
