"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows","newpage"
"Age: ≥18 to <65 years","14","","","","","VALUE",2,0,0,0,0
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Albumin (g/L)","","","","","","HEADER",2,0,2,0,0
"Baseline","12/14 (85.7%)","40.8 (39.0, 42.5)","","","","VALUE",2,1,3,0,0
"Cycle 02","10/14 (71.4%)","39.7 (36.8, 42.6)","-0.8 (-3.2, 1.6)","-1.9 (-4.3, 0.6)","-1.2 (NE, NE)","VALUE",2,1,4,0,0
"Cycle 03","4/14 (28.6%)","38.5 (36.4, 40.6)","-2.5 (-7.3, 2.3)","-0.4 (-4.8, 4.1)","-1.0 (-5.6, 3.6)","VALUE",2,1,5,0,0
"Cycle 04","7/12 (58.3%)","40.1 (38.3, 42.0)","-0.7 (-1.7, 0.3)","-1.9 (-4.2, 0.5)","-0.3 (-2.2, 1.6)","VALUE",2,1,6,0,0
"Alkaline Phosphatase (U/L)","","","","","","HEADER",3,0,6,1,0
"Baseline","12/14 (85.7%)","62.4 (49.0, 75.8)","","","","VALUE",3,1,7,0,0
"Cycle 02","7/14 (50.0%)","78.6 (63.8, 93.4)","-1.0 (-9.4, 7.4)","-2.1 (-11.8, 7.6)","3.5 (-7.5, 14.5)","VALUE",3,1,8,0,0
"Cycle 03","4/14 (28.6%)","62.8 (30.0, 95.5)","-2.8 (-10.7, 5.2)","3.0 (-10.8, 16.7)","-2.6 (-45.2, 40.0)","VALUE",3,1,9,0,0
"Cycle 04","6/12 (50.0%)","47.8 (30.5, 65.2)","-0.3 (-7.3, 6.6)","-3.3 (-11.8, 5.1)","-2.9 (-14.3, 8.5)","VALUE",3,1,10,0,0
"Alanine Aminotransferase (U/L)","","","","","","HEADER",4,0,10,1,0
"Baseline","12/14 (85.7%)","16.8 (13.6, 19.9)","","","","VALUE",4,1,11,0,0
"Cycle 02","7/14 (50.0%)","26.0 (9.5, 42.5)","2.1 (-5.2, 9.5)","0.9 (-6.8, 8.5)","2.9 (-6.7, 12.4)","VALUE",4,1,12,0,0
"Cycle 03","7/14 (50.0%)","21.4 (8.1, 34.8)","-0.3 (-7.3, 6.7)","-4.2 (-16.9, 8.4)","-3.3 (-11.3, 4.8)","VALUE",4,1,13,0,0
"Cycle 04","7/12 (58.3%)","16.0 (9.8, 22.2)","-0.9 (-5.4, 3.7)","-1.3 (-7.0, 4.4)","-0.6 (-6.9, 5.6)","VALUE",4,1,14,0,0
"Aspartate Aminotransferase (U/L)","","","","","","HEADER",5,0,14,1,0
"Baseline","12/14 (85.7%)","21.9 (17.9, 25.9)","","","","VALUE",5,1,15,0,0
"Cycle 02","8/14 (57.1%)","22.0 (17.7, 26.3)","-1.4 (-4.1, 1.4)","-2.8 (-17.4, 11.8)","-4.1 (-30.3, 22.1)","VALUE",5,1,16,0,0
