"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows","newpage"
"Age: ≥18 to <65 years","5","","","VALUE",2,0,0,0,0
""," "," "," ","VALUE",2,0,1,0,0
"Calcium (mmol/L)","","","","HEADER",2,0,2,0,0
"Baseline","5/5 (100.0%)","2.2654 (2.1370, 2.3939)","","VALUE",2,1,3,0,0
"Cycle 02","3/5 (60.0%)","2.2954 (2.0251, 2.5657)","0.0499 (-0.1980, 0.2978)","VALUE",2,1,4,0,0
"Cycle 03","1/5 (20.0%)","2.1956 (NE, NE)","-0.1248 (NE, NE)","VALUE",2,1,5,0,0
"Cycle 04","3/3 (100.0%)","2.3203 (2.0363, 2.6044)","0.0333 (-0.1844, 0.2509)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","HEADER",3,0,6,1,0
"Baseline","5/5 (100.0%)","5.2623 (4.8804, 5.6442)","","VALUE",3,1,7,0,0
"Cycle 02","2/5 (40.0%)","4.4130 (-4.4032, 13.2293)","-0.6106 (-7.6638, 6.4426)","VALUE",3,1,8,0,0
"Cycle 03","3/5 (60.0%)","4.2928 (3.7187, 4.8669)","-0.9252 (-2.2645, 0.4141)","VALUE",3,1,9,0,0
"Cycle 04","1/3 (33.3%)","5.8841 (NE, NE)","0.3331 (NE, NE)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","HEADER",4,0,10,1,0
"Baseline","5/5 (100.0%)","4.12 (3.96, 4.28)","","VALUE",4,1,11,0,0
"Cycle 02","1/5 (20.0%)","4.20 (NE, NE)","0.20 (NE, NE)","VALUE",4,1,12,0,0
"Cycle 03","0/5 (0.0%)","NE (NE, NE)","NE (NE, NE)","VALUE",4,1,13,0,0
"Cycle 04","2/3 (66.7%)","3.80 (-5.09, 12.69)","-0.45 (-8.71, 7.81)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","HEADER",5,0,14,1,0
"Baseline","5/5 (100.0%)","139.6 (137.9, 141.3)","","VALUE",5,1,15,0,0
"Cycle 02","4/5 (80.0%)","139.2 (135.7, 142.8)","-0.8 (-4.0, 2.5)","VALUE",5,1,16,0,0
"Cycle 03","4/5 (80.0%)","142.0 (138.6, 145.4)","2.8 (-2.5, 8.0)","VALUE",5,1,17,0,0
"Cycle 04","1/3 (33.3%)","141.0 (NE, NE)","0.0 (NE, NE)","VALUE",5,1,18,0,0
"Age: ≥65 to <75 years","17","","","VALUE",2,0,0,0,1
""," "," "," ","VALUE",2,0,1,0,0
"Calcium (mmol/L)","","","","HEADER",2,0,2,0,0
"Baseline","17/17 (100.0%)","2.2822 (2.2287, 2.3357)","","VALUE",2,1,3,0,0
"Cycle 02","6/16 (37.5%)","2.2580 (2.1632, 2.3528)","-0.1081 (-0.2531, 0.0369)","VALUE",2,1,4,0,0
"Cycle 03","5/10 (50.0%)","2.2555 (2.1718, 2.3392)","0.0100 (-0.0894, 0.1094)","VALUE",2,1,5,0,0
"Cycle 04","4/9 (44.4%)","2.2393 (2.0492, 2.4293)","-0.0499 (-0.2183, 0.1185)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","HEADER",3,0,6,1,0
"Baseline","17/17 (100.0%)","5.2016 (4.6787, 5.7245)","","VALUE",3,1,7,0,0
"Cycle 02","7/16 (43.8%)","5.0673 (4.4263, 5.7083)","-0.5789 (-1.8506, 0.6928)","VALUE",3,1,8,0,0
"Cycle 03","3/10 (30.0%)","6.0691 (2.9847, 9.1535)","0.1850 (-0.4952, 0.8653)","VALUE",3,1,9,0,0
"Cycle 04","4/9 (44.4%)","5.4677 (3.7226, 7.2128)","-0.0555 (-1.7652, 1.6542)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","HEADER",4,0,10,1,0
"Baseline","17/17 (100.0%)","4.43 (4.24, 4.62)","","VALUE",4,1,11,0,0
"Cycle 02","10/16 (62.5%)","4.17 (3.87, 4.47)","-0.20 (-0.60, 0.20)","VALUE",4,1,12,0,0
"Cycle 03","6/10 (60.0%)","4.22 (3.77, 4.66)","-0.13 (-0.49, 0.22)","VALUE",4,1,13,0,0
"Cycle 04","3/9 (33.3%)","4.13 (3.37, 4.89)","-0.10 (-1.48, 1.28)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","HEADER",5,0,14,1,0
"Baseline","17/17 (100.0%)","140.1 (138.7, 141.6)","","VALUE",5,1,15,0,0
"Cycle 02","8/16 (50.0%)","139.4 (138.4, 140.4)","0.0 (-3.2, 3.2)","VALUE",5,1,16,0,0
"Cycle 03","4/10 (40.0%)","141.5 (138.7, 144.3)","-0.2 (-2.6, 2.1)","VALUE",5,1,17,0,0
"Cycle 04","4/9 (44.4%)","139.8 (135.2, 144.3)","-0.2 (-3.0, 2.5)","VALUE",5,1,18,0,0
"Age: ≥75 years","51","","","VALUE",2,0,0,0,1
""," "," "," ","VALUE",2,0,1,0,0
"Calcium (mmol/L)","","","","HEADER",2,0,2,0,0
"Baseline","46/50 (92.0%)","2.3057 (2.2699, 2.3415)","","VALUE",2,1,3,0,0
"Cycle 02","22/46 (47.8%)","2.3011 (2.2362, 2.3659)","-0.0079 (-0.0561, 0.0403)","VALUE",2,1,4,0,0
"Cycle 03","15/37 (40.5%)","2.2954 (2.2424, 2.3484)","-0.0283 (-0.0666, 0.0101)","VALUE",2,1,5,0,0
"Cycle 04","18/35 (51.4%)","2.2857 (2.2287, 2.3427)","0.0069 (-0.0332, 0.0470)","VALUE",2,1,6,0,0
"Glucose (mmol/L)","","","","HEADER",3,0,6,1,0
"Baseline","48/50 (96.0%)","5.5001 (5.1602, 5.8400)","","VALUE",3,1,7,0,0
"Cycle 02","21/46 (45.7%)","5.5959 (4.9945, 6.1974)","0.3516 (-0.2345, 0.9377)","VALUE",3,1,8,0,0
"Cycle 03","24/37 (64.9%)","5.4585 (4.9706, 5.9464)","0.0601 (-0.3467, 0.4670)","VALUE",3,1,9,0,0
"Cycle 04","16/35 (45.7%)","5.2179 (4.8509, 5.5850)","-0.2984 (-0.8830, 0.2863)","VALUE",3,1,10,0,0
"Potassium (mmol/L)","","","","HEADER",4,0,10,1,0
"Baseline","46/50 (92.0%)","4.31 (4.20, 4.42)","","VALUE",4,1,11,0,0
"Cycle 02","20/46 (43.5%)","4.30 (4.08, 4.51)","0.02 (-0.18, 0.22)","VALUE",4,1,12,0,0
"Cycle 03","18/37 (48.6%)","4.39 (4.14, 4.65)","0.03 (-0.13, 0.19)","VALUE",4,1,13,0,0
"Cycle 04","19/35 (54.3%)","4.32 (4.12, 4.52)","0.03 (-0.18, 0.24)","VALUE",4,1,14,0,0
"Sodium (mmol/L)","","","","HEADER",5,0,14,1,0
"Baseline","47/50 (94.0%)","139.7 (138.9, 140.5)","","VALUE",5,1,15,0,0
"Cycle 02","23/46 (50.0%)","139.7 (138.3, 141.2)","0.8 (-0.6, 2.2)","VALUE",5,1,16,0,0
"Cycle 03","16/37 (43.2%)","140.1 (138.7, 141.5)","0.5 (-0.9, 1.9)","VALUE",5,1,17,0,0
"Cycle 04","15/35 (42.9%)","140.5 (139.3, 141.6)","1.1 (-0.1, 2.3)","VALUE",5,1,18,0,0
