"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Calcium (mmol/L)","","","","","","","HEADER",2,0,0,0
"Baseline","52/53 (98.1%)","2.3007 (2.2724, 2.3290)","","68/72 (94.4%)","2.2968 (2.2691, 2.3246)","","VALUE",2,1,1,0
"Cycle 02","29/53 (54.7%)","2.2876 (2.2419, 2.3334)","-0.0120 (-0.0500, 0.0259)","31/67 (46.3%)","2.2922 (2.2438, 2.3406)","-0.0217 (-0.0655, 0.0221)","VALUE",2,1,2,0
"Cycle 03","21/53 (39.6%)","2.2954 (2.2425, 2.3483)","-0.0095 (-0.0609, 0.0419)","21/52 (40.4%)","2.2811 (2.2404, 2.3219)","-0.0238 (-0.0574, 0.0098)","VALUE",2,1,3,0
"Cycle 04","24/50 (48.0%)","2.2652 (2.2315, 2.2990)","-0.0353 (-0.0800, 0.0093)","25/47 (53.2%)","2.2824 (2.2360, 2.3289)","0.0010 (-0.0341, 0.0361)","VALUE",2,1,4,0
"Glucose (mmol/L)","","","","","","","HEADER",3,0,4,1
"Baseline","50/53 (94.3%)","5.2945 (4.9610, 5.6281)","","70/72 (97.2%)","5.4106 (5.1498, 5.6715)","","VALUE",3,1,5,0
"Cycle 02","27/53 (50.9%)","6.7290 (5.0413, 8.4168)","1.0650 (-0.0754, 2.2054)","30/67 (44.8%)","5.3937 (4.9428, 5.8446)","0.0703 (-0.4232, 0.5638)","VALUE",3,1,6,0
"Cycle 03","27/53 (50.9%)","6.2644 (5.3223, 7.2065)","0.8162 (0.2610, 1.3715)","30/52 (57.7%)","5.4030 (4.9699, 5.8360)","-0.0259 (-0.3714, 0.3196)","VALUE",3,1,7,0
"Cycle 04","23/50 (46.0%)","6.6081 (4.7846, 8.4317)","1.0137 (-0.4353, 2.4626)","21/47 (44.7%)","5.2972 (4.9553, 5.6392)","-0.2220 (-0.6998, 0.2557)","VALUE",3,1,8,0
"Potassium (mmol/L)","","","","","","","HEADER",4,0,8,1
"Baseline","51/53 (96.2%)","4.27 (4.17, 4.37)","","68/72 (94.4%)","4.32 (4.24, 4.41)","","VALUE",4,1,9,0
"Cycle 02","29/53 (54.7%)","4.32 (4.17, 4.47)","0.14 (-0.00, 0.28)","31/67 (46.3%)","4.25 (4.09, 4.41)","-0.05 (-0.22, 0.13)","VALUE",4,1,10,0
"Cycle 03","25/53 (47.2%)","4.22 (4.07, 4.38)","-0.22 (-0.40, -0.05)","24/52 (46.2%)","4.35 (4.14, 4.56)","-0.01 (-0.15, 0.13)","VALUE",4,1,11,0
"Cycle 04","24/50 (48.0%)","4.12 (3.98, 4.25)","-0.20 (-0.36, -0.03)","24/47 (51.1%)","4.25 (4.06, 4.45)","-0.03 (-0.23, 0.18)","VALUE",4,1,12,0
"Sodium (mmol/L)","","","","","","","HEADER",5,0,12,1
"Baseline","52/53 (98.1%)","139.9 (139.2, 140.6)","","69/72 (95.8%)","139.8 (139.1, 140.4)","","VALUE",5,1,13,0
"Cycle 02","22/53 (41.5%)","138.7 (137.5, 139.9)","-1.3 (-2.7, 0.2)","35/67 (52.2%)","139.6 (138.6, 140.6)","0.4 (-0.7, 1.5)","VALUE",5,1,14,0
"Cycle 03","26/53 (49.1%)","139.5 (138.5, 140.6)","-0.3 (-1.6, 0.9)","24/52 (46.2%)","140.7 (139.6, 141.7)","0.8 (-0.4, 1.9)","VALUE",5,1,15,0
"Cycle 04","26/50 (52.0%)","140.5 (139.3, 141.7)","0.8 (-0.4, 2.0)","20/47 (42.6%)","140.3 (139.4, 141.3)","0.8 (-0.2, 1.7)","VALUE",5,1,16,0
