"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Hemoglobin (g/L)","","","","HEADER",2,0,0,0
"Baseline","67/72 (93.1%)","8.8357 (8.6469, 9.0245)","","VALUE",2,1,1,0
"Cycle 02","37/72 (51.4%)","8.7303 (8.4555, 9.0052)","-0.2063 (-0.3821, -0.0305)","VALUE",2,1,2,0
"Cycle 03","38/72 (52.8%)","8.5610 (8.3133, 8.8087)","-0.1698 (-0.3143, -0.0254)","VALUE",2,1,3,0
"Cycle 04","33/67 (49.3%)","8.5436 (8.2975, 8.7897)","-0.1749 (-0.3471, -0.0027)","VALUE",2,1,4,0
"Leukocytes (x10E9/L)","","","","HEADER",3,0,4,1
"Baseline","68/72 (94.4%)","6.505 (6.159, 6.851)","","VALUE",3,1,5,0
"Cycle 02","39/72 (54.2%)","6.384 (5.851, 6.917)","0.052 (-0.380, 0.485)","VALUE",3,1,6,0
"Cycle 03","30/72 (41.7%)","6.720 (6.159, 7.281)","0.011 (-0.446, 0.468)","VALUE",3,1,7,0
"Cycle 04","36/67 (53.7%)","7.042 (6.475, 7.608)","0.366 (-0.264, 0.996)","VALUE",3,1,8,0
"Neutrophils (x10E9/L)","","","","HEADER",4,0,8,1
"Baseline","66/72 (91.7%)","26.9458 (23.0246, 30.8671)","","VALUE",4,1,9,0
"Cycle 02","37/72 (51.4%)","27.1675 (22.7769, 31.5582)","3e-04 (-0.0420, 0.0425)","VALUE",4,1,10,0
"Cycle 03","35/72 (48.6%)","25.2678 (19.7298, 30.8058)","-0.0321 (-0.0742, 0.0101)","VALUE",4,1,11,0
"Cycle 04","38/67 (56.7%)","25.0049 (20.1229, 29.8869)","0.0303 (-0.0129, 0.0734)","VALUE",4,1,12,0
"Platelets (x10E9/L)","","","","HEADER",5,0,12,1
"Baseline","68/72 (94.4%)","227.3 (214.5, 240.1)","","VALUE",5,1,13,0
"Cycle 02","33/72 (45.8%)","244.8 (224.3, 265.3)","7.4 (-2.1, 16.8)","VALUE",5,1,14,0
"Cycle 03","35/72 (48.6%)","242.4 (226.9, 257.8)","12.4 (3.5, 21.3)","VALUE",5,1,15,0
"Cycle 04","27/67 (40.3%)","251.2 (226.9, 275.5)","11.8 (-5.3, 29.0)","VALUE",5,1,16,0
