"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Creatinine (umol/L)","","","","","","HEADER",2,0,0,0
"Baseline","83/86 (96.5%)","98.199 (94.303, 102.094)","","","","VALUE",2,1,1,0
"Cycle 02","48/84 (57.1%)","98.345 (93.561, 103.129)","0.921 (-1.739, 3.581)","1.731 (-2.183, 5.645)","1.148 (-2.605, 4.901)","VALUE",2,1,2,0
"Cycle 03","42/82 (51.2%)","100.187 (93.700, 106.673)","2.315 (-1.389, 6.019)","1.962 (-3.459, 7.383)","-0.842 (-5.208, 3.525)","VALUE",2,1,3,0
"Cycle 04","33/75 (44.0%)","102.865 (96.754, 108.977)","4.286 (0.950, 7.622)","-0.396 (-5.864, 5.071)","-2.575 (-7.017, 1.867)","VALUE",2,1,4,0
"Creatinine Kinase (U/L)","","","","","","HEADER",3,0,4,1
"Baseline","82/86 (95.3%)","86.4 (76.7, 96.0)","","","","VALUE",3,1,5,0
"Cycle 02","42/84 (50.0%)","89.1 (73.5, 104.7)","-0.6 (-13.1, 11.9)","-10.3 (-26.5, 5.9)","0.0 (-28.3, 28.4)","VALUE",3,1,6,0
"Cycle 03","38/82 (46.3%)","107.3 (50.0, 164.5)","29.3 (-23.9, 82.5)","-26.0 (-80.3, 28.3)","-35.1 (-89.1, 19.0)","VALUE",3,1,7,0
"Cycle 04","38/75 (50.7%)","86.5 (74.0, 99.0)","2.7 (-9.1, 14.4)","-17.8 (-40.0, 4.4)","-22.5 (-53.0, 8.0)","VALUE",3,1,8,0
