"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Hemoglobin, male","","","","","","HEADER",2,0,0,0
"N","69","85","85","","","N",2,1,1,0
"Level 1 (125-135 g/L)","14 (20.3%)","16 (18.8%)","22 (25.9%)","-5.6 (-18.9, 7.7)","-7.1 (-19.5, 5.4)","VALUE",2,2,2,0
"Level 2 (<125 g/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,2,3,0
"Level 3 (<105 g/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,2,4,0
"Leukocytes, low","","","","","","HEADER",3,0,4,1
"N","66","80","78","","","N",3,1,5,0
"Level 1 (<3.5 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,2,6,0
"Level 2 (<3.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,2,7,0
"Level 3 (<1.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,2,8,0
"Neutrophils, low","","","","","","HEADER",4,0,8,1
"N","66","76","78","","","N",4,1,9,0
"Level 1 (<2.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,2,10,0
"Level 2 (<1.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,2,11,0
"Level 3 (<0.5 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,2,12,0
"Platelets, low","","","","","","HEADER",5,0,12,1
"N","66","76","81","","","N",5,1,13,0
"Level 1 (<140 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,2,14,0
"Level 2 (<125 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,2,15,0
"Level 3 (<100 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,2,16,0
