"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Cycle 02","68","87","82","","","VALUE",2,0,0,0
"Hemoglobin, male","","","","","","HEADER",2,1,1,0
"N","21","26","35","","","N",2,2,2,0
"Level 1 (125-135 g/L)","1 (4.8%)","4 (15.4%)","4 (11.4%)","-6.7 (-20.6, 7.3)","4.0 (-13.5, 21.4)","VALUE",2,4,3,0
"Level 2 (<125 g/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,4,4,0
"Level 3 (<105 g/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,4,5,0
"Leukocytes, low","","","","","","HEADER",3,1,5,1
"N","15","23","19","","","N",3,2,6,0
"Level 1 (<3.5 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,4,7,0
"Level 2 (<3.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,4,8,0
"Level 3 (<1.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,4,9,0
"Neutrophils, low","","","","","","HEADER",4,1,9,1
"N","26","18","19","","","N",4,2,10,0
"Level 1 (<2.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,4,11,0
"Level 2 (<1.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,4,12,0
"Level 3 (<0.5 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,4,13,0
"Platelets, low","","","","","","HEADER",5,1,13,1
"N","16","22","16","","","N",5,2,14,0
"Level 1 (<140 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,4,15,0
"Level 2 (<125 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,4,16,0
"Level 3 (<100 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,4,17,0
"Cycle 03","70","69","77","","","VALUE",6,0,17,1
"Hemoglobin, male","","","","","","HEADER",6,1,18,0
"N","15","21","22","","","N",6,2,19,0
"Level 1 (125-135 g/L)","3 (20.0%)","2 (9.5%)","1 (4.5%)","15.5 (-6.6, 37.5)","5.0 (-10.3, 20.3)","VALUE",6,4,20,0
"Level 2 (<125 g/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",6,4,21,0
"Level 3 (<105 g/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",6,4,22,0
"Leukocytes, low","","","","","","HEADER",7,1,22,1
"N","16","22","16","","","N",7,2,23,0
"Level 1 (<3.5 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",7,4,24,0
"Level 2 (<3.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",7,4,25,0
"Level 3 (<1.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",7,4,26,0
"Neutrophils, low","","","","","","HEADER",8,1,26,1
"N","19","16","21","","","N",8,2,27,0
"Level 1 (<2.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",8,4,28,0
"Level 2 (<1.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",8,4,29,0
"Level 3 (<0.5 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",8,4,30,0
"Platelets, low","","","","","","HEADER",9,1,30,1
"N","23","20","21","","","N",9,2,31,0
"Level 1 (<140 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",9,4,32,0
"Level 2 (<125 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",9,4,33,0
"Level 3 (<100 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",9,4,34,0
"Cycle 04","64","60","69","","","VALUE",10,0,34,1
"Hemoglobin, male","","","","","","HEADER",10,1,35,0
"N","21","8","22","","","N",10,2,36,0
"Level 1 (125-135 g/L)","0","0","3 (13.6%)","-13.6 (-28.0, 0.7)","-13.6 (-28.0, 0.7)","VALUE",10,4,37,0
"Level 2 (<125 g/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",10,4,38,0
"Level 3 (<105 g/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",10,4,39,0
"Leukocytes, low","","","","","","HEADER",11,1,39,1
"N","16","16","18","","","N",11,2,40,0
"Level 1 (<3.5 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",11,4,41,0
"Level 2 (<3.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",11,4,42,0
"Level 3 (<1.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",11,4,43,0
"Neutrophils, low","","","","","","HEADER",12,1,43,1
"N","17","15","17","","","N",12,2,44,0
"Level 1 (<2.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",12,4,45,0
"Level 2 (<1.0 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",12,4,46,0
"Level 3 (<0.5 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",12,4,47,0
"Platelets, low","","","","","","HEADER",13,1,47,1
"N","15","18","13","","","N",13,2,48,0
"Level 1 (<140 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",13,4,49,0
"Level 2 (<125 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",13,4,50,0
"Level 3 (<100 10^9/L)","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",13,4,51,0
