"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"General chemistry","","","","","","HEADER",2,0,0,0
"Calcium, low (<1.996 mmol/L)","46/53 (86.8%)","53/68 (77.9%)","55/58 (94.8%)","-8.0 (-18.8, 2.7)","-16.9 (-28.3, -5.5)","VALUE",2,1,1,0
"Glucose, low (<3.00 mmol/L)","44/53 (83.0%)","51/70 (72.9%)","56/59 (94.9%)","-11.9 (-23.5, -0.3)","-22.1 (-33.9, -10.2)","VALUE",2,1,2,0
"Glucose, high (fasting ≥6.99 mmol/L or random ≥11.10 mmol/L)","47/53 (88.7%)","55/69 (79.7%)","48/58 (82.8%)","5.9 (-7.0, 18.9)","-3.0 (-16.6, 10.5)","VALUE",2,1,3,0
"Potassium, high (>6.0 mmol/L)","49/53 (92.5%)","48/69 (69.6%)","54/58 (93.1%)","-0.7 (-10.3, 9.0)","-23.5 (-36.2, -10.9)","VALUE",2,1,4,0
"Sodium, high (>155 mmol/L)","45/53 (84.9%)","56/66 (84.8%)","50/58 (86.2%)","-1.3 (-14.4, 11.8)","-1.4 (-13.8, 11.0)","VALUE",2,1,5,0
"Lipids","","","","","","HEADER",3,0,5,1
"HDL Cholesterol, males, low (<0.776 mmol/L)","44/53 (83.0%)","54/71 (76.1%)","51/59 (86.4%)","-3.4 (-16.8, 9.9)","-10.4 (-23.6, 2.8)","VALUE",3,1,6,0
"Triglycerides, high (>3.387 mmol/L)","45/53 (84.9%)","52/73 (71.2%)","54/59 (91.5%)","-6.6 (-18.6, 5.4)","-20.3 (-32.9, -7.7)","VALUE",3,1,7,0
"Liver biochemistry","","","","","","HEADER",4,0,7,1
"Alanine Aminotransferase, high (>5x ULN Enzyme U/L)","51/53 (96.2%)","51/70 (72.9%)","47/58 (81.0%)","15.2 (3.9, 26.5)","-8.2 (-22.7, 6.3)","VALUE",4,1,8,0
"Albumin, low (<25.0 g/L)","44/53 (83.0%)","52/67 (77.6%)","50/59 (84.7%)","-1.7 (-15.4, 11.9)","-7.1 (-20.7, 6.4)","VALUE",4,1,9,0
"Alkaline Phosphatase, high (>2x ULN Enzyme U/L)","47/52 (90.4%)","53/69 (76.8%)","49/58 (84.5%)","5.9 (-6.4, 18.2)","-7.7 (-21.3, 6.0)","VALUE",4,1,10,0
"Aspartate Aminotransferase, high (>5x ULN Enzyme U/L)","49/53 (92.5%)","54/71 (76.1%)","55/58 (94.8%)","-2.4 (-11.5, 6.7)","-18.8 (-30.2, -7.3)","VALUE",4,1,11,0
