"label","col 1","col 2","col 3","col 4","col 5","col 6","col 7","row_type","anbr","indentme","roworder","newrows"
"Apalutamide","72","","","","","","","VALUE",2,0,0,0
"Apalutamide Subgroup","96","","","","","","","VALUE",2,0,1,0
"Placebo","86","","","","","","","VALUE",2,0,2,0
""," "," "," "," "," "," "," ","VALUE",2,0,3,0
"Blood and lymphatic system disorders","","","","","","","","HEADER",2,0,4,0
"Leukocytosis","","","","","","","","HEADER",2,1,5,0
"Apalutamide","72","","","","","","","VALUE",2,2,6,0
"Worst toxicity grade, n","","","","","","","","HEADER",2,4,7,0
"Grade 0","","72","0","0","0","0","72","VALUE",2,6,8,0
"Grade 1","","0","0","0","0","0","0","VALUE",2,6,9,0
"Grade 2","","0","0","0","0","0","0","VALUE",2,6,10,0
"Grade 3","","0","0","0","0","0","0","VALUE",2,6,11,0
"Grade 4","","0","0","0","0","0","0","VALUE",2,6,12,0
"Total","","72","0","0","0","0","72","VALUE",2,6,13,0
"Apalutamide Subgroup","96","","","","","","","VALUE",3,2,13,1
"Worst toxicity grade, n","","","","","","","","HEADER",3,4,14,0
"Grade 0","","96","0","0","0","0","96","VALUE",3,6,15,0
"Grade 1","","0","0","0","0","0","0","VALUE",3,6,16,0
"Grade 2","","0","0","0","0","0","0","VALUE",3,6,17,0
"Grade 3","","0","0","0","0","0","0","VALUE",3,6,18,0
"Grade 4","","0","0","0","0","0","0","VALUE",3,6,19,0
"Total","","96","0","0","0","0","96","VALUE",3,6,20,0
"Placebo","86","","","","","","","VALUE",4,2,20,1
"Worst toxicity grade, n","","","","","","","","HEADER",4,4,21,0
"Grade 0","","86","0","0","0","0","86","VALUE",4,6,22,0
"Grade 1","","0","0","0","0","0","0","VALUE",4,6,23,0
"Grade 2","","0","0","0","0","0","0","VALUE",4,6,24,0
"Grade 3","","0","0","0","0","0","0","VALUE",4,6,25,0
"Grade 4","","0","0","0","0","0","0","VALUE",4,6,26,0
"Total","","86","0","0","0","0","86","VALUE",4,6,27,0
"Investigations","","","","","","","","HEADER",5,0,27,1
"Alanine aminotransferase increased","","","","","","","","HEADER",5,1,28,0
"Apalutamide","72","","","","","","","VALUE",5,2,29,0
"Worst toxicity grade, n","","","","","","","","HEADER",5,4,30,0
"Grade 0","","68","4","0","0","0","72","VALUE",5,6,31,0
"Grade 1","","7","4","0","0","0","11","VALUE",5,6,32,0
"Grade 2","","1","0","0","0","0","1","VALUE",5,6,33,0
"Grade 3","","0","0","0","0","0","0","VALUE",5,6,34,0
"Grade 4","","0","0","0","0","0","0","VALUE",5,6,35,0
"Total","","68","4","0","0","0","72","VALUE",5,6,36,0
"Apalutamide Subgroup","96","","","","","","","VALUE",6,2,36,1
"Worst toxicity grade, n","","","","","","","","HEADER",6,4,37,0
"Grade 0","","93","1","0","0","0","94","VALUE",6,6,38,0
"Grade 1","","9","3","0","0","0","12","VALUE",6,6,39,0
"Grade 2","","0","0","0","0","0","0","VALUE",6,6,40,0
"Grade 3","","0","0","0","0","0","0","VALUE",6,6,41,0
"Grade 4","","0","0","0","0","0","0","VALUE",6,6,42,0
"Total","","93","3","0","0","0","96","VALUE",6,6,43,0
"Placebo","86","","","","","","","VALUE",7,2,43,1
"Worst toxicity grade, n","","","","","","","","HEADER",7,4,44,0
"Grade 0","","82","3","0","0","0","85","VALUE",7,6,45,0
"Grade 1","","5","4","0","0","0","9","VALUE",7,6,46,0
"Grade 2","","1","1","0","0","0","2","VALUE",7,6,47,0
"Grade 3","","0","0","0","0","0","0","VALUE",7,6,48,0
"Grade 4","","0","0","0","0","0","0","VALUE",7,6,49,0
"Total","","82","4","0","0","0","86","VALUE",7,6,50,0
"Alkaline phosphatase increased","","","","","","","","HEADER",8,1,50,1
"Apalutamide","72","","","","","","","VALUE",8,2,51,0
"Worst toxicity grade, n","","","","","","","","HEADER",8,4,52,0
"Grade 0","","71","0","0","0","0","71","VALUE",8,6,53,0
"Grade 1","","5","0","0","0","0","5","VALUE",8,6,54,0
"Grade 2","","0","0","1","0","0","1","VALUE",8,6,55,0
"Grade 3","","0","0","0","0","0","0","VALUE",8,6,56,0
"Grade 4","","0","0","0","0","0","0","VALUE",8,6,57,0
"Total","","71","0","1","0","0","72","VALUE",8,6,58,0
"Apalutamide Subgroup","95","","","","","","","VALUE",9,2,58,1
"Worst toxicity grade, n","","","","","","","","HEADER",9,4,59,0
"Grade 0","","92","1","0","0","0","93","VALUE",9,6,60,0
"Grade 1","","4","3","0","0","0","7","VALUE",9,6,61,0
"Grade 2","","0","0","0","0","0","0","VALUE",9,6,62,0
"Grade 3","","0","0","0","0","0","0","VALUE",9,6,63,0
"Grade 4","","0","0","0","0","0","0","VALUE",9,6,64,0
"Total","","92","3","0","0","0","95","VALUE",9,6,65,0
"Placebo","86","","","","","","","VALUE",10,2,65,1
"Worst toxicity grade, n","","","","","","","","HEADER",10,4,66,0
"Grade 0","","81","2","0","0","0","83","VALUE",10,6,67,0
"Grade 1","","4","4","0","0","0","8","VALUE",10,6,68,0
"Grade 2","","1","0","1","0","0","2","VALUE",10,6,69,0
"Grade 3","","1","0","1","0","0","2","VALUE",10,6,70,0
"Grade 4","","0","0","0","0","0","0","VALUE",10,6,71,0
"Total","","81","4","1","0","0","86","VALUE",10,6,72,0
"Aspartate aminotransferase increased","","","","","","","","HEADER",11,1,72,1
"Apalutamide","72","","","","","","","VALUE",11,2,73,0
"Worst toxicity grade, n","","","","","","","","HEADER",11,4,74,0
"Grade 0","","69","3","0","0","0","72","VALUE",11,6,75,0
"Grade 1","","4","3","0","0","0","7","VALUE",11,6,76,0
"Grade 2","","1","0","0","0","0","1","VALUE",11,6,77,0
"Grade 3","","0","0","0","0","0","0","VALUE",11,6,78,0
"Grade 4","","0","0","0","0","0","0","VALUE",11,6,79,0
"Total","","69","3","0","0","0","72","VALUE",11,6,80,0
"Apalutamide Subgroup","96","","","","","","","VALUE",12,2,80,1
"Worst toxicity grade, n","","","","","","","","HEADER",12,4,81,0
"Grade 0","","88","5","0","0","0","93","VALUE",12,6,82,0
"Grade 1","","9","8","0","0","0","17","VALUE",12,6,83,0
"Grade 2","","0","1","0","0","0","1","VALUE",12,6,84,0
"Grade 3","","0","0","0","0","0","0","VALUE",12,6,85,0
"Grade 4","","0","0","0","0","0","0","VALUE",12,6,86,0
"Total","","88","8","0","0","0","96","VALUE",12,6,87,0
"Placebo","86","","","","","","","VALUE",13,2,87,1
"Worst toxicity grade, n","","","","","","","","HEADER",13,4,88,0
"Grade 0","","80","4","0","0","0","84","VALUE",13,6,89,0
"Grade 1","","7","6","0","0","0","13","VALUE",13,6,90,0
"Grade 2","","1","1","0","0","0","2","VALUE",13,6,91,0
"Grade 3","","0","0","0","0","0","0","VALUE",13,6,92,0
"Grade 4","","0","0","0","0","0","0","VALUE",13,6,93,0
"Total","","80","6","0","0","0","86","VALUE",13,6,94,0
"Blood bilirubin increased","","","","","","","","HEADER",14,1,94,1
"Apalutamide","72","","","","","","","VALUE",14,2,95,0
"Worst toxicity grade, n","","","","","","","","HEADER",14,4,96,0
"Grade 0","","69","1","1","0","0","71","VALUE",14,6,97,0
"Grade 1","","3","2","1","0","0","6","VALUE",14,6,98,0
"Grade 2","","0","2","1","0","0","3","VALUE",14,6,99,0
"Grade 3","","0","0","0","0","0","0","VALUE",14,6,100,0
"Grade 4","","0","0","0","0","0","0","VALUE",14,6,101,0
"Total","","69","2","1","0","0","72","VALUE",14,6,102,0
"Apalutamide Subgroup","96","","","","","","","VALUE",15,2,102,1
"Worst toxicity grade, n","","","","","","","","HEADER",15,4,103,0
"Grade 0","","93","3","0","0","0","96","VALUE",15,6,104,0
"Grade 1","","1","3","0","0","0","4","VALUE",15,6,105,0
"Grade 2","","0","1","0","0","0","1","VALUE",15,6,106,0
"Grade 3","","0","0","0","0","0","0","VALUE",15,6,107,0
"Grade 4","","0","0","0","0","0","0","VALUE",15,6,108,0
"Total","","93","3","0","0","0","96","VALUE",15,6,109,0
"Placebo","86","","","","","","","VALUE",16,2,109,1
"Worst toxicity grade, n","","","","","","","","HEADER",16,4,110,0
"Grade 0","","84","1","0","0","0","85","VALUE",16,6,111,0
"Grade 1","","4","2","0","0","0","6","VALUE",16,6,112,0
"Grade 2","","0","0","0","0","0","0","VALUE",16,6,113,0
"Grade 3","","0","1","0","0","0","1","VALUE",16,6,114,0
"Grade 4","","0","0","0","0","0","0","VALUE",16,6,115,0
"Total","","84","2","0","0","0","86","VALUE",16,6,116,0
"Cholesterol high","","","","","","","","HEADER",17,1,116,1
"Apalutamide","72","","","","","","","VALUE",17,2,117,0
"Worst toxicity grade, n","","","","","","","","HEADER",17,4,118,0
"Grade 0","","70","0","2","0","0","72","VALUE",17,6,119,0
"Grade 1","","4","0","0","0","0","4","VALUE",17,6,120,0
"Grade 2","","0","0","2","0","0","2","VALUE",17,6,121,0
"Grade 3","","0","0","0","0","0","0","VALUE",17,6,122,0
"Grade 4","","0","0","0","0","0","0","VALUE",17,6,123,0
"Total","","70","0","2","0","0","72","VALUE",17,6,124,0
"Apalutamide Subgroup","96","","","","","","","VALUE",18,2,124,1
"Worst toxicity grade, n","","","","","","","","HEADER",18,4,125,0
"Grade 0","","94","1","0","0","0","95","VALUE",18,6,126,0
"Grade 1","","1","1","0","0","0","2","VALUE",18,6,127,0
"Grade 2","","2","0","1","0","0","3","VALUE",18,6,128,0
"Grade 3","","0","0","0","0","0","0","VALUE",18,6,129,0
"Grade 4","","0","0","0","0","0","0","VALUE",18,6,130,0
"Total","","94","1","1","0","0","96","VALUE",18,6,131,0
"Placebo","86","","","","","","","VALUE",19,2,131,1
"Worst toxicity grade, n","","","","","","","","HEADER",19,4,132,0
"Grade 0","","81","0","3","0","0","84","VALUE",19,6,133,0
"Grade 1","","3","0","0","0","0","3","VALUE",19,6,134,0
"Grade 2","","2","0","5","0","0","7","VALUE",19,6,135,0
"Grade 3","","0","0","0","0","0","0","VALUE",19,6,136,0
"Grade 4","","0","0","0","0","0","0","VALUE",19,6,137,0
"Total","","81","0","5","0","0","86","VALUE",19,6,138,0
"Creatinine increased","","","","","","","","HEADER",20,1,138,1
"Apalutamide","72","","","","","","","VALUE",20,2,139,0
"Worst toxicity grade, n","","","","","","","","HEADER",20,4,140,0
"Grade 0","","67","2","0","0","0","69","VALUE",20,6,141,0
"Grade 1","","53","5","0","0","0","58","VALUE",20,6,142,0
"Grade 2","","0","0","0","0","0","0","VALUE",20,6,143,0
"Grade 3","","0","0","0","0","0","0","VALUE",20,6,144,0
"Grade 4","","0","0","0","0","0","0","VALUE",20,6,145,0
"Total","","67","5","0","0","0","72","VALUE",20,6,146,0
"Apalutamide Subgroup","96","","","","","","","VALUE",21,2,146,1
"Worst toxicity grade, n","","","","","","","","HEADER",21,4,147,0
"Grade 0","","91","2","0","0","0","93","VALUE",21,6,148,0
"Grade 1","","61","5","0","0","0","66","VALUE",21,6,149,0
"Grade 2","","0","0","0","0","0","0","VALUE",21,6,150,0
"Grade 3","","0","0","0","0","0","0","VALUE",21,6,151,0
"Grade 4","","0","0","0","0","0","0","VALUE",21,6,152,0
"Total","","91","5","0","0","0","96","VALUE",21,6,153,0
"Placebo","86","","","","","","","VALUE",22,2,153,1
"Worst toxicity grade, n","","","","","","","","HEADER",22,4,154,0
"Grade 0","","85","1","0","0","0","86","VALUE",22,6,155,0
"Grade 1","","60","1","0","0","0","61","VALUE",22,6,156,0
"Grade 2","","0","0","0","0","0","0","VALUE",22,6,157,0
"Grade 3","","0","0","0","0","0","0","VALUE",22,6,158,0
"Grade 4","","0","0","0","0","0","0","VALUE",22,6,159,0
"Total","","85","1","0","0","0","86","VALUE",22,6,160,0
"Platelet count decreased","","","","","","","","HEADER",23,1,160,1
"Apalutamide","72","","","","","","","VALUE",23,2,161,0
"Worst toxicity grade, n","","","","","","","","HEADER",23,4,162,0
"Grade 0","","71","1","0","0","0","72","VALUE",23,6,163,0
"Grade 1","","62","1","0","0","0","63","VALUE",23,6,164,0
"Grade 2","","46","0","0","0","0","46","VALUE",23,6,165,0
"Grade 3","","17","0","0","0","0","17","VALUE",23,6,166,0
"Grade 4","","4","0","0","0","0","4","VALUE",23,6,167,0
"Total","","71","1","0","0","0","72","VALUE",23,6,168,0
"Apalutamide Subgroup","95","","","","","","","VALUE",24,2,168,1
"Worst toxicity grade, n","","","","","","","","HEADER",24,4,169,0
"Grade 0","","89","2","0","0","0","91","VALUE",24,6,170,0
"Grade 1","","67","1","0","0","0","68","VALUE",24,6,171,0
"Grade 2","","49","1","0","0","0","50","VALUE",24,6,172,0
"Grade 3","","34","0","0","0","0","34","VALUE",24,6,173,0
"Grade 4","","3","0","0","0","0","3","VALUE",24,6,174,0
"Total","","93","2","0","0","0","95","VALUE",24,6,175,0
"Placebo","85","","","","","","","VALUE",25,2,175,1
"Worst toxicity grade, n","","","","","","","","HEADER",25,4,176,0
"Grade 0","","85","0","0","0","0","85","VALUE",25,6,177,0
"Grade 1","","75","0","0","0","0","75","VALUE",25,6,178,0
"Grade 2","","54","0","0","0","0","54","VALUE",25,6,179,0
"Grade 3","","27","0","0","0","0","27","VALUE",25,6,180,0
"Grade 4","","3","0","0","0","0","3","VALUE",25,6,181,0
"Total","","85","0","0","0","0","85","VALUE",25,6,182,0
"White blood cell decreased","","","","","","","","HEADER",26,1,182,1
"Apalutamide","72","","","","","","","VALUE",26,2,183,0
"Worst toxicity grade, n","","","","","","","","HEADER",26,4,184,0
