"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"NA","84 (100.0%)","84 (100.0%)","86 (100.0%)","254 (100.0%)","VALUE",2,0,0,0
"United States of America","84 (100.0%)","84 (100.0%)","86 (100.0%)","254 (100.0%)","VALUE",2,1,1,0
"701","14 (16.7%)","13 (15.5%)","14 (16.3%)","41 (16.1%)","VALUE",2,2,2,0
"702","0","1 (1.2%)","0","1 (0.4%)","VALUE",2,2,3,0
"703","6 (7.1%)","6 (7.1%)","6 (7%)","18 (7.1%)","VALUE",2,2,4,0
"704","8 (9.5%)","8 (9.5%)","9 (10.5%)","25 (9.8%)","VALUE",2,2,5,0
"705","6 (7.1%)","5 (6%)","5 (5.8%)","16 (6.3%)","VALUE",2,2,6,0
"706","1 (1.2%)","1 (1.2%)","1 (1.2%)","3 (1.2%)","VALUE",2,2,7,0
"707","0","1 (1.2%)","1 (1.2%)","2 (0.8%)","VALUE",2,2,8,0
"708","8 (9.5%)","8 (9.5%)","9 (10.5%)","25 (9.8%)","VALUE",2,2,9,0
"709","7 (8.3%)","7 (8.3%)","7 (8.1%)","21 (8.3%)","VALUE",2,2,10,0
"710","10 (11.9%)","10 (11.9%)","11 (12.8%)","31 (12.2%)","VALUE",2,2,11,0
"711","2 (2.4%)","1 (1.2%)","1 (1.2%)","4 (1.6%)","VALUE",2,2,12,0
"713","3 (3.6%)","3 (3.6%)","3 (3.5%)","9 (3.5%)","VALUE",2,2,13,0
"714","2 (2.4%)","2 (2.4%)","2 (2.3%)","6 (2.4%)","VALUE",2,2,14,0
"715","2 (2.4%)","3 (3.6%)","3 (3.5%)","8 (3.1%)","VALUE",2,2,15,0
"716","8 (9.5%)","8 (9.5%)","8 (9.3%)","24 (9.4%)","VALUE",2,2,16,0
"717","3 (3.6%)","2 (2.4%)","2 (2.3%)","7 (2.8%)","VALUE",2,2,17,0
"718","4 (4.8%)","5 (6%)","4 (4.7%)","13 (5.1%)","VALUE",2,2,18,0
