"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥1 ongoing medical history","2 (2.4%)","0","1 (1.2%)","3 (1.2%)","VALUE",2,0,0,0
"SURGICAL AND MEDICAL PROCEDURES","1 (1.2%)","2 (2.4%)","2 (2.3%)","5 (2.0%)","VALUE",3,0,0,1
"CATARACT OPERATION","0","0","1 (1.2%)","1 (0.4%)","VALUE",3,1,1,0
"HERNIA REPAIR","1 (1.2%)","0","0","1 (0.4%)","VALUE",3,1,2,0
"HIP ARTHROPLASTY","0","0","1 (1.2%)","1 (0.4%)","VALUE",3,1,3,0
"INTERVERTEBRAL DISC OPERATION","0","1 (1.2%)","0","1 (0.4%)","VALUE",3,1,4,0
"TOOTH EXTRACTION","0","1 (1.2%)","0","1 (0.4%)","VALUE",3,1,5,0
"INJURY, POISONING AND PROCEDURAL COMPLICATIONS","0","0","2 (2.3%)","2 (0.8%)","VALUE",4,0,5,1
"SKIN LACERATION","0","0","2 (2.3%)","2 (0.8%)","VALUE",4,1,6,0
"CONTUSION","0","0","1 (1.2%)","1 (0.4%)","VALUE",4,1,7,0
"PAIN TRAUMA ACTIVATED","0","0","1 (1.2%)","1 (0.4%)","VALUE",4,1,8,0
"METABOLISM AND NUTRITION DISORDERS","1 (1.2%)","0","1 (1.2%)","2 (0.8%)","VALUE",5,0,8,1
"HYPERCHOLESTEROLAEMIA","0","0","1 (1.2%)","1 (0.4%)","VALUE",5,1,9,0
"VITAMIN B12 DEFICIENCY","1 (1.2%)","0","0","1 (0.4%)","VALUE",5,1,10,0
"INFECTIONS AND INFESTATIONS","0","0","1 (1.2%)","1 (0.4%)","VALUE",6,0,10,1
"NASOPHARYNGITIS","0","0","1 (1.2%)","1 (0.4%)","VALUE",6,1,11,0
"INVESTIGATIONS","1 (1.2%)","0","0","1 (0.4%)","VALUE",7,0,11,1
"BLOOD PRESSURE INCREASED","1 (1.2%)","0","0","1 (0.4%)","VALUE",7,1,12,0
