"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Analysis set","","","","","","","HEADER",2,0,0,0
"Full","84 (100.0%)","84 (100.0%)","86 (100.0%)","254 (100.0%)","","","VALUE",2,1,1,0
"Safety","84 (100.0%)","84 (100.0%)","86 (100.0%)","254 (100.0%)","","","VALUE",2,1,2,0
"Per protocol","84 (100.0%)","84 (100.0%)","86 (100.0%)","254 (100.0%)","","","VALUE",2,1,3,0
""," "," "," "," "," "," ","VALUE",2,1,4,0
"Subjects ongoing","18 (21.4%)","15 (17.9%)","14 (16.3%)","47 (18.5%)","","","VALUE",2,0,5,0
""," "," "," "," "," "," ","VALUE",2,0,6,0
"Completed treatment","19 (22.6%)","21 (25.0%)","49 (57.0%)","89 (35.0%)","-34.4 (-48.1, -20.6)","-32.0 (-45.9, -18.0)","VALUE",2,0,7,0
"Discontinued treatment","49 (58.3%)","43 (51.2%)","22 (25.6%)","114 (44.9%)","32.8 (18.7, 46.8)","25.6 (11.5, 39.7)","VALUE",2,0,8,0
"Other","49 (58.3%)","43 (51.2%)","22 (25.6%)","114 (44.9%)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,1,9,0
""," "," "," "," "," "," ","VALUE",2,1,10,0
"Completed study","22 (26.2%)","21 (25.0%)","48 (55.8%)","91 (35.8%)","-29.6 (-43.7, -15.5)","-30.8 (-44.8, -16.8)","VALUE",2,0,11,0
"Discontinued study","44 (52.4%)","48 (57.1%)","24 (27.9%)","116 (45.7%)","24.5 (10.2, 38.8)","29.2 (15.0, 43.4)","VALUE",2,0,12,0
"Other","44 (52.4%)","48 (57.1%)","24 (27.9%)","116 (45.7%)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",2,1,13,0
