"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Race: American Indian or Alaska Native","7","13","6","26","","","VALUE",2,0,0,0
"Analysis set:","","","","","","","HEADER",2,1,1,0
"Full","7 (100.0%)","13 (100.0%)","6 (100.0%)","26 (100.0%)","","","VALUE",2,2,2,0
"Safety","5 (71.4%)","10 (76.9%)","3 (50.0%)","18 (69.2%)","","","VALUE",2,2,3,0
"Per protocol","5 (71.4%)","10 (76.9%)","3 (50.0%)","18 (69.2%)","","","VALUE",2,2,4,0
""," "," "," "," "," "," ","VALUE",2,2,5,0
"Subjects ongoing","2 (28.6%)","0","0","2 (7.7%)","","","VALUE",2,1,6,0
""," "," "," "," "," "," ","VALUE",2,1,7,0
"Completed treatment","1 (14.3%)","3 (23.1%)","3 (50.0%)","7 (26.9%)","-35.7 (-83.4, 12.0)","-26.9 (-73.0, 19.2)","VALUE",2,1,8,0
"Discontinued treatment","5 (71.4%)","7 (53.8%)","1 (16.7%)","13 (50.0%)","54.8 (9.9, 99.6)","37.2 (-3.1, 77.5)","VALUE",2,1,9,0
"Other","5 (71.4%)","7 (53.8%)","1 (16.7%)","13 (50.0%)","54.8 (9.9, 99.6)","37.2 (-3.1, 77.5)","VALUE",2,2,10,0
""," "," "," "," "," "," ","VALUE",2,2,11,0
"Completed study","2 (28.6%)","3 (23.1%)","4 (66.7%)","9 (34.6%)","-38.1 (-88.5, 12.3)","-43.6 (-87.7, 0.5)","VALUE",2,1,12,0
"Discontinued study","3 (42.9%)","10 (76.9%)","2 (33.3%)","15 (57.7%)","9.5 (-43.1, 62.1)","43.6 (-0.5, 87.7)","VALUE",2,1,13,0
"Other","3 (42.9%)","10 (76.9%)","2 (33.3%)","15 (57.7%)","9.5 (-43.1, 62.1)","43.6 (-0.5, 87.7)","VALUE",2,2,14,0
"Race: Asian","11","11","7","29","","","VALUE",3,0,14,1
"Analysis set:","","","","","","","HEADER",3,1,15,0
"Full","11 (100.0%)","11 (100.0%)","7 (100.0%)","29 (100.0%)","","","VALUE",3,2,16,0
"Safety","11 (100.0%)","8 (72.7%)","5 (71.4%)","24 (82.8%)","","","VALUE",3,2,17,0
"Per protocol","11 (100.0%)","8 (72.7%)","5 (71.4%)","24 (82.8%)","","","VALUE",3,2,18,0
""," "," "," "," "," "," ","VALUE",3,2,19,0
"Subjects ongoing","1 (9.1%)","2 (18.2%)","2 (28.6%)","5 (17.2%)","","","VALUE",3,1,20,0
""," "," "," "," "," "," ","VALUE",3,1,21,0
"Completed treatment","3 (27.3%)","4 (36.4%)","2 (28.6%)","9 (31.0%)","-1.3 (-43.9, 41.3)","7.8 (-36.1, 51.7)","VALUE",3,1,22,0
"Discontinued treatment","7 (63.6%)","6 (54.5%)","3 (42.9%)","16 (55.2%)","20.8 (-25.6, 67.2)","11.7 (-35.3, 58.7)","VALUE",3,1,23,0
