"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","11","","","8","","","VALUE",2,0,0,0
""," "," "," "," "," "," ","VALUE",2,0,1,0
"ECG Mean Heart Rate (beats/min)","","","","","","","HEADER",2,0,2,0
"Baseline","11/11 (100.0%)","359.1 (274.6, 443.6)","","8/8 (100.0%)","368.1 (202.9, 533.3)","","VALUE",2,1,3,0
"Month 1","11/11 (100.0%)","339.4 (229.9, 448.9)","-19.7 (-157.9, 118.5)","8/8 (100.0%)","226.4 (73.9, 378.9)","-141.8 (-369.6, 86.1)","VALUE",2,1,4,0
"Month 3","11/11 (100.0%)","233.0 (107.3, 358.7)","-126.1 (-309.3, 57.1)","8/8 (100.0%)","268.6 (62.3, 474.9)","-99.5 (-328.9, 129.9)","VALUE",2,1,5,0
"PR Interval, Aggregate (msec)","","","","","","","HEADER",3,0,5,1
"Baseline","11/11 (100.0%)","248.4 (117.8, 379.0)","","8/8 (100.0%)","269.4 (110.2, 428.5)","","VALUE",3,1,6,0
"Month 1","11/11 (100.0%)","330.7 (215.4, 446.1)","82.4 (-110.2, 275.0)","8/8 (100.0%)","343.8 (204.0, 483.5)","74.4 (-177.2, 326.0)","VALUE",3,1,7,0
"Month 3","11/11 (100.0%)","308.4 (173.5, 443.2)","60.0 (-84.3, 204.3)","8/8 (100.0%)","270.9 (130.1, 411.6)","1.5 (-274.2, 277.2)","VALUE",3,1,8,0
"Age: ≥65 to <75 years","22","","","26","","","VALUE",4,0,8,1
""," "," "," "," "," "," ","VALUE",4,0,9,0
"ECG Mean Heart Rate (beats/min)","","","","","","","HEADER",4,0,10,0
"Baseline","22/22 (100.0%)","327.0 (246.3, 407.7)","","26/26 (100.0%)","327.2 (253.5, 400.8)","","VALUE",4,1,11,0
"Month 1","22/22 (100.0%)","275.6 (196.3, 354.9)","-51.4 (-166.1, 63.4)","26/26 (100.0%)","348.5 (275.9, 421.0)","21.3 (-82.7, 125.3)","VALUE",4,1,12,0
"Month 3","22/22 (100.0%)","393.0 (320.9, 465.1)","66.0 (-49.8, 181.8)","18/18 (100.0%)","266.6 (176.9, 356.2)","-60.4 (-193.1, 72.2)","VALUE",4,1,13,0
"PR Interval, Aggregate (msec)","","","","","","","HEADER",5,0,13,1
"Baseline","22/22 (100.0%)","312.1 (227.6, 396.7)","","26/26 (100.0%)","336.0 (282.6, 389.3)","","VALUE",5,1,14,0
"Month 1","22/22 (100.0%)","358.2 (283.7, 432.8)","46.1 (-76.0, 168.2)","26/26 (100.0%)","272.4 (201.8, 343.0)","-63.6 (-152.8, 25.6)","VALUE",5,1,15,0
"Month 3","22/22 (100.0%)","369.5 (303.7, 435.2)","57.3 (-40.1, 154.7)","18/18 (100.0%)","304.7 (223.9, 385.4)","-22.9 (-124.3, 78.5)","VALUE",5,1,16,0
"Age: ≥75 years","39","","","62","","","VALUE",6,0,16,1
""," "," "," "," "," "," ","VALUE",6,0,17,0
"ECG Mean Heart Rate (beats/min)","","","","","","","HEADER",6,0,18,0
"Baseline","39/39 (100.0%)","304.1 (250.9, 357.3)","","62/62 (100.0%)","300.9 (255.1, 346.6)","","VALUE",6,1,19,0
"Month 1","39/39 (100.0%)","214.6 (151.6, 277.6)","-89.5 (-158.0, -21.0)","60/60 (100.0%)","266.9 (217.4, 316.4)","-38.2 (-102.8, 26.5)","VALUE",6,1,20,0
"Month 3","39/39 (100.0%)","278.8 (217.2, 340.5)","-25.3 (-110.1, 59.6)","47/47 (100.0%)","335.8 (285.1, 386.4)","43.8 (-30.9, 118.5)","VALUE",6,1,21,0
"PR Interval, Aggregate (msec)","","","","","","","HEADER",7,0,21,1
"Baseline","39/39 (100.0%)","293.7 (235.7, 351.6)","","62/62 (100.0%)","326.4 (279.4, 373.4)","","VALUE",7,1,22,0
"Month 1","39/39 (100.0%)","269.8 (216.8, 322.7)","-23.9 (-102.3, 54.5)","60/60 (100.0%)","307.1 (262.3, 351.8)","-21.5 (-88.2, 45.3)","VALUE",7,1,23,0
"Month 3","39/39 (100.0%)","279.9 (220.8, 339.1)","-13.7 (-97.3, 69.8)","47/47 (100.0%)","281.7 (233.7, 329.8)","-47.9 (-123.9, 28.1)","VALUE",7,1,24,0
