"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","5","","","VALUE",2,0,0,0
""," "," "," ","VALUE",2,0,1,0
"ECG Mean Heart Rate (beats/min)","","","","HEADER",2,0,2,0
"Baseline","5/5 (100.0%)","345.6 (90.1, 601.1)","","VALUE",2,1,3,0
"Month 1","5/5 (100.0%)","323.0 (131.7, 514.3)","-22.6 (-339.7, 294.5)","VALUE",2,1,4,0
"Month 3","5/5 (100.0%)","197.6 (-87.5, 482.7)","-148.0 (-413.0, 117.0)","VALUE",2,1,5,0
"PR Interval, Aggregate (msec)","","","","HEADER",3,0,5,1
"Baseline","5/5 (100.0%)","302.8 (68.8, 536.8)","","VALUE",3,1,6,0
"Month 1","5/5 (100.0%)","256.0 (83.3, 428.7)","-46.8 (-404.7, 311.1)","VALUE",3,1,7,0
"Month 3","5/5 (100.0%)","307.4 (70.3, 544.5)","4.6 (-457.1, 466.3)","VALUE",3,1,8,0
"Age: ≥65 to <75 years","17","","","VALUE",4,0,8,1
""," "," "," ","VALUE",4,0,9,0
"ECG Mean Heart Rate (beats/min)","","","","HEADER",4,0,10,0
"Baseline","17/17 (100.0%)","367.2 (270.8, 463.7)","","VALUE",4,1,11,0
"Month 1","17/17 (100.0%)","383.9 (294.6, 473.3)","16.7 (-126.1, 159.6)","VALUE",4,1,12,0
"Month 3","10/10 (100.0%)","259.2 (123.8, 394.6)","-119.8 (-326.3, 86.7)","VALUE",4,1,13,0
"PR Interval, Aggregate (msec)","","","","HEADER",5,0,13,1
"Baseline","17/17 (100.0%)","362.1 (295.1, 429.0)","","VALUE",5,1,14,0
"Month 1","17/17 (100.0%)","249.1 (146.1, 352.0)","-113.0 (-240.4, 14.4)","VALUE",5,1,15,0
"Month 3","10/10 (100.0%)","304.9 (189.4, 420.4)","-59.3 (-190.7, 72.1)","VALUE",5,1,16,0
"Age: ≥75 years","51","","","VALUE",6,0,16,1
""," "," "," ","VALUE",6,0,17,0
"ECG Mean Heart Rate (beats/min)","","","","HEADER",6,0,18,0
"Baseline","51/51 (100.0%)","309.2 (258.7, 359.6)","","VALUE",6,1,19,0
"Month 1","49/49 (100.0%)","245.2 (192.5, 297.9)","-69.4 (-141.4, 2.5)","VALUE",6,1,20,0
"Month 3","38/38 (100.0%)","327.8 (271.8, 383.9)","21.4 (-61.2, 104.1)","VALUE",6,1,21,0
"PR Interval, Aggregate (msec)","","","","HEADER",7,0,21,1
"Baseline","51/51 (100.0%)","345.6 (293.7, 397.5)","","VALUE",7,1,22,0
"Month 1","49/49 (100.0%)","304.8 (257.0, 352.7)","-44.2 (-121.0, 32.6)","VALUE",7,1,23,0
"Month 3","38/38 (100.0%)","289.6 (233.8, 345.4)","-64.8 (-152.3, 22.7)","VALUE",7,1,24,0
