"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","7","","","","","VALUE",2,0,0,0
""," "," "," "," "," ","VALUE",2,0,1,0
"ECG Mean Heart Rate (beats/min)","","","","","","HEADER",2,0,2,0
"Baseline","7/7 (100.0%)","307.4 (226.6, 388.2)","","","","VALUE",2,1,3,0
"Month 1","7/7 (100.0%)","297.7 (112.2, 483.2)","-9.7 (-169.1, 149.7)","-55.9 (-270.3, 158.5)","-12.9 (-328.1, 302.3)","VALUE",2,1,4,0
"Month 3","7/7 (100.0%)","279.3 (113.1, 445.4)","-28.1 (-203.2, 146.9)","-117.1 (-379.3, 145.1)","-119.9 (-394.6, 154.8)","VALUE",2,1,5,0
"PR Interval, Aggregate (msec)","","","","","","HEADER",3,0,5,1
"Baseline","7/7 (100.0%)","277.1 (126.5, 427.8)","","","","VALUE",3,1,6,0
"Month 1","7/7 (100.0%)","274.4 (77.1, 471.8)","-2.7 (-176.6, 171.2)","36.3 (-213.7, 286.4)","-44.1 (-398.8, 310.6)","VALUE",3,1,7,0
"Month 3","7/7 (100.0%)","269.7 (124.5, 414.9)","-7.4 (-199.9, 185.0)","73.6 (-184.9, 332.0)","12.0 (-441.9, 466.0)","VALUE",3,1,8,0
"Age: ≥65 to <75 years","19","","","","","VALUE",4,0,8,1
""," "," "," "," "," ","VALUE",4,0,9,0
"ECG Mean Heart Rate (beats/min)","","","","","","HEADER",4,0,10,0
"Baseline","19/19 (100.0%)","212.2 (129.9, 294.4)","","","","VALUE",4,1,11,0
"Month 1","19/19 (100.0%)","212.4 (133.5, 291.2)","0.2 (-98.5, 99.0)","-28.4 (-204.4, 147.6)","16.5 (-151.5, 184.5)","VALUE",4,1,12,0
"Month 3","19/19 (100.0%)","289.6 (203.6, 375.7)","77.5 (-33.5, 188.5)","14.4 (-151.2, 180.0)","-197.3 (-421.8, 27.3)","VALUE",4,1,13,0
"PR Interval, Aggregate (msec)","","","","","","HEADER",5,0,13,1
"Baseline","19/19 (100.0%)","292.6 (204.9, 380.3)","","","","VALUE",5,1,14,0
"Month 1","19/19 (100.0%)","329.1 (249.6, 408.6)","36.5 (-56.9, 129.8)","29.8 (-128.8, 188.4)","-149.5 (-302.1, 3.1)","VALUE",5,1,15,0
"Month 3","19/19 (100.0%)","301.0 (226.8, 375.2)","8.4 (-106.0, 122.8)","63.2 (-82.0, 208.3)","-67.7 (-232.4, 97.1)","VALUE",5,1,16,0
"Age: ≥75 years","33","","","","","VALUE",6,0,16,1
""," "," "," "," "," ","VALUE",6,0,17,0
"ECG Mean Heart Rate (beats/min)","","","","","","HEADER",6,0,18,0
"Baseline","33/33 (100.0%)","279.7 (214.2, 345.3)","","","","VALUE",6,1,19,0
"Month 1","32/32 (100.0%)","309.8 (246.5, 373.2)","28.9 (-61.9, 119.7)","-132.4 (-251.1, -13.7)","-98.3 (-212.3, 15.7)","VALUE",6,1,20,0
"Month 3","30/30 (100.0%)","322.8 (256.1, 389.6)","36.8 (-65.5, 139.1)","-67.9 (-210.1, 74.3)","-15.4 (-144.5, 113.8)","VALUE",6,1,21,0
"PR Interval, Aggregate (msec)","","","","","","HEADER",7,0,21,1
"Baseline","33/33 (100.0%)","319.9 (255.7, 384.1)","","","","VALUE",7,1,22,0
"Month 1","32/32 (100.0%)","232.7 (179.0, 286.5)","-79.1 (-171.8, 13.6)","41.9 (-92.7, 176.4)","34.9 (-83.5, 153.4)","VALUE",7,1,23,0
"Month 3","30/30 (100.0%)","212.0 (150.8, 273.2)","-101.9 (-190.8, -13.0)","44.5 (-80.3, 169.2)","37.1 (-85.2, 159.4)","VALUE",7,1,24,0
