"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"ECG Mean Heart Rate (beats/min)","","","","","","","HEADER",2,0,0,0
"Baseline","53/53 (100.0%)","317.6 (275.1, 360.1)","","73/73 (100.0%)","325.2 (282.7, 367.7)","","VALUE",2,1,1,0
"Month 1","53/53 (100.0%)","242.6 (192.4, 292.7)","-75.1 (-139.6, -10.5)","71/71 (100.0%)","283.9 (239.6, 328.2)","-45.5 (-106.2, 15.2)","VALUE",2,1,2,0
"Month 3","53/53 (100.0%)","306.4 (251.3, 361.5)","-11.2 (-86.1, 63.6)","53/53 (100.0%)","302.6 (252.6, 352.5)","-21.2 (-92.9, 50.5)","VALUE",2,1,3,0
"Month 6","51/51 (100.0%)","281.3 (237.5, 325.0)","-28.7 (-93.6, 36.2)","47/47 (100.0%)","278.9 (229.3, 328.4)","-56.3 (-128.6, 16.0)","VALUE",2,1,4,0
"Month 9","41/41 (100.0%)","283.6 (230.9, 336.2)","-24.8 (-103.7, 54.1)","42/42 (100.0%)","301.3 (245.6, 357.1)","-26.2 (-98.9, 46.5)","VALUE",2,1,5,0
"Month 12","37/37 (100.0%)","312.9 (258.6, 367.1)","-2.1 (-64.5, 60.3)","35/35 (100.0%)","315.5 (253.9, 377.2)","-2.3 (-92.0, 87.4)","VALUE",2,1,6,0
"Month 15","27/27 (100.0%)","295.3 (230.3, 360.4)","-4.3 (-95.7, 87.2)","29/29 (100.0%)","286.8 (228.8, 344.8)","-14.2 (-110.3, 81.9)","VALUE",2,1,7,0
"Month 18","23/23 (100.0%)","308.3 (219.3, 397.3)","26.8 (-90.6, 144.2)","20/20 (100.0%)","294.5 (201.3, 387.7)","-29.4 (-157.4, 98.5)","VALUE",2,1,8,0
"Month 24","22/22 (100.0%)","283.6 (204.6, 362.7)","-3.7 (-118.7, 111.3)","16/16 (100.0%)","344.3 (250.0, 438.6)","25.9 (-129.3, 181.2)","VALUE",2,1,9,0
"PR Interval, Aggregate (msec)","","","","","","","HEADER",3,0,9,1
"Baseline","53/53 (100.0%)","304.2 (255.2, 353.2)","","73/73 (100.0%)","346.5 (306.4, 386.6)","","VALUE",3,1,10,0
"Month 1","53/53 (100.0%)","308.9 (264.2, 353.6)","4.7 (-67.2, 76.6)","71/71 (100.0%)","288.0 (247.1, 329.0)","-60.8 (-122.9, 1.2)","VALUE",3,1,11,0
"Month 3","53/53 (100.0%)","304.4 (255.7, 353.0)","0.2 (-63.7, 64.0)","53/53 (100.0%)","294.1 (248.1, 340.2)","-57.2 (-128.7, 14.3)","VALUE",3,1,12,0
"Month 6","51/51 (100.0%)","302.7 (254.5, 350.9)","-3.0 (-72.8, 66.8)","47/47 (100.0%)","301.0 (243.1, 358.8)","-46.2 (-116.2, 23.9)","VALUE",3,1,13,0
