"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"ECG Mean Heart Rate (beats/min)","","","","","","HEADER",2,0,0,0
"Baseline","59/59 (100.0%)","261.3 (216.2, 306.3)","","","","VALUE",2,1,1,0
"Month 1","58/58 (100.0%)","276.4 (229.7, 323.1)","14.8 (-44.6, 74.3)","-89.9 (-176.7, -3.1)","-60.3 (-144.5, 23.8)","VALUE",2,1,2,0
"Month 3","56/56 (100.0%)","306.1 (258.9, 353.4)","42.5 (-24.1, 109.1)","-53.7 (-152.8, 45.4)","-63.7 (-160.4, 33.1)","VALUE",2,1,3,0
"Month 6","51/51 (100.0%)","293.7 (243.4, 344.1)","22.9 (-51.2, 96.9)","-51.6 (-148.9, 45.7)","-79.2 (-181.3, 23.0)","VALUE",2,1,4,0
"Month 9","51/51 (100.0%)","331.6 (281.3, 381.9)","60.7 (-20.7, 142.2)","-85.5 (-197.4, 26.3)","-86.9 (-194.6, 20.8)","VALUE",2,1,5,0
"Month 12","48/48 (100.0%)","313.2 (262.7, 363.6)","39.7 (-23.9, 103.4)","-41.9 (-129.7, 45.9)","-42.0 (-150.5, 66.4)","VALUE",2,1,6,0
"Month 15","47/47 (100.0%)","278.2 (231.6, 324.8)","2.4 (-74.7, 79.4)","-6.6 (-124.1, 110.8)","-16.6 (-137.6, 104.5)","VALUE",2,1,7,0
"Month 18","45/45 (100.0%)","278.2 (232.8, 323.7)","-1.7 (-66.2, 62.9)","28.4 (-103.4, 160.3)","-27.8 (-168.7, 113.2)","VALUE",2,1,8,0
"Month 24","41/41 (100.0%)","311.8 (256.6, 367.0)","33.1 (-41.6, 107.9)","-36.8 (-171.3, 97.6)","-7.2 (-176.1, 161.7)","VALUE",2,1,9,0
"PR Interval, Aggregate (msec)","","","","","","HEADER",3,0,9,1
"Baseline","59/59 (100.0%)","306.1 (259.9, 352.2)","","","","VALUE",3,1,10,0
"Month 1","58/58 (100.0%)","269.3 (225.8, 312.9)","-32.0 (-93.4, 29.3)","36.7 (-56.7, 130.2)","-28.8 (-115.2, 57.6)","VALUE",3,1,11,0
"Month 3","56/56 (100.0%)","249.4 (205.9, 292.9)","-52.7 (-116.0, 10.6)","52.8 (-36.1, 141.7)","-4.5 (-98.9, 89.9)","VALUE",3,1,12,0
"Month 6","51/51 (100.0%)","271.3 (225.4, 317.3)","-24.7 (-89.9, 40.4)","21.7 (-72.5, 116.0)","-21.4 (-115.9, 73.0)","VALUE",3,1,13,0
"Month 9","51/51 (100.0%)","279.4 (234.9, 324.0)","-16.6 (-83.4, 50.1)","-18.7 (-121.4, 83.9)","-13.0 (-115.6, 89.5)","VALUE",3,1,14,0
"Month 12","48/48 (100.0%)","271.8 (220.7, 322.9)","-26.0 (-107.7, 55.7)","-34.2 (-146.2, 77.8)","-32.8 (-149.8, 84.1)","VALUE",3,1,15,0
"Month 15","47/47 (100.0%)","311.6 (255.0, 368.1)","13.6 (-55.9, 83.1)","-45.7 (-165.4, 74.0)","-120.0 (-229.8, -10.1)","VALUE",3,1,16,0
"Month 18","45/45 (100.0%)","312.1 (261.2, 363.0)","22.4 (-49.8, 94.5)","-56.6 (-194.5, 81.3)","-1.0 (-136.6, 134.7)","VALUE",3,1,17,0
"Month 24","41/41 (100.0%)","260.3 (205.8, 314.9)","-18.2 (-107.3, 70.8)","-23.6 (-173.5, 126.3)","-18.3 (-198.1, 161.5)","VALUE",3,1,18,0
"QRS Duration, Aggregate (msec)","","","","","","HEADER",4,0,18,1
"Baseline","59/59 (100.0%)","299.3 (254.7, 343.9)","","","","VALUE",4,1,19,0
"Month 1","58/58 (100.0%)","299.1 (253.4, 344.8)","4.2 (-56.3, 64.8)","0.1 (-88.0, 88.2)","-36.1 (-126.9, 54.6)","VALUE",4,1,20,0
"Month 3","56/56 (100.0%)","247.0 (197.2, 296.8)","-46.4 (-117.4, 24.6)","58.1 (-35.8, 152.1)","60.8 (-32.8, 154.4)","VALUE",4,1,21,0
"Month 6","51/51 (100.0%)","275.9 (226.7, 325.2)","-13.8 (-82.0, 54.4)","-11.4 (-104.6, 81.8)","-0.6 (-95.2, 94.0)","VALUE",4,1,22,0
"Month 9","51/51 (100.0%)","293.6 (249.7, 337.6)","3.9 (-62.9, 70.8)","-24.5 (-119.2, 70.3)","28.5 (-68.4, 125.4)","VALUE",4,1,23,0
"Month 12","48/48 (100.0%)","293.6 (242.5, 344.6)","6.2 (-67.3, 79.7)","-81.4 (-186.8, 24.1)","-11.4 (-121.8, 99.0)","VALUE",4,1,24,0
"Month 15","47/47 (100.0%)","290.3 (240.6, 339.9)","2.7 (-71.4, 76.8)","-39.5 (-147.1, 68.2)","-10.9 (-118.0, 96.1)","VALUE",4,1,25,0
"Month 18","45/45 (100.0%)","332.1 (284.5, 379.7)","48.0 (-20.7, 116.8)","-99.3 (-199.7, 1.1)","-66.7 (-210.0, 76.6)","VALUE",4,1,26,0
"Month 24","41/41 (100.0%)","302.9 (247.7, 358.0)","29.2 (-52.6, 111.0)","-87.8 (-228.9, 53.3)","-46.4 (-192.0, 99.1)","VALUE",4,1,27,0
"QT Interval, Corrected (msec)","","","","","","HEADER",5,0,27,1
"Baseline","59/59 (100.0%)","362.7 (337.2, 388.3)","","","","VALUE",5,1,28,0
"Month 1","58/58 (100.0%)","368.3 (344.6, 392.0)","6.8 (-22.5, 36.2)","-6.5 (-48.8, 35.8)","32.9 (-11.4, 77.2)","VALUE",5,1,29,0
"Month 3","56/56 (100.0%)","355.2 (332.0, 378.5)","-6.4 (-43.3, 30.6)","9.3 (-42.2, 60.8)","17.8 (-36.1, 71.6)","VALUE",5,1,30,0
"Month 6","51/51 (100.0%)","333.6 (306.3, 361.0)","-23.2 (-63.8, 17.5)","22.2 (-31.2, 75.6)","12.4 (-43.9, 68.7)","VALUE",5,1,31,0
"Month 9","51/51 (100.0%)","365.0 (340.2, 389.7)","8.2 (-27.8, 44.2)","2.9 (-50.0, 55.9)","-13.0 (-67.9, 41.8)","VALUE",5,1,32,0
"Month 12","48/48 (100.0%)","377.1 (350.4, 403.9)","22.6 (-14.7, 59.9)","4.0 (-55.6, 63.6)","-36.6 (-96.1, 22.9)","VALUE",5,1,33,0
"Month 15","47/47 (100.0%)","401.4 (375.9, 427.0)","49.2 (13.6, 84.8)","-10.6 (-69.4, 48.2)","-42.9 (-103.9, 18.2)","VALUE",5,1,34,0
"Month 18","45/45 (100.0%)","371.8 (342.6, 400.9)","23.4 (-14.0, 60.7)","-3.8 (-70.2, 62.7)","-6.8 (-84.2, 70.7)","VALUE",5,1,35,0
"Month 24","41/41 (100.0%)","351.2 (320.6, 381.9)","3.5 (-34.4, 41.4)","6.3 (-71.9, 84.4)","29.1 (-58.6, 116.7)","VALUE",5,1,36,0
"QTcB Interval, Aggregate (msec)","","","","","","HEADER",6,0,36,1
"Baseline","59/59 (100.0%)","368.6 (343.9, 393.3)","","","","VALUE",6,1,37,0
"Month 1","58/58 (100.0%)","368.1 (342.7, 393.5)","1.9 (-34.6, 38.3)","6.3 (-49.3, 61.8)","-2.8 (-49.9, 44.3)","VALUE",6,1,38,0
"Month 3","56/56 (100.0%)","361.4 (337.5, 385.3)","-8.4 (-43.0, 26.1)","10.3 (-36.5, 57.2)","22.5 (-26.5, 71.4)","VALUE",6,1,39,0
"Month 6","51/51 (100.0%)","352.5 (326.3, 378.6)","-22.8 (-59.4, 13.9)","18.2 (-39.0, 75.3)","18.2 (-36.0, 72.4)","VALUE",6,1,40,0
"Month 9","51/51 (100.0%)","370.1 (345.1, 395.0)","-5.2 (-35.7, 25.3)","5.6 (-47.3, 58.4)","2.8 (-48.1, 53.8)","VALUE",6,1,41,0
"Month 12","48/48 (100.0%)","364.6 (338.0, 391.3)","-10.3 (-48.7, 28.2)","26.2 (-35.3, 87.8)","8.6 (-47.3, 64.4)","VALUE",6,1,42,0
"Month 15","47/47 (100.0%)","383.9 (356.7, 411.0)","10.4 (-28.7, 49.5)","38.0 (-26.5, 102.5)","10.7 (-54.2, 75.5)","VALUE",6,1,43,0
"Month 18","45/45 (100.0%)","375.3 (343.6, 406.9)","3.9 (-41.2, 49.0)","26.9 (-36.7, 90.5)","31.1 (-48.0, 110.1)","VALUE",6,1,44,0
"Month 24","41/41 (100.0%)","362.6 (332.9, 392.2)","-17.8 (-55.9, 20.3)","37.0 (-41.2, 115.2)","62.6 (-19.8, 145.0)","VALUE",6,1,45,0
"QTcF Interval, Aggregate (msec)","","","","","","HEADER",7,0,45,1
"Baseline","59/59 (100.0%)","367.4 (342.5, 392.4)","","","","VALUE",7,1,46,0
"Month 1","58/58 (100.0%)","361.9 (337.2, 386.7)","-8.2 (-41.2, 24.8)","1.7 (-44.5, 47.9)","8.5 (-36.8, 53.7)","VALUE",7,1,47,0
"Month 3","56/56 (100.0%)","374.9 (350.7, 399.1)","5.5 (-30.8, 41.9)","-2.5 (-54.2, 49.2)","32.1 (-18.5, 82.7)","VALUE",7,1,48,0
"Month 6","51/51 (100.0%)","357.2 (328.1, 386.3)","-5.9 (-42.7, 31.0)","-6.8 (-59.5, 46.0)","18.4 (-36.8, 73.6)","VALUE",7,1,49,0
"Month 9","51/51 (100.0%)","364.4 (336.0, 392.7)","1.3 (-38.4, 41.1)","17.1 (-47.1, 81.3)","29.0 (-26.2, 84.1)","VALUE",7,1,50,0
"Month 12","48/48 (100.0%)","351.7 (324.8, 378.6)","-10.5 (-48.6, 27.6)","21.9 (-37.0, 80.8)","49.9 (-13.6, 113.4)","VALUE",7,1,51,0
"Month 15","47/47 (100.0%)","340.2 (310.0, 370.4)","-18.7 (-60.9, 23.4)","43.2 (-29.4, 115.7)","0.2 (-68.3, 68.7)","VALUE",7,1,52,0
