"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"QTcB Interval, Aggregate (msec)","","","","HEADER",2,0,0,0
"N","72","73","82","N",2,2,1,0
"≤30","42 (58.3%)","41 (56.2%)","55 (67.1%)","VALUE",2,3,2,0
">30 to ≤60","6 (8.3%)","5 (6.8%)","3 (3.7%)","VALUE",2,3,3,0
">60","24 (33.3%)","27 (37.0%)","24 (29.3%)","VALUE",2,3,4,0
"QTcF Interval, Aggregate (msec)","","","","HEADER",3,0,4,1
"N","72","73","82","N",3,2,5,0
"≤30","39 (54.2%)","37 (50.7%)","47 (57.3%)","VALUE",3,3,6,0
">30 to ≤60","6 (8.3%)","7 (9.6%)","8 (9.8%)","VALUE",3,3,7,0
">60","27 (37.5%)","29 (39.7%)","27 (32.9%)","VALUE",3,3,8,0
