"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Apalutamide","72","","","","","","VALUE",2,0,0,0
"Apalutamide Subgroup","96","","","","","","VALUE",2,0,1,0
"Placebo","86","","","","","","VALUE",2,0,2,0
""," "," "," "," "," "," ","VALUE",2,0,3,0
"QTcB Interval, Aggregate (msec)","","","","","","","HEADER",2,0,4,0
"Apalutamide","72","","","","","","VALUE",2,0,5,0
"Maximum Corrected QT Interval","","","","","","","HEADER",2,2,6,0
"≤450","","35","7","5","6","53","VALUE",2,4,7,0
">450 to ≤480 ","","5","0","2","0","7","VALUE",2,4,8,0
">480 to ≤500","","3","1","0","2","6","VALUE",2,4,9,0
">500","","3","2","0","1","6","VALUE",2,4,10,0
"Total","","46","10","7","9","72","VALUE",2,4,11,0
"Apalutamide Subgroup","73","","","","","","VALUE",3,0,11,1
"Maximum Corrected QT Interval","","","","","","","HEADER",3,2,12,0
"≤450","","42","6","3","3","54","VALUE",3,4,13,0
">450 to ≤480 ","","4","1","0","2","7","VALUE",3,4,14,0
">480 to ≤500","","4","1","0","1","6","VALUE",3,4,15,0
">500","","6","0","0","0","6","VALUE",3,4,16,0
"Total","","56","8","3","6","73","VALUE",3,4,17,0
"Placebo","82","","","","","","VALUE",4,0,17,1
"Maximum Corrected QT Interval","","","","","","","HEADER",4,2,18,0
"≤450","","61","4","1","2","68","VALUE",4,4,19,0
">450 to ≤480 ","","4","0","2","2","8","VALUE",4,4,20,0
">480 to ≤500","","2","0","0","0","2","VALUE",4,4,21,0
">500","","1","0","2","1","4","VALUE",4,4,22,0
"Total","","68","4","5","5","82","VALUE",4,4,23,0
"QTcF Interval, Aggregate (msec)","","","","","","","HEADER",5,0,23,1
"Apalutamide","72","","","","","","VALUE",5,0,24,0
"Maximum Corrected QT Interval","","","","","","","HEADER",5,2,25,0
"≤450","","42","4","6","4","56","VALUE",5,4,26,0
">450 to ≤480 ","","4","0","0","0","4","VALUE",5,4,27,0
">480 to ≤500","","8","0","0","0","8","VALUE",5,4,28,0
">500","","4","0","0","0","4","VALUE",5,4,29,0
"Total","","58","4","6","4","72","VALUE",5,4,30,0
"Apalutamide Subgroup","73","","","","","","VALUE",6,0,30,1
"Maximum Corrected QT Interval","","","","","","","HEADER",6,2,31,0
"≤450","","45","3","1","5","54","VALUE",6,4,32,0
">450 to ≤480 ","","6","0","0","1","7","VALUE",6,4,33,0
">480 to ≤500","","5","0","1","0","6","VALUE",6,4,34,0
">500","","4","1","1","0","6","VALUE",6,4,35,0
"Total","","60","4","3","6","73","VALUE",6,4,36,0
"Placebo","82","","","","","","VALUE",7,0,36,1
"Maximum Corrected QT Interval","","","","","","","HEADER",7,2,37,0
"≤450","","44","9","7","6","66","VALUE",7,4,38,0
">450 to ≤480 ","","5","0","0","0","5","VALUE",7,4,39,0
">480 to ≤500","","4","1","0","0","5","VALUE",7,4,40,0
">500","","5","1","0","0","6","VALUE",7,4,41,0
"Total","","58","11","7","6","82","VALUE",7,4,42,0
