"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Duration of treatment\super a\nosupersub , ([unit])","","","","","","","HEADER",2,0,0,0
"Mean (SD)","18.88 (11.328)","19.76 (10.485)","19.38 (10.830)","20.06 (10.624)","-1.18 (-4.57, 2.21)","-0.30 (-3.45, 2.85)","VALUE",2,1,1,0
"Median","18.50","19.80","19.10","19.75","","","VALUE",2,1,2,0
"Min, max","0.2, 36.3","0.1, 37.9","0.1, 37.9","0.9, 37.2","","","VALUE",2,1,3,0
"Interquartile range","10.20, 29.00","13.25, 27.85","12.15, 28.05","10.60, 28.90","","","VALUE",2,1,4,0
"Total treatment (subject years)","1359.2 (113.3)","1896.9 (158.1)","3256.1 (271.3)","1724.8 (143.7)","","","VALUE",2,1,5,0
"Duration of treatment, n (%)","","","","","","","HEADER",3,1,5,1
"0 to <3 months","7 (9.7%)","7 (7.3%)","14 (8.3%)","3 (3.5%)","","","VALUE",3,2,6,0
"3 to <6 months","6 (8.3%)","7 (7.3%)","13 (7.7%)","6 (7.0%)","","","VALUE",3,2,7,0
"6 to <9 months","4 (5.6%)","4 (4.2%)","8 (4.8%)","7 (8.1%)","","","VALUE",3,2,8,0
"9 to <12 months","4 (5.6%)","2 (2.1%)","6 (3.6%)","9 (10.5%)","","","VALUE",3,2,9,0
"12 to <15 months","9 (12.5%)","12 (12.5%)","21 (12.5%)","9 (10.5%)","","","VALUE",3,2,10,0
"15 to <18 months","4 (5.6%)","12 (12.5%)","16 (9.5%)","4 (4.7%)","","","VALUE",3,2,11,0
"18 to <21 months","7 (9.7%)","8 (8.3%)","15 (8.9%)","7 (8.1%)","","","VALUE",3,2,12,0
"21 to <24 months","4 (5.6%)","8 (8.3%)","12 (7.1%)","5 (5.8%)","","","VALUE",3,2,13,0
"24 to <27 months","3 (4.2%)","7 (7.3%)","10 (6.0%)","10 (11.6%)","","","VALUE",3,2,14,0
"27 to <30 months","7 (9.7%)","10 (10.4%)","17 (10.1%)","6 (7.0%)","","","VALUE",3,2,15,0
"30 to <33 months","6 (8.3%)","5 (5.2%)","11 (6.5%)","7 (8.1%)","","","VALUE",3,2,16,0
"33 to <36 months","9 (12.5%)","10 (10.4%)","19 (11.3%)","7 (8.1%)","","","VALUE",3,2,17,0
"36 to <39 months","2 (2.8%)","4 (4.2%)","6 (3.6%)","6 (7.0%)","","","VALUE",3,2,18,0
"Duration of treatment\super b\nosupersub , n (%)","","","","","","","HEADER",4,1,18,1
"Any duration (at least 1 dose)","72 (100.0%)","96 (100.0%)","168 (100.0%)","86 (100.0%)","","","VALUE",4,2,19,0
"<1 month","4 (5.6%)","2 (2.1%)","6 (3.6%)","1 (1.2%)","","","VALUE",4,2,20,0
"≥1 month","68 (94.4%)","94 (97.9%)","162 (96.4%)","85 (98.8%)","","","VALUE",4,2,21,0
"≥2 months","65 (90.3%)","93 (96.9%)","158 (94.0%)","84 (97.7%)","","","VALUE",4,2,22,0
"≥3 months","65 (90.3%)","89 (92.7%)","154 (91.7%)","83 (96.5%)","","","VALUE",4,2,23,0
"≥6 months","59 (81.9%)","82 (85.4%)","141 (83.9%)","77 (89.5%)","","","VALUE",4,2,24,0
"≥12 months","51 (70.8%)","76 (79.2%)","127 (75.6%)","61 (70.9%)","","","VALUE",4,2,25,0
"≥24 months","27 (37.5%)","36 (37.5%)","63 (37.5%)","36 (41.9%)","","","VALUE",4,2,26,0
