"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Apalutamide lots","","","","","HEADER",2,0,0,0
"XXX-YYY-ZZZ-002","39 (54.2%)","40 (41.7%)","79 (47.0%)","0","VALUE",2,1,1,0
"XXX-YYY-ZZZ-003","41 (56.9%)","37 (38.5%)","78 (46.4%)","0","VALUE",2,1,2,0
"XXX-YYY-ZZZ-004","31 (43.1%)","50 (52.1%)","81 (48.2%)","0","VALUE",2,1,3,0
"XXX-YYY-ZZZ-005","29 (40.3%)","42 (43.8%)","71 (42.3%)","0","VALUE",2,1,4,0
"Placebo lots","","","","","HEADER",3,0,4,1
"XXX-YYY-ZZZ-002","0","0","0","48 (55.8%)","VALUE",3,1,5,0
"XXX-YYY-ZZZ-003","0","0","0","42 (48.8%)","VALUE",3,1,6,0
"XXX-YYY-ZZZ-004","0","0","0","48 (55.8%)","VALUE",3,1,7,0
"XXX-YYY-ZZZ-005","0","0","0","44 (51.2%)","VALUE",3,1,8,0
