"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Day 1 - Pre-dose","","","","HEADER",2,0,0,0
"N","72","96","168","N",2,1,1,0
"Mean (SD)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","VALUE",2,2,2,0
"Median","0.00","0.00","0.00","VALUE",2,2,3,0
"Geometric mean","NA","NA","NA","VALUE",2,2,4,0
"Min, max","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",2,2,5,0
"CV (%)","NA","NA","NA","VALUE",2,2,6,0
"Interquartile range","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",2,2,7,0
"Day 1 - 5 Min Post-dose","","","","HEADER",3,0,7,1
"N","72","96","168","N",3,1,8,0
"Mean (SD)","0.10 (0.00)","0.10 (0.01)","0.10 (0.01)","VALUE",3,2,9,0
"Median","0.10","0.10","0.10","VALUE",3,2,10,0
"Geometric mean","0.10","0.10","0.10","VALUE",3,2,11,0
"Min, max","0.09, 0.11","0.09, 0.11","0.09, 0.11","VALUE",3,2,12,0
"CV (%)","4.9","5.3","5.1","VALUE",3,2,13,0
"Interquartile range","0.10, 0.10","0.10, 0.10","0.10, 0.10","VALUE",3,2,14,0
"Day 1 - 30 Min Post-dose","","","","HEADER",4,0,14,1
"N","72","96","168","N",4,1,15,0
"Mean (SD)","0.54 (0.02)","0.55 (0.03)","0.55 (0.03)","VALUE",4,2,16,0
"Median","0.54","0.54","0.54","VALUE",4,2,17,0
"Geometric mean","0.54","0.55","0.54","VALUE",4,2,18,0
"Min, max","0.50, 0.60","0.50, 0.60","0.50, 0.60","VALUE",4,2,19,0
"CV (%)","4.4","4.8","4.6","VALUE",4,2,20,0
"Interquartile range","0.52, 0.56","0.53, 0.57","0.52, 0.56","VALUE",4,2,21,0
"Day 1 - 1h Post-dose","","","","HEADER",5,0,21,1
"N","72","96","168","N",5,1,22,0
"Mean (SD)","0.93 (0.04)","0.93 (0.04)","0.93 (0.04)","VALUE",5,2,23,0
"Median","0.93","0.93","0.93","VALUE",5,2,24,0
"Geometric mean","0.93","0.93","0.93","VALUE",5,2,25,0
"Min, max","0.86, 1.02","0.85, 1.01","0.85, 1.02","VALUE",5,2,26,0
"CV (%)","4.0","4.4","4.2","VALUE",5,2,27,0
"Interquartile range","0.90, 0.95","0.90, 0.96","0.90, 0.96","VALUE",5,2,28,0
"Day 1 - 1.5h Post-dose","","","","HEADER",6,0,28,1
"N","72","96","168","N",6,1,29,0
"Mean (SD)","1.20 (0.04)","1.20 (0.05)","1.20 (0.05)","VALUE",6,2,30,0
"Median","1.20","1.20","1.20","VALUE",6,2,31,0
"Geometric mean","1.20","1.20","1.20","VALUE",6,2,32,0
"Min, max","1.12, 1.31","1.11, 1.29","1.11, 1.31","VALUE",6,2,33,0
"CV (%)","3.7","4.0","3.9","VALUE",6,2,34,0
"Interquartile range","1.17, 1.22","1.16, 1.24","1.17, 1.23","VALUE",6,2,35,0
"Day 1 - 2h Post-dose","","","","HEADER",7,0,35,1
"N","72","96","168","N",7,1,36,0
"Mean (SD)","1.39 (0.05)","1.39 (0.05)","1.39 (0.05)","VALUE",7,2,37,0
"Median","1.38","1.39","1.39","VALUE",7,2,38,0
"Geometric mean","1.39","1.39","1.39","VALUE",7,2,39,0
"Min, max","1.31, 1.50","1.29, 1.49","1.29, 1.50","VALUE",7,2,40,0
"CV (%)","3.4","3.7","3.6","VALUE",7,2,41,0
"Interquartile range","1.36, 1.41","1.35, 1.43","1.35, 1.43","VALUE",7,2,42,0
"Day 1 - 4h Post-dose","","","","HEADER",8,0,42,1
"N","72","96","168","N",8,1,43,0
"Mean (SD)","1.73 (0.05)","1.74 (0.05)","1.74 (0.05)","VALUE",8,2,44,0
"Median","1.73","1.74","1.73","VALUE",8,2,45,0
"Geometric mean","1.73","1.74","1.73","VALUE",8,2,46,0
"Min, max","1.65, 1.84","1.64, 1.83","1.64, 1.84","VALUE",8,2,47,0
"CV (%)","3.0","3.2","3.1","VALUE",8,2,48,0
"Interquartile range","1.69, 1.78","1.69, 1.79","1.69, 1.78","VALUE",8,2,49,0
"Day 1 - 0-6h Post-dose","","","","HEADER",9,0,49,1
"N","72","96","168","N",9,1,50,0
"Mean (SD)","26.85 (1.51)","26.72 (1.44)","26.78 (1.47)","VALUE",9,2,51,0
"Median","26.80","26.63","26.67","VALUE",9,2,52,0
"Geometric mean","26.81","26.68","26.74","VALUE",9,2,53,0
"Min, max","24.49, 29.19","24.53, 29.25","24.49, 29.25","VALUE",9,2,54,0
"CV (%)","5.6","5.4","5.5","VALUE",9,2,55,0
"Interquartile range","25.46, 28.28","25.56, 28.01","25.52, 28.17","VALUE",9,2,56,0
"Day 1 - 6h Post-dose","","","","HEADER",10,0,56,1
"N","72","96","168","N",10,1,57,0
"Mean (SD)","1.82 (0.05)","1.82 (0.05)","1.82 (0.05)","VALUE",10,2,58,0
"Median","1.82","1.82","1.82","VALUE",10,2,59,0
"Geometric mean","1.82","1.82","1.82","VALUE",10,2,60,0
"Min, max","1.74, 1.92","1.73, 1.91","1.73, 1.92","VALUE",10,2,61,0
"CV (%)","3.0","3.0","3.0","VALUE",10,2,62,0
"Interquartile range","1.77, 1.87","1.77, 1.88","1.77, 1.87","VALUE",10,2,63,0
"Day 1 - 8h Post-dose","","","","HEADER",11,0,63,1
"N","72","96","168","N",11,1,64,0
"Mean (SD)","1.84 (0.05)","1.84 (0.05)","1.84 (0.05)","VALUE",11,2,65,0
"Median","1.84","1.84","1.84","VALUE",11,2,66,0
"Geometric mean","1.84","1.84","1.84","VALUE",11,2,67,0
"Min, max","1.76, 1.94","1.75, 1.94","1.75, 1.94","VALUE",11,2,68,0
"CV (%)","3.0","3.0","3.0","VALUE",11,2,69,0
"Interquartile range","1.79, 1.90","1.79, 1.90","1.79, 1.90","VALUE",11,2,70,0
"Day 1 - 6-12h Post-dose","","","","HEADER",12,0,70,1
"N","72","96","168","N",12,1,71,0
"Mean (SD)","22.67 (1.69)","22.52 (1.61)","22.58 (1.64)","VALUE",12,2,72,0
"Median","22.62","22.43","22.47","VALUE",12,2,73,0
"Geometric mean","22.60","22.47","22.53","VALUE",12,2,74,0
"Min, max","20.01, 25.27","20.06, 25.34","20.01, 25.34","VALUE",12,2,75,0
"CV (%)","7.4","7.1","7.3","VALUE",12,2,76,0
"Interquartile range","21.11, 24.26","21.23, 23.97","21.18, 24.15","VALUE",12,2,77,0
"Day 1 - 12h Post-dose","","","","HEADER",13,0,77,1
"N","72","96","168","N",13,1,78,0
"Mean (SD)","0.55 (0.03)","0.55 (0.03)","0.55 (0.03)","VALUE",13,2,79,0
"Median","0.55","0.55","0.55","VALUE",13,2,80,0
"Geometric mean","0.55","0.55","0.55","VALUE",13,2,81,0
"Min, max","0.49, 0.62","0.49, 0.62","0.49, 0.62","VALUE",13,2,82,0
"CV (%)","6.2","5.4","5.7","VALUE",13,2,83,0
"Interquartile range","0.53, 0.58","0.53, 0.57","0.53, 0.57","VALUE",13,2,84,0
"Day 1 - 16h Post-dose","","","","HEADER",14,0,84,1
"N","72","96","168","N",14,1,85,0
"Mean (SD)","0.16 (0.02)","0.16 (0.02)","0.16 (0.02)","VALUE",14,2,86,0
"Median","0.17","0.16","0.16","VALUE",14,2,87,0
"Geometric mean","0.16","0.16","0.16","VALUE",14,2,88,0
"Min, max","0.13, 0.20","0.13, 0.20","0.13, 0.20","VALUE",14,2,89,0
"CV (%)","11.0","10.0","10.4","VALUE",14,2,90,0
"Interquartile range","0.15, 0.18","0.15, 0.18","0.15, 0.18","VALUE",14,2,91,0
"Day 1 - 12-24h Post-dose","","","","HEADER",15,0,91,1
"N","72","96","168","N",15,1,92,0
"Mean (SD)","14.30 (2.04)","14.13 (1.95)","14.20 (1.99)","VALUE",15,2,93,0
"Median","14.26","14.02","14.07","VALUE",15,2,94,0
"Geometric mean","14.15","13.99","14.06","VALUE",15,2,95,0
"Min, max","11.07, 17.44","11.13, 17.52","11.07, 17.52","VALUE",15,2,96,0
"CV (%)","14.3","13.8","14.0","VALUE",15,2,97,0
"Interquartile range","12.41, 16.24","12.56, 15.88","12.50, 16.10","VALUE",15,2,98,0
"Day 2 - 24h Post-dose","","","","HEADER",16,0,98,1
"N","72","96","168","N",16,1,99,0
"Mean (SD)","0.01 (0.00)","0.01 (0.00)","0.01 (0.00)","VALUE",16,2,100,0
"Median","0.01","0.01","0.01","VALUE",16,2,101,0
"Geometric mean","0.01","0.01","0.01","VALUE",16,2,102,0
"Min, max","0.01, 0.02","0.01, 0.02","0.01, 0.02","VALUE",16,2,103,0
"CV (%)","20.9","19.7","20.2","VALUE",16,2,104,0
"Interquartile range","0.01, 0.02","0.01, 0.02","0.01, 0.02","VALUE",16,2,105,0
"Day 2 - Pre-dose","","","","HEADER",17,0,105,1
"N","72","94","166","N",17,1,106,0
"Mean (SD)","0.01 (0.00)","0.01 (0.00)","0.01 (0.00)","VALUE",17,2,107,0
"Median","0.01","0.01","0.01","VALUE",17,2,108,0
"Geometric mean","0.01","0.01","0.01","VALUE",17,2,109,0
"Min, max","0.01, 0.02","0.01, 0.02","0.01, 0.02","VALUE",17,2,110,0
"CV (%)","20.9","19.7","20.2","VALUE",17,2,111,0
"Interquartile range","0.01, 0.02","0.01, 0.02","0.01, 0.02","VALUE",17,2,112,0
"Day 2 - 36h Post-dose","","","","HEADER",18,0,112,1
"N","72","96","168","N",18,1,113,0
"Mean (SD)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","VALUE",18,2,114,0
"Median","0.00","0.00","0.00","VALUE",18,2,115,0
"Geometric mean","0.01","0.01","0.01","VALUE",18,2,116,0
"Min, max","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",18,2,117,0
"CV (%)","0.0","0.0","0.0","VALUE",18,2,118,0
"Interquartile range","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",18,2,119,0
"Day 2 - 24-48h Post-dose","","","","HEADER",19,0,119,1
"N","72","96","168","N",19,1,120,0
"Mean (SD)","0.28 (0.53)","0.22 (0.49)","0.25 (0.50)","VALUE",19,2,121,0
"Median","0.00","0.00","0.00","VALUE",19,2,122,0
"Geometric mean","0.02","0.01","0.02","VALUE",19,2,123,0
"Min, max","0.00, 1.78","0.00, 1.89","0.00, 1.89","VALUE",19,2,124,0
"CV (%)","191.0","217.2","204.4","VALUE",19,2,125,0
"Interquartile range","0.00, 0.18","0.00, 0.00","0.00, 0.00","VALUE",19,2,126,0
"Day 3 - 48h Post-dose","","","","HEADER",20,0,126,1
"N","72","96","168","N",20,1,127,0
"Mean (SD)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","VALUE",20,2,128,0
"Median","0.00","0.00","0.00","VALUE",20,2,129,0
"Geometric mean","0.01","0.01","0.01","VALUE",20,2,130,0
"Min, max","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",20,2,131,0
"CV (%)","0.0","0.0","0.0","VALUE",20,2,132,0
"Interquartile range","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",20,2,133,0
"Day 3 - Pre-dose","","","","HEADER",21,0,133,1
"N","72","92","164","N",21,1,134,0
"Mean (SD)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","VALUE",21,2,135,0
"Median","0.00","0.00","0.00","VALUE",21,2,136,0
"Geometric mean","0.01","0.01","0.01","VALUE",21,2,137,0
"Min, max","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",21,2,138,0
"CV (%)","0.0","0.0","0.0","VALUE",21,2,139,0
"Interquartile range","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",21,2,140,0
