"label","col 1","col 2","col 3","col 4","col 5","col 6","col 7","col 8","row_type","anbr","indentme","roworder","newrows"
"Day 1 - Pre-dose","96","0.00","0.00","0.00","0.00","0.00","NA","NA","VALUE",2,0,0,0
"Day 1 - 5 Min Post-dose","96","0.10","0.01","0.10","0.09","0.11","5.3","0.10","VALUE",2,0,1,0
"Day 1 - 30 Min Post-dose","96","0.55","0.03","0.54","0.50","0.60","4.8","0.55","VALUE",2,0,2,0
"Day 1 - 1h Post-dose","96","0.93","0.04","0.93","0.85","1.01","4.4","0.93","VALUE",2,0,3,0
"Day 1 - 1.5h Post-dose","96","1.20","0.05","1.20","1.11","1.29","4.0","1.20","VALUE",2,0,4,0
"Day 1 - 2h Post-dose","96","1.39","0.05","1.39","1.29","1.49","3.7","1.39","VALUE",2,0,5,0
"Day 1 - 4h Post-dose","96","1.74","0.05","1.74","1.64","1.83","3.2","1.74","VALUE",2,0,6,0
"Day 1 - 0-6h Post-dose","96","26.72","1.44","26.63","24.53","29.25","5.4","26.68","VALUE",2,0,7,0
"Day 1 - 6h Post-dose","96","1.82","0.05","1.82","1.73","1.91","3.0","1.82","VALUE",2,0,8,0
"Day 1 - 8h Post-dose","96","1.84","0.05","1.84","1.75","1.94","3.0","1.84","VALUE",2,0,9,0
"Day 1 - 6-12h Post-dose","96","22.52","1.61","22.43","20.06","25.34","7.1","22.47","VALUE",2,0,10,0
"Day 1 - 12h Post-dose","96","0.55","0.03","0.55","0.49","0.62","5.4","0.55","VALUE",2,0,11,0
"Day 1 - 16h Post-dose","96","0.16","0.02","0.16","0.13","0.20","10.0","0.16","VALUE",2,0,12,0
"Day 1 - 12-24h Post-dose","96","14.13","1.95","14.02","11.13","17.52","13.8","13.99","VALUE",2,0,13,0
"Day 2 - 24h Post-dose","96","0.01","0.00","0.01","0.01","0.02","19.7","0.01","VALUE",2,0,14,0
"Day 2 - Pre-dose","94","0.01","0.00","0.01","0.01","0.02","19.7","0.01","VALUE",2,0,15,0
"Day 2 - 36h Post-dose","96","0.00","0.00","0.00","0.00","0.00","0.0","0.01","VALUE",2,0,16,0
"Day 2 - 24-48h Post-dose","96","0.22","0.49","0.00","0.00","1.89","217.2","0.01","VALUE",2,0,17,0
"Day 3 - 48h Post-dose","96","0.00","0.00","0.00","0.00","0.00","0.0","0.01","VALUE",2,0,18,0
"Day 3 - Pre-dose","92","0.00","0.00","0.00","0.00","0.00","0.0","0.01","VALUE",2,0,19,0
