"label","col 1","col 2","col 3","col 4","row_type","anbr","indentme","roworder","newrows"
"Day 1 - Pre-dose","","","","","HEADER",2,0,0,0
"N","20","7","16","29","N",2,1,1,0
"Mean (SD)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","0.00 (0.00)","VALUE",2,2,2,0
"Median","0.00","0.00","0.00","0.00","VALUE",2,2,3,0
"Geometric mean","NA","NA","NA","NA","VALUE",2,2,4,0
"Min, max","0.00, 0.00","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",2,2,5,0
"CV (%)","NA","NA","NA","NA","VALUE",2,2,6,0
"Interquartile range","0.00, 0.00","0.00, 0.00","0.00, 0.00","0.00, 0.00","VALUE",2,2,7,0
"Day 1 - 5 Min Post-dose","","","","","HEADER",3,0,7,1
"N","20","7","16","29","N",3,1,8,0
"Mean (SD)","0.10 (0.01)","0.10 (0.00)","0.10 (0.01)","0.10 (0.00)","VALUE",3,2,9,0
"Median","0.10","0.10","0.10","0.10","VALUE",3,2,10,0
"Geometric mean","0.10","0.10","0.10","0.10","VALUE",3,2,11,0
"Min, max","0.09, 0.11","0.10, 0.11","0.09, 0.11","0.09, 0.11","VALUE",3,2,12,0
"CV (%)","5.2","3.5","5.5","4.4","VALUE",3,2,13,0
"Interquartile range","0.10, 0.10","0.10, 0.11","0.10, 0.10","0.10, 0.10","VALUE",3,2,14,0
"Day 1 - 30 Min Post-dose","","","","","HEADER",4,0,14,1
"N","20","7","16","29","N",4,1,15,0
"Mean (SD)","0.54 (0.03)","0.56 (0.02)","0.55 (0.03)","0.54 (0.02)","VALUE",4,2,16,0
"Median","0.54","0.56","0.54","0.54","VALUE",4,2,17,0
"Geometric mean","0.54","0.56","0.55","0.54","VALUE",4,2,18,0
"Min, max","0.51, 0.59","0.53, 0.58","0.51, 0.60","0.50, 0.58","VALUE",4,2,19,0
"CV (%)","4.7","3.2","5.0","4.0","VALUE",4,2,20,0
"Interquartile range","0.52, 0.56","0.55, 0.58","0.52, 0.56","0.52, 0.55","VALUE",4,2,21,0
"Day 1 - 1h Post-dose","","","","","HEADER",5,0,21,1
"N","20","7","16","29","N",5,1,22,0
"Mean (SD)","0.93 (0.04)","0.95 (0.03)","0.93 (0.04)","0.92 (0.03)","VALUE",5,2,23,0
"Median","0.92","0.96","0.92","0.92","VALUE",5,2,24,0
"Geometric mean","0.93","0.95","0.93","0.92","VALUE",5,2,25,0
"Min, max","0.87, 1.00","0.91, 0.99","0.88, 1.02","0.86, 0.99","VALUE",5,2,26,0
"CV (%)","4.3","2.9","4.4","3.5","VALUE",5,2,27,0
"Interquartile range","0.90, 0.96","0.93, 0.98","0.90, 0.96","0.89, 0.94","VALUE",5,2,28,0
"Day 1 - 1.5h Post-dose","","","","","HEADER",6,0,28,1
"N","20","7","16","29","N",6,1,29,0
"Mean (SD)","1.20 (0.05)","1.23 (0.03)","1.20 (0.05)","1.19 (0.04)","VALUE",6,2,30,0
"Median","1.20","1.24","1.19","1.19","VALUE",6,2,31,0
"Geometric mean","1.20","1.23","1.20","1.18","VALUE",6,2,32,0
"Min, max","1.13, 1.28","1.19, 1.27","1.14, 1.31","1.12, 1.27","VALUE",6,2,33,0
"CV (%)","4.0","2.7","4.0","3.2","VALUE",6,2,34,0
"Interquartile range","1.16, 1.24","1.20, 1.27","1.17, 1.23","1.16, 1.21","VALUE",6,2,35,0
"Day 1 - 2h Post-dose","","","","","HEADER",7,0,35,1
"N","20","7","16","29","N",7,1,36,0
"Mean (SD)","1.39 (0.05)","1.43 (0.04)","1.39 (0.05)","1.37 (0.04)","VALUE",7,2,37,0
"Median","1.39","1.44","1.37","1.38","VALUE",7,2,38,0
"Geometric mean","1.39","1.42","1.39","1.37","VALUE",7,2,39,0
"Min, max","1.32, 1.48","1.38, 1.47","1.33, 1.50","1.31, 1.47","VALUE",7,2,40,0
"CV (%)","3.7","2.6","3.7","2.9","VALUE",7,2,41,0
"Interquartile range","1.35, 1.44","1.38, 1.46","1.36, 1.42","1.35, 1.40","VALUE",7,2,42,0
"Day 1 - 4h Post-dose","","","","","HEADER",8,0,42,1
"N","20","7","16","29","N",8,1,43,0
"Mean (SD)","1.74 (0.06)","1.77 (0.05)","1.74 (0.05)","1.72 (0.05)","VALUE",8,2,44,0
"Median","1.73","1.80","1.73","1.72","VALUE",8,2,45,0
"Geometric mean","1.74","1.77","1.74","1.72","VALUE",8,2,46,0
"Min, max","1.66, 1.82","1.70, 1.82","1.67, 1.84","1.65, 1.83","VALUE",8,2,47,0
"CV (%)","3.3","2.6","3.0","2.6","VALUE",8,2,48,0
"Interquartile range","1.69, 1.79","1.74, 1.81","1.69, 1.77","1.68, 1.73","VALUE",8,2,49,0
"Day 1 - 0-6h Post-dose","","","","","HEADER",9,0,49,1
"N","20","7","16","29","N",9,1,50,0
"Mean (SD)","26.99 (1.54)","26.43 (1.29)","26.74 (1.59)","26.91 (1.54)","VALUE",9,2,51,0
"Median","27.14","26.53","26.61","27.34","VALUE",9,2,52,0
"Geometric mean","26.95","26.41","26.70","26.87","VALUE",9,2,53,0
"Min, max","24.65, 29.18","24.49, 28.66","24.61, 29.12","24.57, 29.19","VALUE",9,2,54,0
"CV (%)","5.7","4.9","6.0","5.7","VALUE",9,2,55,0
"Interquartile range","25.43, 28.33","25.81, 27.10","25.09, 28.28","25.48, 28.31","VALUE",9,2,56,0
"Day 1 - 6h Post-dose","","","","","HEADER",10,0,56,1
"N","20","7","16","29","N",10,1,57,0
"Mean (SD)","1.83 (0.06)","1.86 (0.05)","1.82 (0.05)","1.80 (0.05)","VALUE",10,2,58,0
"Median","1.83","1.89","1.82","1.80","VALUE",10,2,59,0
"Geometric mean","1.83","1.86","1.82","1.80","VALUE",10,2,60,0
"Min, max","1.74, 1.91","1.77, 1.90","1.75, 1.92","1.74, 1.91","VALUE",10,2,61,0
"CV (%)","3.2","2.7","2.8","2.7","VALUE",10,2,62,0
"Interquartile range","1.77, 1.88","1.83, 1.90","1.78, 1.86","1.77, 1.83","VALUE",10,2,63,0
"Day 1 - 8h Post-dose","","","","","HEADER",11,0,63,1
"N","20","7","16","29","N",11,1,64,0
"Mean (SD)","1.85 (0.06)","1.88 (0.05)","1.84 (0.05)","1.82 (0.05)","VALUE",11,2,65,0
"Median","1.85","1.91","1.84","1.82","VALUE",11,2,66,0
"Geometric mean","1.85","1.88","1.84","1.82","VALUE",11,2,67,0
"Min, max","1.76, 1.93","1.78, 1.92","1.77, 1.94","1.76, 1.93","VALUE",11,2,68,0
"CV (%)","3.2","2.7","2.8","2.7","VALUE",11,2,69,0
"Interquartile range","1.78, 1.90","1.85, 1.92","1.80, 1.88","1.79, 1.85","VALUE",11,2,70,0
"Day 1 - 6-12h Post-dose","","","","","HEADER",12,0,70,1
"N","20","7","16","29","N",12,1,71,0
