"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥1 prior medication","43 (81.1%)","56 (76.7%)","99 (78.6%)","49 (83.1%)","148 (80.0%)","VALUE",2,0,0,0
"Uncoded","42 (79.2%)","54 (74.0%)","96 (76.2%)","47 (79.7%)","143 (77.3%)","VALUE",3,0,0,1
"Uncoded: vitamin e","8 (15.1%)","10 (13.7%)","18 (14.3%)","12 (20.3%)","30 (16.2%)","VALUE",3,1,1,0
"Uncoded: multivitamin","8 (15.1%)","11 (15.1%)","19 (15.1%)","9 (15.3%)","28 (15.1%)","VALUE",3,1,2,0
"Uncoded: multivitamins","8 (15.1%)","5 (6.8%)","13 (10.3%)","6 (10.2%)","19 (10.3%)","VALUE",3,1,3,0
"Uncoded: vitamin c","5 (9.4%)","5 (6.8%)","10 (7.9%)","5 (8.5%)","15 (8.1%)","VALUE",3,1,4,0
"Uncoded: synthroid","3 (5.7%)","4 (5.5%)","7 (5.6%)","3 (5.1%)","10 (5.4%)","VALUE",3,1,5,0
"Uncoded: tylenol","3 (5.7%)","3 (4.1%)","6 (4.8%)","4 (6.8%)","10 (5.4%)","VALUE",3,1,6,0
"Uncoded: timoptic","5 (9.4%)","2 (2.7%)","7 (5.6%)","2 (3.4%)","9 (4.9%)","VALUE",3,1,7,0
"Uncoded: centrum silver","2 (3.8%)","2 (2.7%)","4 (3.2%)","2 (3.4%)","6 (3.2%)","VALUE",3,1,8,0
"Uncoded: ibuprofen","0","2 (2.7%)","2 (1.6%)","4 (6.8%)","6 (3.2%)","VALUE",3,1,9,0
"Uncoded: motrin","3 (5.7%)","1 (1.4%)","4 (3.2%)","2 (3.4%)","6 (3.2%)","VALUE",3,1,10,0
"Uncoded: ativan","0","3 (4.1%)","3 (2.4%)","2 (3.4%)","5 (2.7%)","VALUE",3,1,11,0
"Uncoded: ecotrin","0","3 (4.1%)","3 (2.4%)","2 (3.4%)","5 (2.7%)","VALUE",3,1,12,0
"Uncoded: estrogen nos","3 (5.7%)","0","3 (2.4%)","2 (3.4%)","5 (2.7%)","VALUE",3,1,13,0
"Uncoded: ginkgo biloba","1 (1.9%)","3 (4.1%)","4 (3.2%)","1 (1.7%)","5 (2.7%)","VALUE",3,1,14,0
"Uncoded: metamucil","3 (5.7%)","1 (1.4%)","4 (3.2%)","1 (1.7%)","5 (2.7%)","VALUE",3,1,15,0
"Uncoded: provera","1 (1.9%)","2 (2.7%)","3 (2.4%)","2 (3.4%)","5 (2.7%)","VALUE",3,1,16,0
"Uncoded: zestril","2 (3.8%)","1 (1.4%)","3 (2.4%)","2 (3.4%)","5 (2.7%)","VALUE",3,1,17,0
"Uncoded: zocor","1 (1.9%)","1 (1.4%)","2 (1.6%)","3 (5.1%)","5 (2.7%)","VALUE",3,1,18,0
"Uncoded: advil","4 (7.5%)","0","4 (3.2%)","0","4 (2.2%)","VALUE",3,1,19,0
"Uncoded: asa","3 (5.7%)","0","3 (2.4%)","1 (1.7%)","4 (2.2%)","VALUE",3,1,20,0
"Uncoded: claritin","0","3 (4.1%)","3 (2.4%)","1 (1.7%)","4 (2.2%)","VALUE",3,1,21,0
"Uncoded: dyazide","0","4 (5.5%)","4 (3.2%)","0","4 (2.2%)","VALUE",3,1,22,0
"Uncoded: vitamin b12","0","2 (2.7%)","2 (1.6%)","2 (3.4%)","4 (2.2%)","VALUE",3,1,23,0
