"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","8","","","VALUE",2,0,0,0
""," "," "," ","VALUE",2,0,1,0
"Systolic blood pressure (mmHg)","","","","HEADER",2,1,2,0
"Screening","8/8 (100.0%)","127.37500 (112.23883, 142.51117)","","VALUE",2,2,3,0
"Cycle 02","8/8 (100.0%)","128.58333 (119.89675, 137.26992)","1.20833 (-11.68998, 14.10664)","VALUE",2,2,4,0
"Cycle 03","8/8 (100.0%)","122.04167 (110.93616, 133.14717)","-5.33333 (-21.55806, 10.89140)","VALUE",2,2,5,0
"Cycle 04","8/8 (100.0%)","123.12500 (115.85818, 130.39182)","-4.25000 (-21.93755, 13.43755)","VALUE",2,2,6,0
"Diastolic blood pressure (mmHg)","","","","HEADER",3,1,6,1
"Screening","8/8 (100.0%)","78.83333 (72.67723, 84.98944)","","VALUE",3,2,7,0
"Cycle 02","8/8 (100.0%)","78.58333 (72.77448, 84.39219)","-0.25000 (-6.99885, 6.49885)","VALUE",3,2,8,0
"Cycle 03","8/8 (100.0%)","77.08333 (68.41464, 85.75202)","-1.75000 (-11.08542, 7.58542)","VALUE",3,2,9,0
"Cycle 04","8/8 (100.0%)","77.16667 (72.03466, 82.29867)","-1.66667 (-9.65639, 6.32306)","VALUE",3,2,10,0
"Age: ≥65 to <75 years","16","","","VALUE",4,0,10,1
""," "," "," ","VALUE",4,0,11,0
"Systolic blood pressure (mmHg)","","","","HEADER",4,1,12,0
"Screening","16/16 (100.0%)","134.91667 (127.98187, 141.85146)","","VALUE",4,2,13,0
"Cycle 02","16/16 (100.0%)","132.47917 (125.54787, 139.41047)","-2.43750 (-9.39870, 4.52370)","VALUE",4,2,14,0
"Cycle 03","16/16 (100.0%)","131.72917 (125.68929, 137.76905)","-3.18750 (-9.69885, 3.32385)","VALUE",4,2,15,0
"Cycle 04","15/15 (100.0%)","132.95556 (125.34652, 140.56459)","-3.82222 (-11.21911, 3.57466)","VALUE",4,2,16,0
"Diastolic blood pressure (mmHg)","","","","HEADER",5,1,16,1
"Screening","16/16 (100.0%)","77.04167 (73.06948, 81.01385)","","VALUE",5,2,17,0
"Cycle 02","16/16 (100.0%)","79.60417 (74.66634, 84.54199)","2.56250 (-1.25020, 6.37520)","VALUE",5,2,18,0
"Cycle 03","16/16 (100.0%)","78.60417 (73.92755, 83.28079)","1.56250 (-3.73593, 6.86093)","VALUE",5,2,19,0
"Cycle 04","15/15 (100.0%)","74.91111 (68.41783, 81.40439)","-2.44444 (-6.48849, 1.59960)","VALUE",5,2,20,0
"Age: ≥75 years","29","","","VALUE",6,0,20,1
""," "," "," ","VALUE",6,0,21,0
"Systolic blood pressure (mmHg)","","","","HEADER",6,1,22,0
"Screening","29/29 (100.0%)","143.06897 (136.39381, 149.74412)","","VALUE",6,2,23,0
"Cycle 02","29/29 (100.0%)","132.16092 (125.57485, 138.74699)","-10.90805 (-16.78895, -5.02714)","VALUE",6,2,24,0
"Cycle 03","29/29 (100.0%)","132.59770 (126.15586, 139.03955)","-10.47126 (-15.74485, -5.19768)","VALUE",6,2,25,0
"Cycle 04","28/28 (100.0%)","130.28571 (124.11158, 136.45985)","-13.10714 (-18.37720, -7.83709)","VALUE",6,2,26,0
"Diastolic blood pressure (mmHg)","","","","HEADER",7,1,26,1
"Screening","29/29 (100.0%)","80.73563 (76.43408, 85.03719)","","VALUE",7,2,27,0
"Cycle 02","29/29 (100.0%)","75.32184 (71.63105, 79.01263)","-5.41379 (-9.35848, -1.46911)","VALUE",7,2,28,0
"Cycle 03","29/29 (100.0%)","74.31034 (71.05598, 77.56471)","-6.42529 (-9.94658, -2.90400)","VALUE",7,2,29,0
"Cycle 04","28/28 (100.0%)","75.00000 (71.32004, 78.67996)","-5.97619 (-9.52099, -2.43139)","VALUE",7,2,30,0
