"label","col 1","col 2","row_type","anbr","indentme","roworder","newrows"
"Age: ≥18 to <65 years","","","HEADER",2,0,0,0
""," "," ","VALUE",2,0,1,0
"Systolic blood pressure (mmHg)","","","HEADER",2,1,2,0
"Screening","","","HEADER",2,2,3,0
"Cycle 02","0.92262 (-13.44558, 15.29082)","0.64762 (-15.68080, 16.97604)","VALUE",2,2,4,0
"Cycle 03","-5.28571 (-21.58015, 11.00872)","9.51429 (-5.49428, 24.52286)","VALUE",2,2,5,0
"Cycle 04","-3.51667 (-26.65366, 19.62032)","-1.82222 (-25.84820, 22.20375)","VALUE",2,2,6,0
"Diastolic blood pressure (mmHg)","","","HEADER",3,1,6,1
"Screening","","","HEADER",3,2,7,0
"Cycle 02","-0.48810 (-9.54353, 8.56734)","2.16190 (-6.49718, 10.82099)","VALUE",3,2,8,0
"Cycle 03","-0.79762 (-11.21097, 9.61573)","-4.44762 (-15.53590, 6.64066)","VALUE",3,2,9,0
"Cycle 04","0.40000 (-13.59849, 14.39849)","-2.26667 (-16.22660, 11.69327)","VALUE",3,2,10,0
"Age: ≥65 to <75 years","","","HEADER",4,0,10,1
""," "," ","VALUE",4,0,11,0
"Systolic blood pressure (mmHg)","","","HEADER",4,1,12,0
"Screening","","","HEADER",4,2,13,0
"Cycle 02","3.14145 (-6.38129, 12.66419)","6.71620 (-1.50252, 14.93493)","VALUE",4,2,14,0
"Cycle 03","0.88268 (-7.79244, 9.55779)","7.97018 (0.02552, 15.91483)","VALUE",4,2,15,0
"Cycle 04","-5.90994 (-14.22874, 2.40886)","4.65302 (-1.53462, 10.84066)","VALUE",4,2,16,0
"Diastolic blood pressure (mmHg)","","","HEADER",5,1,16,1
"Screening","","","HEADER",5,2,17,0
"Cycle 02","5.84320 (-0.20218, 11.88859)","7.45717 (1.50022, 13.41413)","VALUE",5,2,18,0
"Cycle 03","5.03618 (-2.07219, 12.14456)","7.50702 (0.68322, 14.33081)","VALUE",5,2,19,0
"Cycle 04","-0.81287 (-5.83409, 4.20835)","5.59454 (0.73739, 10.45169)","VALUE",5,2,20,0
"Age: ≥75 years","","","HEADER",6,0,20,1
""," "," ","VALUE",6,0,21,0
"Systolic blood pressure (mmHg)","","","HEADER",6,1,22,0
"Screening","","","HEADER",6,2,23,0
"Cycle 02","-6.50180 (-13.68843, 0.68484)","-0.57334 (-6.46467, 5.31799)","VALUE",6,2,24,0
"Cycle 03","-5.50460 (-13.09021, 2.08101)","2.51053 (-5.14732, 10.16837)","VALUE",6,2,25,0
"Cycle 04","-6.92196 (-14.32368, 0.47977)","3.75661 (-2.99972, 10.51295)","VALUE",6,2,26,0
"Diastolic blood pressure (mmHg)","","","HEADER",7,1,26,1
"Screening","","","HEADER",7,2,27,0
"Cycle 02","-2.80963 (-7.93341, 2.31415)","1.23002 (-2.70204, 5.16208)","VALUE",7,2,28,0
"Cycle 03","-5.55862 (-10.21687, -0.90037)","0.81404 (-3.20707, 4.83514)","VALUE",7,2,29,0
"Cycle 04","-3.50705 (-8.23403, 1.21993)","1.12628 (-2.69639, 4.94895)","VALUE",7,2,30,0
