"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"Systolic blood pressure (mmHg)","","","","HEADER",2,0,0,0
"Screening","73/73 (100.0%)","138.7352 (134.5082, 142.9621)","","VALUE",2,1,1,0
"Cycle 02","71/71 (100.0%)","135.3192 (131.2528, 139.3857)","-3.0986 (-6.2424, 0.0452)","VALUE",2,1,2,0
"Cycle 03","53/53 (100.0%)","137.6478 (132.7251, 142.5705)","-0.1321 (-4.2817, 4.0175)","VALUE",2,1,3,0
"Cycle 04","47/47 (100.0%)","135.7872 (130.2234, 141.3510)","-0.6809 (-4.1263, 2.7646)","VALUE",2,1,4,0
"Diastolic blood pressure (mmHg)","","","","HEADER",3,0,4,1
"Screening","73/73 (100.0%)","76.6256 (74.4932, 78.7579)","","VALUE",3,1,5,0
"Cycle 02","71/71 (100.0%)","76.7324 (74.3843, 79.0804)","0.2207 (-1.4974, 1.9388)","VALUE",3,1,6,0
"Cycle 03","53/53 (100.0%)","76.8553 (74.3209, 79.3898)","0.2138 (-1.9788, 2.4065)","VALUE",3,1,7,0
"Cycle 04","47/47 (100.0%)","75.1844 (72.5599, 77.8089)","-0.5177 (-2.3210, 1.2855)","VALUE",3,1,8,0
