"label","col 1","col 2","row_type","anbr","indentme","roworder","newrows"
"Systolic blood pressure (mmHg)","","","HEADER",2,0,0,0
"Screening","","","HEADER",2,1,1,0
"Cycle 02","-2.6756 (-7.0876, 1.7363)","0.9147 (-3.0351, 4.8645)","VALUE",2,1,2,0
"Cycle 03","-2.9753 (-7.4801, 1.5295)","1.2895 (-3.4279, 6.0069)","VALUE",2,1,3,0
"Cycle 04","-6.2245 (-11.1059, -1.3431)","0.6359 (-3.9504, 5.2222)","VALUE",2,1,4,0
"Diastolic blood pressure (mmHg)","","","HEADER",3,0,4,1
"Screening","","","HEADER",3,1,5,0
"Cycle 02","0.6885 (-2.1329, 3.5100)","2.5116 (0.1275, 4.8957)","VALUE",3,1,6,0
"Cycle 03","-0.0350 (-3.0700, 3.0000)","0.8998 (-1.7125, 3.5122)","VALUE",3,1,7,0
"Cycle 04","-0.3668 (-3.1572, 2.4236)","1.7258 (-0.6961, 4.1477)","VALUE",3,1,8,0
