"label","col 1","col 2","col 3","row_type","anbr","indentme","roworder","newrows"
"On-treatment","","","","HEADER",2,0,0,0
"Pulse rate (beats/min)","","","","HEADER",2,1,1,0
"N","53","71","58","N",2,2,2,0
"<50 bpm and with >20 bpm decrease from baseline","0","1 (1.4%)","0","VALUE",2,3,3,0
">120 bpm and with >30 bpm increase from baseline","0","0","0","VALUE",2,3,4,0
"Systolic blood pressure (mmHg)","","","","HEADER",3,1,4,1
"N","53","71","58","N",3,2,5,0
"<90 mmHg and with >30 mmHg decrease from baseline","0","0","1 (1.7%)","VALUE",3,3,6,0
">180 mmHg and with >40 mmHg increase from baseline","0","0","1 (1.7%)","VALUE",3,3,7,0
"Diastolic blood pressure (mmHg)","","","","HEADER",4,1,7,1
"N","53","71","58","N",4,2,8,0
"<50 mmHg and with >20 mmHg decrease from baseline","0","0","0","VALUE",4,3,9,0
">105 mmHg and with >30 mmHg increase from baseline","0","0","0","VALUE",4,3,10,0
"Cycle 02","","","","HEADER",5,0,10,1
"Pulse rate (beats/min)","","","","HEADER",5,1,11,0
"N","53","71","58","N",5,2,12,0
"<50 bpm and with >20 bpm decrease from baseline","0","0","0","VALUE",5,3,13,0
">120 bpm and with >30 bpm increase from baseline","0","0","0","VALUE",5,3,14,0
"Systolic blood pressure (mmHg)","","","","HEADER",6,1,14,1
"N","53","71","58","N",6,2,15,0
"<90 mmHg and with >30 mmHg decrease from baseline","0","0","0","VALUE",6,3,16,0
">180 mmHg and with >40 mmHg increase from baseline","0","0","0","VALUE",6,3,17,0
"Diastolic blood pressure (mmHg)","","","","HEADER",7,1,17,1
"N","53","71","58","N",7,2,18,0
"<50 mmHg and with >20 mmHg decrease from baseline","0","0","0","VALUE",7,3,19,0
